mol_id,dG_GBn2_kcal,dG_expt_kcal
mobley_1017962,-33.977413177490234,-2.49
mobley_1019269,-18.113378524780273,-4.72
mobley_1034539,-8.963714599609375,-3.04
mobley_1036761,-12.796867370605469,-4.59
mobley_1046331,-34.002803802490234,-3.82
mobley_1075836,-32.825748443603516,-2.93
mobley_1079207,-3.855616807937622,-0.98
mobley_1139153,-3.138599157333374,2.89
mobley_1144156,-15.356330871582031,-1.59
mobley_1160109,-13.527750015258789,-3.75
mobley_1178614,-32.05906677246094,-4.55
mobley_1189457,-5.207815647125244,-2.73
mobley_1231151,-2.440631628036499,-0.25
mobley_1235151,-26.005098342895508,-2.82
mobley_1244778,-18.524776458740234,-5.48
mobley_1261349,-2.040440797805786,2.51
mobley_1278715,-13.730135917663574,-0.64
mobley_129464,-16.870317459106445,-0.83
mobley_1323538,-40.18085479736328,-7.5
mobley_1328465,-6.280257225036621,-1.99
mobley_1328936,-56.70708465576172,-6.88
mobley_1352110,-24.539493560791016,-3.64
mobley_1363784,-10.051213264465332,-4.84
mobley_1396156,-37.273643493652344,-5.22
mobley_1417007,-36.192928314208984,-9.01
mobley_1424265,-4.656894207000732,-0.83
mobley_1449384,-5.258766174316406,-0.68
mobley_1469079,-47.334774017333984,-3.56
mobley_1502181,-12.59344482421875,-2.49
mobley_1520842,-10.248597145080566,-4.93
mobley_1527293,-48.89820861816406,-8.42
mobley_1563176,-4.3267412185668945,-0.99
mobley_1571523,-31.390424728393555,-6.16
mobley_1592519,-33.695621490478516,-2.23
mobley_1615431,-15.174201965332031,-0.53
mobley_1636752,-17.491682052612305,-5.1
mobley_1650157,-17.16294288635254,-4.47
mobley_1659169,-24.859298706054688,-7.17
mobley_1662128,-3.2755489349365234,1.38
mobley_1674094,-5.652794361114502,0.29
mobley_1708457,-13.32243537902832,-10.08
mobley_1717215,-34.63048553466797,-2.78
mobley_1722522,-32.928611755371094,-2.49
mobley_1723043,-81.78970336914062,3.43
mobley_1728386,-28.39838981628418,-11.0
mobley_172879,-46.227054595947266,-3.15
mobley_1735893,-38.883602142333984,-6.21
mobley_1743409,-65.39393615722656,-5.71
mobley_1755375,-31.449386596679688,-5.26
mobley_1760914,-4.067453384399414,-1.14
mobley_1770205,-46.5885124206543,-10.03
mobley_1781152,-33.28179168701172,-2.4
mobley_1800170,-3.5803580284118652,-1.14
mobley_1803862,-2.1169586181640625,2.38
mobley_1821184,-17.535720825195312,-5.88
mobley_1827204,-12.711981773376465,-2.81
mobley_1838110,-31.88196563720703,1.77
mobley_1849020,-28.843137741088867,-6.5
mobley_1855337,-5.13634729385376,-1.62
mobley_1857976,-4.145979881286621,-1.79
mobley_1858644,-21.456941604614258,-6.79
mobley_186894,-3.9445884227752686,-1.1
mobley_1873346,-4.743374824523926,-0.9
mobley_1875719,-11.057425498962402,-3.41
mobley_1881249,-11.103333473205566,-3.52
mobley_1893815,-8.149069786071777,-1.43
mobley_1893937,-3.866628885269165,0.0
mobley_1896013,-79.78965759277344,-20.52
mobley_1899443,-3.6639909744262695,1.47
mobley_1903702,-17.655654907226562,-4.62
mobley_1922649,-66.14033508300781,-7.19
mobley_1923244,-1.773234486579895,2.1
mobley_1929982,-3.9945223331451416,-0.7
mobley_1944394,-31.83942413330078,-9.34
mobley_1952272,-26.41969871520996,-4.02
mobley_1963873,-23.795982360839844,-10.0
mobley_1967551,-11.283743858337402,-3.5
mobley_197466,-10.747156143188477,-4.61
mobley_1976156,-13.855774879455566,-2.07
mobley_1977493,-2.7590506076812744,-0.33
mobley_1987439,-4.5693511962890625,-0.9
mobley_2005792,-7.771832466125488,-2.7
mobley_2008055,-1.0080500841140747,1.83
mobley_2023925,-53.50486755371094,0.1
mobley_2043882,-11.832822799682617,-3.9
mobley_2049967,-2.926994562149048,-1.5
mobley_20524,-31.726089477539062,-6.6
mobley_2068538,-1.394995093345642,2.0
mobley_2078467,-43.09811782836914,-7.0
mobley_2099370,-54.45999526977539,-10.78
mobley_2123854,-35.259765625,-10.17
mobley_2126135,-32.03451156616211,-5.66
mobley_2143011,-3.570854663848877,1.83
mobley_2146331,-12.189513206481934,-2.75
mobley_2178600,-3.5238094329833984,-0.1
mobley_2183616,-5.73211145401001,-0.45
mobley_2197088,-4.052779197692871,3.16
mobley_2198613,-2.3660519123077393,-0.63
mobley_2213823,-2.4953088760375977,2.51
mobley_2245668,-18.171293258666992,-4.5
mobley_2261979,-5.825392723083496,-3.15
mobley_2269032,-66.61397552490234,-10.21
mobley_2279874,-38.54963302612305,-4.42
mobley_2294995,-34.351497650146484,-2.56
mobley_2295058,-63.368309020996094,-9.51
mobley_2310185,-17.401851654052734,-5.0
mobley_2316618,-57.4034538269043,-14.21
mobley_2328633,-3.796995162963867,2.55
mobley_2341732,-33.59577560424805,-2.56
mobley_2354112,-31.929651260375977,-6.25
mobley_2364370,-32.964481353759766,-2.64
mobley_2371092,-10.108654975891113,-5.22
mobley_2390199,-11.80294132232666,-2.92
mobley_2402487,-67.46967315673828,-6.0
mobley_2410897,-11.79885196685791,-4.5
mobley_2422586,-15.687010765075684,-1.66
mobley_242480,-58.04824447631836,-11.85
mobley_2451097,-7.8434882164001465,-4.1
mobley_2457863,-55.100276947021484,-7.66
mobley_2481002,-33.78901290893555,-1.45
mobley_2484519,-6.237120151519775,-1.93
mobley_2487143,-11.448710441589355,-3.28
mobley_2489709,-4.365280628204346,-1.36
mobley_2492140,-11.152379035949707,-1.23
mobley_2493732,-2.6505820751190186,0.25
mobley_2501588,-91.42015075683594,-2.45
mobley_2518989,-57.37955093383789,-5.74
mobley_2523689,-42.279502868652344,-16.43
mobley_252413,-2.7959182262420654,2.88
mobley_2577969,-7.690021514892578,-4.52
mobley_2607611,-33.702510833740234,-2.26
mobley_2609604,-2.8051207065582275,2.56
mobley_2613240,-54.181243896484375,-5.33
mobley_2636578,-35.88502883911133,-4.8
mobley_2659552,-25.62720489501953,-9.76
mobley_2661134,-35.498233795166016,-9.65
mobley_2681549,-3.867043972015381,-0.78
mobley_2689721,-2.357414484024048,1.23
mobley_2693089,-17.104516983032227,-5.04
mobley_2725215,-82.63856506347656,-7.98
mobley_2725802,-22.51759910583496,-9.8
mobley_2751110,-52.84431838989258,-10.64
mobley_2763835,-27.45529556274414,-2.22
mobley_2771569,-20.54096031188965,-7.77
mobley_2782339,-33.85154724121094,-9.61
mobley_2784376,-1.1225110292434692,0.75
mobley_2789243,-10.17577075958252,-4.01
mobley_2792521,-13.497035026550293,-3.68
mobley_282648,-6.284667015075684,-2.4
mobley_2837389,-16.652748107910156,-4.78
mobley_2844990,-50.04352569580078,-3.84
mobley_2845466,-48.5655403137207,-3.37
mobley_2850833,-42.44620132446289,-4.68
mobley_2859600,-6.129909992218018,-1.24
mobley_2864987,-18.129323959350586,-4.39
mobley_2881590,-18.583620071411133,-1.88
mobley_2913224,-70.08501434326172,-9.94
mobley_2923700,-31.94515037536621,-6.13
mobley_2925352,-31.623342514038086,-6.13
mobley_2929847,-38.428916931152344,-6.09
mobley_2958326,-12.205560684204102,-3.65
mobley_2960202,-53.89144515991211,-3.71
mobley_296847,-10.351848602294922,-4.69
mobley_2972345,-7.942104816436768,-3.78
mobley_2972906,-4.1647629737854,-1.4
mobley_299266,-2.9690093994140625,1.16
mobley_2996632,-5.859877586364746,-1.08
mobley_3006808,-38.62125015258789,-4.31
mobley_303222,-2.9504504203796387,1.32
mobley_3034976,-37.44145965576172,-6.69
mobley_3040612,-4.997089862823486,-0.85
mobley_3047364,-44.89352798461914,-7.65
mobley_3053621,-4.828832149505615,-0.9
mobley_3060426,-3.5124711990356445,2.93
mobley_3083321,-28.033037185668945,-2.93
mobley_3105103,-42.39342498779297,-11.14
mobley_313406,-17.80460548400879,-4.85
mobley_3144334,-31.39325523376465,-5.91
mobley_3151666,-20.44745445251465,-3.64
mobley_3167746,-3.2830734252929688,2.88
mobley_3169935,-20.013628005981445,-4.91
mobley_3183805,-4.584551811218262,-0.86
mobley_3187514,-20.111858367919922,-5.53
mobley_3201701,-64.4277114868164,-9.41
mobley_3210206,-35.60029983520508,-4.95
mobley_3211679,-3.513451337814331,0.14
mobley_3234716,-4.657707214355469,-0.8
mobley_3259411,-51.08512878417969,-13.43
mobley_3264884,-21.689544677734375,-7.47
mobley_3265457,-92.82047271728516,-7.78
mobley_3266352,-37.80201721191406,-1.92
mobley_3269565,-15.266310691833496,-2.01
mobley_3269819,-9.696439743041992,-3.17
mobley_3274817,-83.8455581665039,-6.23
mobley_3318135,-12.67835521697998,-2.64
mobley_3323117,-77.54035949707031,-8.61
mobley_3325209,-40.57086944580078,-4.04
mobley_3359593,-55.91978454589844,-5.26
mobley_3370989,-13.835821151733398,-0.11
mobley_337666,-50.84467697143555,-16.92
mobley_3378420,-20.017759323120117,-3.88
mobley_3395921,-15.493589401245117,-3.12
mobley_3414356,-17.930801391601562,-3.92
mobley_3425174,-9.534384727478027,-0.77
mobley_3452749,-4.597479820251465,-1.21
mobley_349850,-13.57785415649414,-4.7
mobley_3515580,-57.994873046875,-5.94
