mol_id,smiles,in_model_vocab,reason
mobley_1743409,CCOC(=O)CCC(=O)OCC,True,ok
mobley_9979854,C[C@H](C(F)(F)F)O,True,ok
mobley_1873346,Cc1ccccc1,True,ok
mobley_4715906,C[C@@H]1CCCC[C@@H]1C,True,ok
mobley_3169935,c1ccc(c(c1)N)Cl,True,ok
mobley_9729792,C1C=CC=CC=C1,True,ok
mobley_6358463,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,True,ok
mobley_2845466,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,True,ok
mobley_6006813,CCCC[N+](=O)[O-],True,ok
mobley_5445548,CC(C)c1ccccc1,True,ok
mobley_3802803,CCCCCCO[N+](=O)[O-],True,ok
mobley_9028462,COC(=O)C(F)(F)F,True,ok
mobley_4305650,CCC#N,True,ok
mobley_1838110,C(C(F)(Cl)Cl)(F)(F)Cl,True,ok
mobley_1770205,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,True,ok
mobley_5393242,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,True,ok
mobley_1722522,CCCC(=O)OCC,True,ok
mobley_7610437,CC[C@H](C(C)C)O,True,ok
mobley_1893937,CCCCCCCl,True,ok
mobley_9209581,CN(C)C,True,ok
mobley_6266306,C1CNC1,True,ok
mobley_667278,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,True,ok
mobley_8311303,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,True,ok
mobley_352111,CC(=O)OCCOC(=O)C,True,ok
mobley_967099,CC(C)[N+](=O)[O-],True,ok
mobley_2693089,CC(C)Cc1cnccn1,True,ok
mobley_4964807,CC(=O)CO[N+](=O)[O-],True,ok
mobley_4188615,CN(C)C(=O)c1ccccc1,True,ok
mobley_9565165,c1ccc-2c(c1)Cc3c2cccc3,True,ok
mobley_242480,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,True,ok
mobley_9717937,c1ccc(cc1)c2ccccc2Cl,True,ok
