dG_pred_kcal,dG_lfer_kcal,dG_exp_kcal
-2.036971,-3.854964,-2.490000
-1.121820,-3.162211,-4.720000
-2.298216,-4.052722,-3.040000
-2.570408,-4.258766,-4.590000
-2.193464,-3.973427,-3.820000
-1.512252,-3.457761,-2.930000
-1.377583,-3.355819,-0.980000
-0.855138,-2.960338,-0.740000
-4.822272,-5.963388,2.890000
-0.679412,-2.827316,-1.590000
-4.185280,-5.481196,-3.750000
-1.640856,-3.555112,-4.550000
-2.199818,-3.978236,-2.730000
-1.130100,-3.168478,-0.530000
-1.349656,-3.334678,-0.250000
-1.681372,-3.585782,-2.820000
-2.408299,-4.136053,-5.480000
-3.499583,-4.962136,2.510000
-0.774725,-2.899466,-0.640000
-2.164296,-3.951347,-0.830000
-1.888795,-3.742797,-7.500000
-0.592721,-2.761692,-1.990000
-2.671309,-4.335147,-6.880000
-4.124187,-5.434950,-3.640000
-2.047495,-3.862931,-4.840000
-1.925718,-3.770747,-5.220000
-3.658531,-5.082457,-9.010000
-2.276011,-4.035913,-0.830000
-3.273056,-4.790659,-0.680000
-2.318677,-4.068211,-3.560000
-2.707705,-4.362698,-2.490000
-1.624284,-3.542567,-4.930000
-4.945781,-6.056882,-8.420000
-1.129936,-3.168355,-0.990000
-2.675720,-4.338486,-6.160000
-2.369616,-4.106770,-2.230000
-1.924361,-3.769720,-0.530000
-0.490916,-2.684627,-5.100000
-2.700887,-4.357537,-4.470000
-1.405119,-3.376663,-7.170000
-1.096536,-3.143072,1.380000
-1.744753,-3.633760,0.290000
-2.019036,-3.841388,-10.080000
-0.783563,-2.906157,-2.780000
-1.723829,-3.617921,-2.490000
-2.183165,-3.965630,3.430000
-2.501412,-4.206538,-11.000000
-2.596046,-4.278174,-3.150000
-1.701313,-3.600877,-5.850000
-1.927443,-3.772054,-6.210000
-2.926014,-4.527954,-5.710000
-2.760135,-4.402387,-5.260000
-1.808165,-3.681762,-1.140000
-3.889296,-5.257141,-10.030000
-3.925099,-5.284244,-2.400000
-0.750816,-2.881368,-2.330000
-0.748773,-2.879821,-1.140000
-2.198726,-3.977410,2.380000
-2.183315,-3.965744,-5.880000
-1.696220,-3.597021,-2.810000
-0.645000,-2.801266,1.770000
-3.134484,-4.685762,-6.500000
-1.109515,-3.152896,-1.620000
-0.479469,-2.675963,-1.790000
-2.081040,-3.888323,-6.790000
-0.919398,-3.008981,-1.100000
-1.910077,-3.758907,-0.900000
-2.017254,-3.840039,-3.410000
-2.079264,-3.886979,-3.520000
-0.778904,-2.902630,-1.430000
-1.367716,-3.348350,0.000000
-2.995925,-4.580876,-20.520000
-2.113921,-3.913214,1.470000
-1.791202,-3.668921,-4.620000
-1.908083,-3.757398,-2.380000
-3.105730,-4.663996,-7.190000
-1.144959,-3.179726,2.100000
-0.206870,-2.469610,-0.700000
-4.070844,-5.394570,-9.730000
-4.929117,-6.044268,-9.340000
-0.545790,-2.726166,-4.020000
-1.194719,-3.217394,-10.000000
-0.626679,-2.787398,-3.500000
-1.527236,-3.469104,-4.610000
-2.271779,-4.032710,-2.070000
-0.999648,-3.069729,-0.330000
-2.736931,-4.384821,-0.900000
-3.284330,-4.799193,-2.700000
