mol_id,dG_pred_kcal,dG_GBn2_kcal,dG_expt_kcal,in_model_vocab,dG_exp_kcal,functional_group,smiles
mobley_1017962,-2.0369709197692574,-33.977413177490234,-2.49,True,-2.49,carboxylic acid ester,CCCCCC(=O)OC
mobley_1019269,-1.121819708287716,-18.113378524780277,-4.72,True,-4.72,primary alcohol,CCCCO
mobley_1034539,-2.298216341655701,-8.963714599609375,-3.04,True,-3.04,aryl chloride,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
mobley_1036761,-2.5704078689217567,-12.796867370605469,-4.59,True,-4.59,primary amine,C1CCC(CC1)N
mobley_1046331,-2.193464197278023,-34.002803802490234,-3.82,True,-3.82,carboxylic acid ester,c1ccc(cc1)OC=O
mobley_1075836,-1.5122525060102343,-32.82574844360352,-2.93,True,-2.93,carboxylic acid ester,CCC(=O)OC
mobley_1079207,-1.3775825418010357,-3.855616807937622,-0.98,True,-0.98,aryl chloride,c1cc(cc(c1)Cl)Cl
mobley_1139153,-4.822272370755672,-3.138599157333374,2.89,True,2.89,,CC(C)CC(C)(C)C
mobley_1144156,-0.6794121961463243,-15.356330871582031,-1.59,True,-1.59,dialkyl ether,CCOCC
mobley_1160109,-4.185280134342611,-13.527750015258787,-3.75,True,-3.75,ketone,C[C@@H]1CC[C@H](CC1=O)C(=C)C
mobley_1178614,-1.6408557138592006,-32.05906677246094,-4.55,True,-4.55,phenol or hydroxyhetarene,c1ccc(c(c1)O)Cl
mobley_1189457,-2.1998177113942803,-5.207815647125244,-2.73,True,-2.73,thioether,CSc1ccccc1
mobley_1231151,-1.3496555321067571,-2.440631628036499,-0.25,True,-0.25,alkyl chloride,CC(C)Cl
mobley_1235151,-1.6813724027462305,-26.005098342895508,-2.82,True,-2.82,nitro,CCCCC[N+](=O)[O-]
mobley_1244778,-2.4082993625439704,-18.524776458740234,-5.48,True,-5.48,secondary alcohol,C1CCCC(CC1)O
mobley_1261349,-3.4995830638185144,-2.040440797805786,2.51,True,2.51,,CC(C)(C)C
mobley_1278715,-0.7747249590158463,-13.730135917663574,-0.64,True,-0.64,halogen derivative,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
mobley_129464,-2.1642965178675952,-16.870317459106445,-0.83,True,-0.83,dialkyl ether,CCCCOCCCC
mobley_1323538,-1.8887948198840023,-40.18085479736328,-7.5,True,-7.5,phosphoric acid ester,CCOP(=O)(OCC)OCC
mobley_1328465,-0.5927210655100644,-6.280257225036621,-1.99,True,-1.99,alkyl chloride,C(C(Cl)Cl)Cl
mobley_1328936,-2.671309659007937,-56.70708465576172,-6.88,True,-6.88,carboxylic acid ester,COC(=O)c1ccc(cc1)[N+](=O)[O-]
mobley_1352110,-4.124187158994377,-24.539493560791016,-3.64,True,-3.64,thiocarbamic acid ester,CCCCN(CC)C(=O)SCCC
mobley_1363784,-2.047494877871126,-10.051213264465332,-4.84,True,-4.84,aromatic,Cc1cc(cnc1)C
mobley_1396156,-1.9257176729515195,-37.27364349365234,-5.22,True,-5.22,aryl chloride,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O
mobley_1417007,-3.658531393200159,-36.19292831420898,-9.01,True,-9.01,halogen derivative,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl
mobley_1424265,-2.2760107419528066,-4.656894207000732,-0.83,True,-0.83,aromatic,Cc1cccc(c1)C
mobley_1449384,-3.2730561199188237,-5.258766174316406,-0.68,True,-0.68,aromatic,Cc1ccc(cc1)C(C)C
mobley_1469079,-2.318677340846509,-47.334774017333984,-3.56,True,-3.56,diaryl ether,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl
mobley_1502181,-2.707705214560032,-12.59344482421875,-2.49,True,-2.49,ketone,CCCCCCCC(=O)C
mobley_1520842,-1.624284070763737,-10.248597145080566,-4.93,True,-4.93,aromatic,Cc1ccncc1
mobley_1527293,-4.945781290128827,-48.89820861816406,-8.42,True,-8.42,aryl fluoride,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O
mobley_1563176,-1.1299363788403571,-4.326741218566895,-0.99,True,-0.99,thiol (sulfanyl),CCCCS
mobley_1571523,-2.675720127310604,-31.390424728393555,-6.16,True,-6.16,phenol or hydroxyhetarene,Cc1cccc(c1C)O
mobley_1592519,-2.3696155866235498,-33.69562149047852,-2.23,True,-2.23,carboxylic acid ester,CCCCCC(=O)OCC
mobley_1615431,-1.9243610287085176,-15.174201965332031,-0.53,True,-0.53,dialkyl ether,CC(C)OC(C)C
mobley_1636752,-0.490915790906176,-17.491682052612305,-5.1,True,-5.1,primary alcohol,CO
mobley_1650157,-2.70088711507991,-17.16294288635254,-4.47,True,-4.47,tertiary alcohol,CC(C)(C)O
mobley_1659169,-1.4051191039215774,-24.859298706054688,-7.17,True,-7.17,dialkyl ether,C1COCCN1
mobley_1662128,-1.0965363164562731,-3.2755489349365234,1.38,True,1.38,alkene,CCC=C
mobley_1674094,-1.744752911206335,-5.652794361114502,0.29,True,0.29,alkyne,CCCCC#C
mobley_1708457,-2.0190364471226934,-13.32243537902832,-10.08,True,-10.08,sulfone,CS(=O)(=O)C
mobley_1717215,-0.7835635065678508,-34.63048553466797,-2.78,True,-2.78,carboxylic acid ester,COC=O
mobley_1722522,-1.7238290447928013,-32.928611755371094,-2.49,True,-2.49,carboxylic acid ester,CCCC(=O)OCC
mobley_1723043,-2.183164628408849,-81.78970336914062,3.43,True,3.43,alkyl fluoride,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
mobley_1728386,-2.5014119597785176,-28.39838981628418,-11.0,True,-11.0,primary carboxylic acid amide,c1ccc(cc1)C(=O)N
mobley_172879,-2.5960464864335955,-46.22705459594727,-3.15,True,-3.15,diaryl ether,c1ccc2c(c1)Oc3ccccc3O2
mobley_1735893,-1.9274433739110828,-38.883602142333984,-6.21,True,-6.21,carboxylic acid,CCCCCC(=O)O
mobley_1743409,-2.926014289394021,-65.39393615722656,-5.71,True,-5.71,carboxylic acid ester,CCOC(=O)CCC(=O)OCC
mobley_1755375,-2.760135150473565,-31.449386596679688,-5.26,True,-5.26,phenol or hydroxyhetarene,Cc1cccc(c1O)C
mobley_1760914,-1.808164689835161,-4.067453384399414,-1.14,True,-1.14,aryl chloride,Cc1ccccc1Cl
mobley_1770205,-3.889295616775751,-46.5885124206543,-10.03,True,-10.03,oxo(het)arene,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
mobley_1781152,-3.925099272705615,-33.28179168701172,-2.4,True,-2.4,carboxylic acid ester,CC(C)(C)C(=O)OC
mobley_1800170,-0.7487726089321077,-3.580358028411865,-1.14,True,-1.14,thiol (sulfanyl),CCS
mobley_1803862,-2.1987261763289574,-2.1169586181640625,2.38,True,2.38,,CCC(C)C
mobley_1821184,-2.1833146221302453,-17.535720825195312,-5.88,True,-5.88,aromatic,Cc1c[nH]c2c1cccc2
mobley_1827204,-1.6962198912091555,-12.711981773376465,-2.81,True,-2.81,aldehyde,CCCCCC=O
mobley_1838110,-0.6449998050034047,-31.88196563720703,1.77,True,1.77,halogen derivative,C(C(F)(Cl)Cl)(F)(F)Cl
mobley_1849020,-3.134483569927513,-28.843137741088867,-6.5,True,-6.5,aryl chloride,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl
mobley_1855337,-1.1095150687098505,-5.13634729385376,-1.62,True,-1.62,aryl chloride,c1c(cc(c(c1Cl)Cl)Cl)Cl
mobley_1857976,-0.4794691480593756,-4.145979881286621,-1.79,True,-1.79,alkyl chloride,C(CCl)Cl
mobley_1858644,-2.081039693646133,-21.456941604614254,-6.79,True,-6.79,primary alcohol,c1ccc(cc1)CCO
mobley_186894,-0.919398456376046,-3.944588422775269,-1.1,True,-1.1,thiol (sulfanyl),CCCS
mobley_1873346,-1.9100769187249245,-4.743374824523926,-0.9,True,-0.9,aromatic,Cc1ccccc1
mobley_1875719,-2.0172540475055576,-11.057425498962402,-3.41,True,-3.41,ketone,CCC(=O)CC
mobley_1881249,-2.0792643384076657,-11.103333473205566,-3.52,True,-3.52,ketone,CCCC(=O)C
mobley_1893815,-0.7789042514283211,-8.149069786071777,-1.43,True,-1.43,alkyl chloride,C(C(Cl)(Cl)Cl)Cl
mobley_1893937,-1.3677159444987774,-3.866628885269165,0.0,True,0.0,alkyl chloride,CCCCCCCl
mobley_1896013,-2.995925452321768,-79.78965759277344,-20.52,True,-20.52,hemiacetal,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
mobley_1899443,-2.1139209633134306,-3.6639909744262695,1.47,True,1.47,alkene,CCCC(=C)C
mobley_1903702,-1.7912021696306766,-17.655654907226562,-4.62,True,-4.62,secondary alcohol,CC[C@H](C)O
mobley_1922649,-3.1057297907173638,-66.14033508300781,-7.19,True,-7.19,nitro,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
mobley_1923244,-1.1449586881641298,-1.773234486579895,2.1,True,2.1,,CCCC
mobley_1929982,-0.2068702065758407,-3.9945223331451416,-0.7,True,-0.7,,S
mobley_1944394,-4.929117382854224,-31.83942413330078,-9.34,True,-9.34,dialkyl ether,CN(C)CCOC(c1ccccc1)c2ccccc2
mobley_1952272,-0.5457897825893014,-26.41969871520996,-4.02,True,-4.02,nitro,C[N+](=O)[O-]
mobley_1963873,-1.19471949181892,-23.795982360839844,-10.0,True,-10.0,secondary carboxylic acid amide,CC(=O)NC
mobley_1967551,-0.6266793949035928,-11.283743858337402,-3.5,True,-3.5,aldehyde,CC=O
mobley_197466,-1.5272362430654467,-10.747156143188477,-4.61,True,-4.61,ketone,CC(=O)C1CC1
mobley_1976156,-2.271779132142663,-13.855774879455566,-2.07,True,-2.07,aldehyde,CCCCCCCCC=O
mobley_1977493,-0.9996484476979822,-2.7590506076812744,-0.33,True,-0.33,alkyl chloride,CCCCl
mobley_1987439,-2.736930967140943,-4.569351196289063,-0.9,True,-0.9,aromatic,Cc1cc(cc(c1)C)C
mobley_2005792,-3.284330562070012,-7.771832466125488,-2.7,True,-2.7,aromatic,c1ccc(cc1)c2ccccc2
mobley_2008055,-0.6247548620607705,-1.0080500841140747,1.83,True,1.83,,CC
