mol_id,mean_nll,max_nll,n_atoms,ensemble_std,abs_error,seed_rmse,quadrant_label,is_wrong18,is_certain47,group
mobley_9534740,24.832468032836914,50.84436798095703,24,1.43334,1.572964,2.0292326868621537,high_std_high_rmse,False,False,other
mobley_6239320,34.57810974121094,47.00603103637695,12,0.517798,3.266243,3.298914430693893,high_std_high_rmse,False,False,other
mobley_7794077,31.611083984375,40.621681213378906,15,0.300727,1.099851,1.1322636579155945,high_std_high_rmse,False,False,other
mobley_7415647,19.740690231323242,34.11117935180664,24,0.466048,0.522393,0.6683226384823432,high_std_high_rmse,False,False,other
mobley_1728386,16.987714767456055,38.920833587646484,16,0.205836,2.099382,2.107439060158656,high_std_high_rmse,False,False,other
mobley_2269032,17.213010787963867,30.363365173339844,31,0.27687,0.73382,0.7744792419198859,high_std_high_rmse,False,False,other
mobley_2913224,18.503698348999023,34.393341064453125,21,0.332464,2.757445,2.773432448533549,high_std_high_rmse,False,False,other
mobley_2659552,17.587305068969727,34.53266906738281,25,0.374982,0.594012,0.6821582149888686,high_std_high_rmse,False,False,other
mobley_7176290,20.089948654174805,30.260225296020508,15,0.271582,0.375689,0.4473791482094349,high_std_high_rmse,False,False,other
mobley_2295058,16.737966537475586,34.023284912109375,19,0.15054,0.032702,0.1385612212337925,high_std_low_rmse,False,False,other
mobley_6055410,21.328285217285156,38.61334228515625,26,0.504513,0.358769,0.5764910196386408,high_std_high_rmse,False,False,other
mobley_4639255,22.515560150146484,40.690086364746094,10,0.039121,0.841379,0.8421062605259501,low_std_high_rmse,True,False,gradient12
mobley_1417007,685.9733276367188,13013.6416015625,24,0.179142,1.658464,1.6661865171382222,high_std_high_rmse,False,False,other
mobley_6115639,41.16943359375,108.35355377197266,17,0.799455,0.147193,0.7300471722120427,high_std_high_rmse,False,False,other
mobley_6353617,18.604482650756836,29.428089141845703,16,0.18378,0.296224,0.3387752264086022,high_std_low_rmse,False,False,other
mobley_2725215,28.119213104248047,56.558502197265625,42,0.685642,1.955904,2.04979090889066,high_std_high_rmse,False,False,other
mobley_7039935,13.589144706726074,32.72171401977539,19,0.332636,1.125567,1.164224888263346,high_std_high_rmse,False,False,other
mobley_4059279,19.261394500732422,31.39185333251953,22,0.336903,0.387042,0.4905141694299972,high_std_high_rmse,False,False,other
