mol_id,mean_nll,max_nll,n_atoms,ensemble_std,abs_error,seed_rmse,quadrant_label,is_wrong18,is_certain47,group
mobley_9534740,27.094221115112305,47.42378616333008,24,1.43334,1.572964,2.0292326868621537,high_std_high_rmse,False,False,other
mobley_6239320,34.97227096557617,42.59636306762695,12,0.517798,3.266243,3.298914430693893,high_std_high_rmse,False,False,other
mobley_7794077,34.262794494628906,44.19871520996094,15,0.300727,1.099851,1.1322636579155945,high_std_high_rmse,False,False,other
mobley_7415647,22.920211791992188,38.28961944580078,24,0.466048,0.522393,0.6683226384823432,high_std_high_rmse,False,False,other
mobley_1728386,21.07571029663086,40.420433044433594,16,0.205836,2.099382,2.107439060158656,high_std_high_rmse,False,False,other
mobley_2269032,20.106943130493164,36.758811950683594,31,0.27687,0.73382,0.7744792419198859,high_std_high_rmse,False,False,other
mobley_2913224,21.802703857421875,39.62071990966797,21,0.332464,2.757445,2.773432448533549,high_std_high_rmse,False,False,other
mobley_2659552,20.28302764892578,37.69298553466797,25,0.374982,0.594012,0.6821582149888686,high_std_high_rmse,False,False,other
mobley_7176290,24.382596969604492,39.21465301513672,15,0.271582,0.375689,0.4473791482094349,high_std_high_rmse,False,False,other
mobley_2295058,20.15701675415039,37.378761291503906,19,0.15054,0.032702,0.1385612212337925,high_std_low_rmse,False,False,other
mobley_6055410,22.910137176513672,41.931541442871094,26,0.504513,0.358769,0.5764910196386408,high_std_high_rmse,False,False,other
mobley_4639255,28.538537979125977,59.378028869628906,10,0.039121,0.841379,0.8421062605259501,low_std_high_rmse,True,False,gradient12
mobley_1417007,47.681396484375,196.7270965576172,24,0.179142,1.658464,1.6661865171382222,high_std_high_rmse,False,False,other
mobley_6115639,33.61848831176758,51.48291778564453,17,0.799455,0.147193,0.7300471722120427,high_std_high_rmse,False,False,other
mobley_6353617,20.592044830322266,30.34526824951172,16,0.18378,0.296224,0.3387752264086022,high_std_low_rmse,False,False,other
mobley_2725215,29.913597106933594,51.517845153808594,42,0.685642,1.955904,2.04979090889066,high_std_high_rmse,False,False,other
mobley_7039935,17.887483596801758,37.33555603027344,19,0.332636,1.125567,1.164224888263346,high_std_high_rmse,False,False,other
mobley_4059279,20.473772048950195,35.90644454956055,22,0.336903,0.387042,0.4905141694299972,high_std_high_rmse,False,False,other
mobley_951560,19.492019653320312,32.681697845458984,16,0.234004,1.997906,2.0088387440886337,high_std_high_rmse,False,False,other
mobley_1922649,26.871639251708984,44.429039001464844,26,0.405325,1.413788,1.4595300797545074,high_std_high_rmse,False,False,other
mobley_8798016,24.676395416259766,36.461185455322266,13,0.0531,0.226773,0.2316932886304649,low_std_low_rmse,False,True,certain47
mobley_1858644,17.35357093811035,30.588624954223633,19,0.155363,0.333996,0.3617502589605155,high_std_low_rmse,False,False,other
mobley_9114381,29.019071578979492,43.834556579589844,12,0.172257,1.055807,1.0669892297064674,high_std_high_rmse,False,False,other
mobley_5311804,18.620128631591797,40.07394790649414,16,0.346868,0.632132,0.7041623019296048,high_std_high_rmse,False,False,other
mobley_6743808,18.94194221496582,37.527565002441406,19,0.151634,0.117543,0.1794735234428746,high_std_low_rmse,False,False,other
mobley_8789864,24.198429107666016,38.792232513427734,21,0.237006,2.118271,2.1288514874729048,high_std_high_rmse,False,False,other
mobley_7009711,20.621414184570312,37.88475036621094,19,0.950038,0.482528,0.9771854460558648,high_std_high_rmse,False,False,other
mobley_8789465,21.324106216430664,47.5495491027832,13,0.326033,0.217525,0.3638069054506802,high_std_high_rmse,False,False,other
mobley_2923700,18.56243324279785,36.86907958984375,19,0.250511,0.359722,0.4237976550211197,high_std_high_rmse,False,False,other
