mol_id,group,abs_err_kcal,signed_err_kcal,c1_diameter,c1_mean_spl,c1_n_atoms_beyond_4hops,c3_n_through_space,c3_n_invisible_bonded,c2_E_gas_kcal,c2_E_solv_kcal,c2_dG_kcal,c2_cancel_ratio
mobley_1075836,certain47,0.13008,-0.13007999999999997,4,2.066666666666667,0,21,0,45.521724700927734,27.073488235473633,18.4482364654541,2.4675381183624268
mobley_1144156,certain47,0.055814,0.05581400000000003,4,2.0,0,27,0,53.62824249267578,51.682029724121094,1.9462120532989502,27.55518913269043
mobley_1160109,certain47,0.152691,0.1526909999999999,6,2.7636363636363637,0,124,0,126.22337341308594,116.14653015136719,10.076841354370117,12.526084899902344
mobley_1449384,gradient12,0.416688,0.41668800000000006,6,2.6666666666666665,0,102,0,101.15524291992188,97.79369354248047,3.3615472316741943,30.091869354248047
mobley_1563176,gradient12,0.3441,0.34409999999999996,4,2.0,0,15,0,67.29881286621094,60.88312530517578,6.4156880378723145,10.489726066589355
mobley_1592519,certain47,0.099261,0.09926099999999982,8,3.3333333333333335,0,131,0,114.86784362792969,97.120849609375,17.746997833251953,6.472522735595703
mobley_1636752,certain47,0.193523,-0.19352300000000078,1,1.0,0,0,0,13.115217208862305,12.986298561096191,0.12891843914985657,101.73267364501953
mobley_1662128,certain47,0.14215,-0.14215,3,1.6666666666666667,0,6,0,56.02920150756836,53.941566467285156,2.087634563446045,26.838605880737305
mobley_1781152,certain47,0.115716,0.11571599999999993,4,2.25,0,45,0,51.2454719543457,34.64413833618164,16.601333618164062,3.0868287086486816
mobley_1827204,certain47,0.1297,-0.12970000000000015,6,2.6666666666666665,0,45,0,96.85702514648438,89.64091491699219,7.216109275817871,13.422333717346191
mobley_1873346,certain47,0.004793,-0.004792999999999936,4,2.0,0,15,0,79.99356079101562,78.82052612304688,1.1730321645736694,68.19383239746094
mobley_1967551,certain47,0.080715,-0.08071500000000009,2,1.3333333333333333,0,0,0,27.387861251831055,25.180301666259766,2.20755934715271,12.40639877319336
mobley_2068538,certain47,0.289895,-0.289895,2,1.3333333333333333,0,0,0,33.00651168823242,31.041595458984375,1.9649157524108887,16.797927856445312
mobley_2197088,certain47,0.024532,0.024531999999999776,9,3.6666666666666665,1,215,0,160.24742126464844,152.23500061035156,8.01242446899414,19.999866485595703
mobley_2245668,certain47,0.048121,-0.04812100000000008,3,1.8,0,6,0,53.13568878173828,51.31806182861328,1.817628026008606,29.23353385925293
mobley_2310185,certain47,0.208744,-0.20874400000000026,2,1.3333333333333333,0,0,0,33.93396759033203,33.14449691772461,0.7894688844680786,42.9832878112793
mobley_2484519,certain47,0.134748,-0.13474799999999987,5,2.2857142857142856,0,15,0,100.31420135498047,51.05399703979492,49.26020431518555,2.036414623260498
mobley_2487143,certain47,0.037202,0.037201999999999735,5,2.4761904761904763,0,48,0,82.38851165771484,76.73881530761719,5.649697303771973,14.582818984985352
mobley_2489709,certain47,0.092989,0.09298899999999999,4,2.142857142857143,0,3,0,405.65142822265625,511.53912353515625,105.8876953125,4.830959320068359
mobley_2689721,certain47,0.134371,-0.13437100000000002,3,1.8,0,12,0,85.30134582519531,80.43405151367188,4.867293834686279,17.525415420532227
mobley_3040612,certain47,0.158054,0.15805400000000003,5,2.388888888888889,0,69,0,97.54122924804688,95.35061645507812,2.1906163692474365,44.5268440246582
mobley_3269565,gradient12,0.454734,0.45473399999999975,3,1.8,0,18,0,45.264739990234375,42.63355255126953,2.6311891078948975,17.203149795532227
mobley_3546460,certain47,0.091769,0.09176900000000021,6,2.6666666666666665,0,66,0,107.10262298583984,101.3946762084961,5.707943916320801,18.763782501220703
mobley_3573480,certain47,0.052288,-0.05228799999999989,6,2.8214285714285716,0,80,0,100.92118835449219,94.60873413085938,6.3124542236328125,15.987630844116211
mobley_3682850,gradient12,0.425507,0.4255070000000005,4,2.0,0,10,0,82.8252182006836,75.28245544433594,7.542764186859131,10.980751037597656
mobley_3802803,certain47,0.079206,-0.07920600000000011,8,3.511111111111111,0,88,0,13529.318359375,13674.0986328125,144.78045654296875,94.44712829589844
mobley_3968739,certain47,0.150142,0.15014199999999978,6,2.688888888888889,0,49,0,89.64742279052734,71.16584777832031,18.481578826904297,4.8506364822387695
mobley_397645,certain47,0.218903,0.21890300000000007,7,2.981818181818182,0,83,0,105.97122192382812,83.24557495117188,22.725648880004883,4.663066864013672
mobley_4252724,gradient12,0.401738,-0.40173800000000004,6,2.8,0,99,0,120.298583984375,117.06951141357422,3.229069948196411,37.2548713684082
mobley_4483973,gradient12,0.822318,-0.8223179999999999,4,2.0,0,3,0,76.96287536621094,64.91248321533203,12.050393104553223,6.386752128601074
mobley_4620651,gradient12,0.804883,0.8048829999999998,4,2.142857142857143,0,25,0,67.49932098388672,49.28407287597656,18.21525001525879,3.705648899078369
mobley_4639255,gradient12,0.841379,-0.8413789999999999,3,1.6666666666666667,0,1,0,48.89842224121094,43.15835189819336,5.74006986618042,8.51878547668457
mobley_4762983,certain47,0.105555,0.10555500000000007,6,2.6666666666666665,0,68,0,110.36112976074219,105.60215759277344,4.758971214294434,23.190122604370117
mobley_4883284,gradient12,0.564867,-0.5648669999999996,4,2.0,0,11,0,68.8985595703125,63.47787094116211,5.420689582824707,12.710293769836426
mobley_5052949,gradient12,0.862238,0.8622380000000001,6,2.6666666666666665,0,78,0,93.14753723144531,69.42045593261719,23.72707748413086,3.925790548324585
mobley_5157661,certain47,0.04793,-0.04793000000000003,2,1.5,0,0,0,39.22703552246094,41.804542541503906,2.5775086879730225,16.21897315979004
mobley_5346580,certain47,0.176327,0.17632699999999968,3,2.0,0,27,0,54.86312484741211,55.8458251953125,0.9827011227607727,56.82890319824219
mobley_5445548,certain47,0.092207,-0.09220699999999998,5,2.4444444444444446,0,63,0,99.45646667480469,96.94702911376953,2.509434938430786,39.63301086425781
mobley_5518547,certain47,0.160313,-0.16031299999999948,5,2.2142857142857144,0,29,0,72.16320037841797,66.39026641845703,5.7729363441467285,12.500259399414062
mobley_5538249,certain47,0.031378,-0.031377999999999684,8,3.3142857142857145,0,85,0,150.54690551757812,128.63705444335938,279.1839599609375,0.5392391085624695
mobley_5973402,certain47,0.234978,0.2349779999999999,4,2.1333333333333333,0,27,0,77.71195983886719,74.65510559082031,3.0568552017211914,25.422191619873047
mobley_6102880,certain47,0.015531,0.015531000000000184,8,3.3846153846153846,0,107,0,146.68450927734375,138.56466674804688,8.119839668273926,18.064950942993164
mobley_6250025,certain47,0.226865,0.22686499999999998,6,2.6666666666666665,0,53,0,104.67337799072266,100.30636596679688,4.367012023925781,23.969106674194336
mobley_6257907,gradient12,0.617863,-0.6178629999999998,4,2.1785714285714284,0,11,0,72.58637237548828,16.245323181152344,88.83169555664062,0.8171224594116211
mobley_627267,certain47,0.009062,-0.009062,3,1.8,0,0,0,55.239105224609375,55.17557907104492,0.06352706253528595,869.5365600585938
mobley_6619554,certain47,0.067886,0.06788600000000011,7,3.0,0,101,0,95.816650390625,79.24533081054688,16.57132339477539,5.782075881958008
mobley_6911232,certain47,0.335707,0.3357070000000002,3,1.6666666666666667,0,9,0,38.825870513916016,36.83930206298828,1.9865691661834717,19.54418182373047
mobley_7157427,certain47,0.087019,0.08701900000000001,7,3.0,0,88,0,126.00262451171875,73.45333099365234,52.549293518066406,2.397798538208008
mobley_7542832,certain47,0.021131,0.02113100000000001,6,2.6666666666666665,0,78,0,88.5026626586914,82.58274841308594,5.919914722442627,14.949989318847656
mobley_7708038,certain47,0.007993,0.007993000000000028,3,1.6666666666666667,0,0,0,48.66504669189453,47.91609573364258,0.7489504218101501,64.9776611328125
mobley_7814642,certain47,0.346927,-0.346927,5,2.3333333333333335,0,3,0,403.8866882324219,504.36566162109375,100.47895812988281,5.0196146965026855
mobley_7943327,certain47,0.041188,-0.041188,5,2.380952380952381,0,45,0,60.603702545166016,46.1083984375,14.495306015014648,4.180919170379639
mobley_7977115,certain47,0.027464,-0.027464000000000155,5,2.380952380952381,0,63,0,99.70018005371094,94.22698974609375,5.473193645477295,18.216089248657227
mobley_8436428,certain47,0.076447,-0.07644699999999993,4,2.2857142857142856,0,72,0,86.43276977539062,82.10382843017578,4.328943729400635,19.966249465942383
mobley_8449031,gradient12,1.012433,1.0124330000000001,4,2.2857142857142856,0,81,0,20.471939086914062,18.279932022094727,2.192007541656494,9.339356422424316
mobley_8522124,certain47,0.079021,0.07902100000000001,7,3.0,0,76,0,112.53947448730469,107.67371368408203,4.865761756896973,23.12885093688965
mobley_859464,certain47,0.097102,-0.09710200000000002,5,2.642857142857143,0,60,0,67.56085968017578,49.28302764892578,18.27783203125,3.6963279247283936
mobley_8798016,certain47,0.226773,-0.22677299999999967,5,2.2857142857142856,0,8,0,76.27328491210938,60.544620513916016,15.72866439819336,4.84931755065918
mobley_9507933,certain47,0.168151,0.16815099999999994,5,2.2142857142857144,0,32,0,61.68640899658203,54.088199615478516,7.598210334777832,8.118544578552246
