mol_id,stored_single_conf_pred_kcal,true_kcal,stored_single_conf_abs_err
mobley_9534740,-3.1896440982818604,-25.47,22.28035590171814
mobley_6239320,-4.043542385101318,-18.06,14.01645761489868
mobley_7794077,-3.0532498359680176,-15.46,12.406750164031983
mobley_7415647,-2.2487423419952393,-11.95,9.70125765800476
mobley_1728386,-4.61905574798584,-11.0,6.38094425201416
mobley_2269032,-6.707098484039307,-10.21,3.502901515960694
mobley_2913224,-5.995882034301758,-9.94,3.9441179656982417
mobley_2659552,-2.138895034790039,-9.76,7.621104965209961
mobley_7176290,-4.471529960632324,-9.62,5.148470039367675
mobley_2295058,-3.1458957195281982,-9.51,6.3641042804718015
mobley_6055410,-8.235058784484863,-9.4,1.164941215515137
mobley_4639255,1.1221808195114136,-9.3,10.422180819511414
mobley_1417007,-14.853407859802246,-9.01,5.843407859802246
mobley_6115639,0.9852461218833923,-8.7,9.685246121883392
mobley_6353617,-3.1695303916931152,-8.26,5.0904696083068846
mobley_2725215,-9.845054626464844,-7.98,1.8650546264648433
mobley_7039935,-4.0543670654296875,-7.67,3.6156329345703124
mobley_4059279,-1.094184398651123,-7.58,6.485815601348877
mobley_951560,-1.4273113012313843,-7.4,5.972688698768616
mobley_1922649,-2.477729082107544,-7.19,4.7122709178924564
mobley_8798016,-3.921454906463623,-7.0,3.078545093536377
mobley_1858644,-3.5198287963867188,-6.79,3.2701712036132813
mobley_9114381,0.6122426390647888,-6.72,7.332242639064789
mobley_5311804,-2.8137359619140625,-6.62,3.8062640380859376
mobley_6743808,-4.341241359710693,-6.5,2.1587586402893066
mobley_8789864,2.2572522163391113,-6.4,8.657252216339112
mobley_7009711,-6.0614118576049805,-6.27,0.2085881423950191
mobley_8789465,-2.801081657409668,-6.2,3.398918342590332
mobley_2923700,-4.365924835205078,-6.13,1.7640751647949218
mobley_4780078,-2.168344497680664,-6.01,3.8416555023193357
mobley_5467162,-5.048050403594971,-5.91,0.8619495964050294
mobley_6257907,-7.0700788497924805,-5.82,1.2500788497924802
mobley_7913234,-1.8050364255905151,-5.73,3.9249635744094853
mobley_5518547,-7.638607978820801,-5.57,2.0686079788208005
mobley_4883284,-5.225617408752441,-5.49,0.2643825912475588
mobley_5220185,-3.940424680709839,-5.45,1.5095753192901613
mobley_3359593,-4.6928582191467285,-5.26,0.5671417808532713
mobley_4683624,-5.718869209289551,-5.21,0.5088692092895508
mobley_1636752,1.700021505355835,-5.1,6.800021505355835
mobley_2310185,0.36537232995033264,-5.0,5.365372329950333
mobley_3682850,-1.68401038646698,-4.91,3.22598961353302
mobley_1363784,-5.498796463012695,-4.84,0.6587964630126955
mobley_2837389,-1.3191298246383667,-4.78,3.4608701753616335
mobley_9507933,-6.230099201202393,-4.72,1.5100992012023928
mobley_296847,-0.4305596649646759,-4.69,4.2594403350353245
mobley_8208692,-5.399856090545654,-4.61,0.789856090545654
mobley_4884177,-3.15683650970459,-4.59,1.43316349029541
mobley_6714389,1.094557285308838,-4.55,5.644557285308838
mobley_2245668,0.15490193665027618,-4.5,4.654901936650276
mobley_5973402,-1.5742601156234741,-4.42,2.845739884376526
mobley_3546460,-2.277000904083252,-4.4,2.1229990959167484
mobley_8311303,-3.0419604778289795,-4.38,1.3380395221710204
mobley_9741965,-1.0057275295257568,-4.29,3.284272470474243
mobley_4603202,3.3240113258361816,-4.23,7.554011325836182
mobley_628086,0.5231266021728516,-4.16,4.683126602172852
mobley_4620651,-0.704759418964386,-4.1,3.3952405810356137
mobley_7977115,-1.526199460029602,-4.06,2.5338005399703976
mobley_2789243,-1.7735965251922607,-4.01,2.236403474807739
mobley_3968739,-0.30230632424354553,-3.92,3.6176936757564544
mobley_63712,-1.046797513961792,-3.88,2.833202486038208
mobley_1046331,-2.9715771675109863,-3.82,0.8484228324890135
mobley_1160109,-6.2411322593688965,-3.75,2.4911322593688965
mobley_4149784,-5.530550956726074,-3.67,1.8605509567260743
mobley_397645,-1.3874726295471191,-3.64,2.252527370452881
