mol_id,group,n_conformers_kept_50,pred_std_across_conformers,pred_range_kcal,mmff_energy_spread_kcal,tta50_pred_kcal,tta5_pred_kcal_local,tta5_pred_kcal_box,true_kcal,abs_err_tta5_box,abs_err_tta5_local,abs_err_tta50
mobley_9534740,other,16,1.0344030857086182,3.601073980331421,18.775293971383917,-4.201811790466309,-3.3811516761779785,-24.241587,-25.47,1.572964,22.088848114013672,21.2681884765625
mobley_6239320,other,1,0.0,0.0,0.0,-4.043542385101318,-4.043542385101318,-20.973351,-18.06,3.266243,14.016456604003906,14.016456604003906
mobley_7794077,other,1,0.0,0.0,0.0,-3.0532498359680176,-3.0532498359680176,-13.88555,-15.46,1.099851,12.406749725341797,12.406749725341797
mobley_7415647,other,3,9.333744674222544e-05,0.00018596649169921875,4.790557284195529e-08,-2.2487313747406006,-2.2487807273864746,-12.693879,-11.95,0.522393,9.70121955871582,9.701268196105957
mobley_1728386,other,1,0.0,0.0,0.0,-4.61905574798584,-4.61905574798584,-8.936635,-11.0,2.099382,6.38094425201416,6.38094425201416
mobley_2269032,other,4,0.35736459493637085,0.7592077255249023,0.7114016627688073,-7.135770797729492,-7.188256740570068,-9.296826,-10.21,0.73382,3.0217432975769043,3.0742292404174805
mobley_2913224,other,2,1.753308970364742e-05,2.47955322265625e-05,9.205081141772098e-10,-5.9958720207214355,-5.9958720207214355,-6.931876,-9.94,2.757445,3.9441275596618652,3.9441275596618652
mobley_2659552,other,2,0.04506931081414223,0.06373763084411621,0.06003980190163105,-2.1070261001586914,-2.1070261001586914,-9.43973,-9.76,0.594012,7.6529741287231445,7.6529741287231445
mobley_7176290,other,1,0.0,0.0,0.0,-4.471529960632324,-4.471529960632324,-9.090693,-9.62,0.375689,5.148469924926758,5.148469924926758
mobley_2295058,other,1,0.0,0.0,0.0,-3.1458957195281982,-3.1458957195281982,-9.352048,-9.51,0.032702,6.364104270935059,6.364104270935059
mobley_6055410,other,4,0.38180577754974365,0.8048958778381348,9.817885143112992,-8.084563255310059,-8.196181297302246,-8.486662,-9.4,0.358769,1.2038183212280273,1.3154363632202148
mobley_4639255,gradient12,2,0.6122819781303406,0.8658974170684814,4.36884803605037,0.6892316341400146,1.1221808195114136,-10.110086,-9.3,0.841379,10.422181129455566,9.989232063293457
mobley_1417007,other,4,1.4198755707184318e-05,3.0517578125e-05,3.514262658654843e-09,-14.853399276733398,-14.853398323059082,-7.208428,-9.01,1.658464,5.843398094177246,5.8433990478515625
