mol_id,logp_crippen,tpsa,rotatable_bonds,h_bond_donors,h_bond_acceptors,molecular_weight,num_rings,fraction_csp3,formal_charge,group,signed_error,abs_error,mean_nll,best_sim,smiles,ensemble_mean,true_value
mobley_9534740,-3.2213999999999987,110.38000000000001,1,5,6,180.156,1,1.0,0.0,other,1.572963999999999,1.572964,27.094221115112305,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-23.897036,-25.47
mobley_6239320,-2.2485000000000004,98.57999999999998,0,3,3,129.075,1,0.0,0.0,other,-3.266243000000003,3.266243,34.97227096557617,,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-21.326243,-18.06
mobley_7794077,0.08199999999999996,65.72,0,2,2,180.08499999999995,1,0.2,0.0,other,1.099851000000001,1.099851,34.262794494628906,,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-14.360149,-15.46
mobley_7415647,1.2966,63.45,2,0,3,194.18999999999997,1,0.2222222222222222,0.0,other,-0.522393000000001,0.522393,22.920211791992188,,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-12.472393,-11.95
mobley_1728386,0.7855000000000001,43.09,1,1,1,121.13899999999998,1,0.0,0.0,other,2.0993820000000003,2.099382,21.07571029663086,,c1ccc(cc1)C(=O)N,-8.900618,-11.0
mobley_2269032,3.036500000000001,46.53,3,1,2,230.26299999999998,2,0.21428571428571427,0.0,other,0.7338200000000015,0.73382,20.106943130493164,,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-9.47618,-10.21
mobley_2913224,1.3101,63.60000000000001,2,1,3,180.15899999999996,1,0.1111111111111111,0.0,other,2.7574449999999997,2.757445,21.802703857421875,,CC(=O)Oc1ccccc1C(=O)O,-7.182555,-9.94
mobley_2659552,1.69682,20.310000000000002,1,0,1,163.21999999999997,1,0.3,0.0,other,0.5940119999999993,0.594012,20.28302764892578,,Cc1ccc(cc1)C(=O)N(C)C,-9.165988,-9.76
mobley_7176290,1.3004000000000002,63.370000000000005,1,1,3,139.10999999999999,1,0.0,0.0,other,0.3756889999999995,0.375689,24.38259696960449,,c1cc(cc(c1)O)[N+](=O)[O-],-9.244311,-9.62
mobley_2295058,1.1788,46.53,1,1,3,152.149,1,0.125,0.0,other,-0.03270200000000045,0.032702,20.15701675415039,,COC(=O)c1ccc(cc1)O,-9.542702,-9.51
mobley_6055410,3.035600000000001,57.53,2,2,2,250.19999999999996,2,0.0,0.0,other,0.35876900000000056,0.358769,22.910137176513672,,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.041231,-9.4
mobley_4639255,-1.029,40.46,1,2,2,62.068000000000005,0,1.0,0.0,gradient12,-0.8413789999999999,0.841379,28.538537979125977,0.375,C(CO)O,-10.141379,-9.3
mobley_1417007,2.9135000000000018,37.38,1,0,3,300.59399999999994,2,0.5555555555555556,0.0,other,1.6584639999999995,1.658464,47.681396484375,,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-7.351536,-9.01
mobley_6115639,1.0337,44.760000000000005,3,0,4,140.075,0,1.0,0.0,other,0.14719299999999969,0.147193,33.61848831176758,,COP(=O)(OC)OC,-8.552807,-8.7
mobley_6353617,1.2842,29.96,1,0,2,121.13899999999997,1,0.14285714285714285,0.0,other,0.2962239999999996,0.296224,20.592044830322266,,CC(=O)c1cccnc1,-7.963776,-8.26
mobley_2725215,2.5329000000000006,123.66,8,0,7,345.3770000000001,1,0.5384615384615384,0.0,other,-1.9559040000000003,1.955904,29.913597106933597,,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-9.935904,-7.98
mobley_7039935,2.545400000000001,20.23,0,1,1,144.17299999999997,2,0.0,0.0,other,1.1255670000000002,1.125567,17.887483596801758,,c1ccc2c(c1)cccc2O,-6.544433,-7.67
mobley_4059279,-0.13640000000000008,6.48,0,0,2,114.192,1,1.0,0.0,other,0.3870420000000001,0.387042,20.473772048950195,,CN1CCN(CC1)C,-7.192958,-7.58
mobley_951560,-0.8208,24.06,0,2,2,86.138,1,1.0,0.0,other,-1.9979060000000004,1.997906,19.492019653320312,,C1CNCCN1,-9.397906,-7.4
