mol_id,group,full_best_sim,full_best_neighbor,full_top5_mean,full_top5_median,full_n_gt0p3,brp_best_sim,brp_best_neighbor,brp_top5_mean,brp_top5_median
mobley_4639255,gradient12,0.5,pubchem_6171,0.4505050505050505,0.4444444444444444,25,0.3076923076923077,pubchem_103715,0.3076923076923077,0.3076923076923077
mobley_8798016,certain47,0.5789473684210527,CCDC_36793,0.49877930993491637,0.4782608695652174,58,0.34615384615384615,16_31223,0.27656528198323865,0.2619047619047619
mobley_6257907,gradient12,0.4,CCDC_165170,0.3600287356321839,0.34375,15,0.2682926829268293,CCDC_106857,0.2573170731707317,0.25
mobley_5518547,certain47,0.6842105263157895,CCDC_730214,0.46327181590339483,0.42105263157894735,36,0.25806451612903225,CCDC_468832,0.24391728579388072,0.24242424242424243
mobley_4883284,gradient12,0.4,CCDC_740699,0.4,0.4,80,0.3684210526315789,CCDC_328112,0.3168421052631579,0.3
mobley_1636752,certain47,0.3333333333333333,CCDC_573724,0.29523809523809524,0.2857142857142857,1,0.2857142857142857,pubchem_121339,0.2658730158730159,0.2857142857142857
mobley_2310185,certain47,0.42857142857142855,pubchem_6171,0.3766233766233767,0.36363636363636365,64,0.36363636363636365,pubchem_1310,0.3454545454545454,0.3333333333333333
mobley_3682850,gradient12,1.0,CCDC_783014,0.8380952380952381,0.8333333333333334,134,0.35,pubchem_59558,0.32360519740129934,0.32
mobley_9507933,certain47,0.4444444444444444,CCDC_865191,0.3961885608944432,0.38461538461538464,13,0.2857142857142857,CCDC_148675,0.2343874807987711,0.22580645161290322
mobley_2245668,certain47,0.5714285714285714,pubchem_230940,0.5142857142857142,0.5,603,0.4444444444444444,pubchem_237172,0.4234477124183006,0.4117647058823529
mobley_5973402,certain47,0.6470588235294118,10_58233,0.5853935460824006,0.5789473684210527,600,0.5294117647058824,pubchem_32439,0.4648297213622291,0.45
mobley_3546460,certain47,1.0,12_24179,1.0,1.0,1207,0.47368421052631576,13_14216,0.458160552897395,0.45454545454545453
mobley_4620651,gradient12,0.5238095238095238,15_21657,0.4424499079825167,0.43478260869565216,63,0.34285714285714286,CCDC_852968,0.30531278866061473,0.30434782608695654
mobley_7977115,certain47,0.7222222222222222,10_89568,0.6329824561403509,0.6111111111111112,739,0.5238095238095238,pubchem_66607,0.4808030946932549,0.4782608695652174
mobley_3968739,certain47,1.0,CCDC_33475,0.8554347826086957,1.0,764,0.45161290322580644,18_22152,0.4170899362360463,0.4117647058823529
mobley_1160109,certain47,0.4594594594594595,CCDC_957017,0.3715636090636091,0.36363636363636365,7,0.225,16_23794,0.20823977546110664,0.20689655172413793
