mol_id,group,smiles,abs_error,signed_error,sanitize_warnings,kekulize_failed,radicals,sanitize_note,taut_amide_urea_lactam,taut_imine,taut_enol_OH,"taut_1,3_dicarbonyl",taut_guanidine,taut_amidine,taut_aromatic_pyrrole_NH,taut_phenol_OH,taut_alpha_CH2_to_carbonyl,ion_carboxylic_acid,ion_carboxylate,ion_amine_primary_secondary,ion_amine_tertiary,ion_sulfonic_acid,ion_nitro,has_charged_atoms,charged_atoms_desc,n_charged_atoms,formal_charge_sum,n_chiral_centers,n_undefined_stereo,has_undefined_stereo,stereo_centers_desc,n_heavy_from_smiles,n_atoms_as_model_sees,n_H_added,non_model_element,non_vocab_element,elements
mobley_9534740,other,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,1.572964,1.572963999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,5,0,False,R;S;S;R;R,12,24,12,False,False,6.8
mobley_6239320,other,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,3.266243,-3.266243000000003,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,12,3,False,False,6.7.8
mobley_7794077,other,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,1.099851,1.099851000000001,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,12,15,3,False,False,6.7.8.9
mobley_7415647,other,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],0.522393,-0.522393000000001,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,N:1;O:-1,2,0.0,0,0,False,,14,24,10,False,False,6.7.8
mobley_1728386,other,c1ccc(cc1)C(=O)N,2.099382,2.0993820000000003,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,16,7,False,False,6.7.8
mobley_2269032,other,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,0.73382,0.7338200000000015,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,0,0.0,1,0,False,S,17,31,14,False,False,6.8
mobley_2913224,other,CC(=O)Oc1ccccc1C(=O)O,2.757445,2.757445,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,0,0.0,0,0,False,,13,21,8,False,False,6.8
mobley_2659552,other,Cc1ccc(cc1)C(=O)N(C)C,0.594012,0.5940119999999993,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,12,25,13,False,False,6.7.8
mobley_7176290,other,c1cc(cc(c1)O)[N+](=O)[O-],0.375689,0.3756889999999995,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,N:1;O:-1,2,0.0,0,0,False,,10,15,5,False,False,6.7.8
mobley_2295058,other,COC(=O)c1ccc(cc1)O,0.032702,-0.0327020000000004,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,11,19,8,False,False,6.8
