n_heavy,frac_pairs_beyond_6A,end_to_end_heavy_A,gyration_radius_heavy_A,mol_id,group,abs_error,signed_error,smiles,dipole_D
12,0.015151515151515152,6.511836474898835,2.3217183412801687,mobley_9534740,other,1.572964,1.572963999999999,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,2.8150330496624805
9,0.0,4.525538320841156,1.8727472927465936,mobley_6239320,other,3.266243,-3.266243000000003,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,3.339054839175186e-05
12,0.045454545454545456,6.208841705318623,2.257551989745777,mobley_7794077,other,1.099851,1.099851000000001,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,2.3118448881645914
14,0.17582417582417584,8.717335343841873,2.9007464886456753,mobley_7415647,other,0.522393,-0.522393000000001,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],5.178963181144682
9,0.0,5.086280389909683,2.014478152557903,mobley_1728386,other,2.099382,2.0993820000000003,c1ccc(cc1)C(=O)N,2.265257899755579
17,0.23529411764705882,10.542946393686629,3.33401270435042,mobley_2269032,other,0.73382,0.7338200000000015,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,1.9100323301603
13,0.01282051282051282,6.337735729233976,2.3468086398464765,mobley_2913224,other,2.757445,2.7574449999999997,CC(=O)Oc1ccccc1C(=O)O,0.8923538839300447
12,0.09090909090909091,8.015124423268697,2.544961087171909,mobley_2659552,other,0.594012,0.5940119999999993,Cc1ccc(cc1)C(=O)N(C)C,2.4860877327624147
10,0.0,5.954589603383953,2.1436165052276532,mobley_7176290,other,0.375689,0.3756889999999995,c1cc(cc(c1)O)[N+](=O)[O-],3.7727743861014083
11,0.09090909090909091,7.700990094263584,2.454769482921573,mobley_2295058,other,0.032702,-0.03270200000000045,COC(=O)c1ccc(cc1)O,2.2035371958610934
18,0.24183006535947713,10.064136622121413,3.2684880062096715,mobley_6055410,other,0.358769,0.35876900000000056,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,1.723004535612023
4,0.0,2.7881421374437,1.2678004247139907,mobley_4639255,gradient12,0.841379,-0.8413789999999999,C(CO)O,2.4132183782839967
16,0.13333333333333333,8.791223251683698,2.894597891523356,mobley_1417007,other,1.658464,1.6584639999999995,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,2.7942380587336517
8,0.0,4.428443098451498,1.9240392344817618,mobley_6115639,other,0.147193,0.14719299999999969,COP(=O)(OC)OC,0.6386433509686247
9,0.0,5.130962229676243,2.0205034780252804,mobley_6353617,other,0.296224,0.2962239999999996,CC(=O)c1cccnc1,1.159611484386086
23,0.18972332015810275,10.02364242301939,3.3358681709321507,mobley_2725215,other,1.955904,-1.9559040000000003,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],4.174757034094217
11,0.0,5.155890919090586,2.1171129506317374,mobley_7039935,other,1.125567,1.1255670000000002,c1ccc2c(c1)cccc2O,2.1065532495022055
8,0.0,5.694585254412406,1.8966512877181614,mobley_4059279,other,0.387042,0.3870420000000001,CN1CCN(CC1)C,1.0733357286458447
6,0.0,2.971893852585641,1.448354772489182,mobley_951560,other,1.997906,-1.9979060000000004,C1CNCCN1,1.392582728174886e-05
16,0.225,9.318453595979678,3.2956549870141916,mobley_1922649,other,1.413788,-1.4137879999999994,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],5.580005283117194
8,0.0,5.009199973153212,1.860571584117661,mobley_8798016,certain47,0.226773,-0.22677299999999967,c1cnccc1C=O,2.00334015076753
9,0.027777777777777776,6.44523954797156,2.2403011594980766,mobley_1858644,other,0.333996,0.33399599999999996,c1ccc(cc1)CCO,1.5230014162795233
7,0.0,5.836954368065863,1.981622909025365,mobley_9114381,other,1.055807,-1.0558070000000006,COC(=O)CC#N,2.450286682925724
8,0.0,4.9696465640314385,1.8804760781152616,mobley_5311804,other,0.632132,0.6321320000000004,c1ccc(cc1)CO,1.531084451544092
9,0.0,5.663893100852591,1.981395908077888,mobley_6743808,other,0.117543,0.1175430000000004,Cc1ccc(cc1C)O,2.287131139048529
10,0.0,5.494646909847206,2.0824255156645832,mobley_8789864,other,2.118271,-2.118271,COC(CC#N)(OC)OC,3.5286691362833844
9,0.0,5.03633233178134,2.0046592098926563,mobley_7009711,other,0.482528,0.4825279999999994,Cc1cc(cc(c1)O)C,2.1895301569577637
8,0.0,4.883617102434573,1.8666812828384163,mobley_8789465,other,0.217525,0.2175250000000002,c1ccc(c(c1)O)I,2.9275648248501676
9,0.027777777777777776,6.375706003943663,2.1105446727229173,mobley_2923700,other,0.359722,0.35972199999999965,CCc1ccc(cc1)O,2.192297580321314
9,0.0,5.659877259910434,1.9839195693672809,mobley_4780078,other,0.282344,0.28234400000000015,Cc1ccc(c(c1)C)O,2.191757317703845
11,0.05454545454545454,6.533212691804726,2.3540056684435737,mobley_5467162,other,0.327724,0.3277239999999999,CC(C)(C)c1ccc(cc1)O,2.205137636136706
8,0.0,5.123902717997324,1.874660397184633,mobley_6257907,gradient12,0.617863,-0.6178629999999998,c1cc(cc(c1)Cl)N,1.1671110526807413
9,0.2222222222222222,8.656148504221104,2.8790557553826654,mobley_7913234,other,1.011322,-1.0113219999999998,CCCCOC[C@H](C)O,2.825055419531938
8,0.0,5.716393364679061,1.872866123158354,mobley_5518547,certain47,0.160313,-0.16031299999999948,Cc1ccc(cc1)N,0.7930178778974116
7,0.0,4.20393324455449,1.6225079670694378,mobley_4883284,gradient12,0.564867,-0.5648669999999996,c1ccc(cc1)N,0.7001254461032256
8,0.0,4.9423277357138655,1.8621247023645204,mobley_5220185,other,0.04786,0.047860000000000014,CCc1cnccn1,0.19703443874134696
12,0.07575757575757576,7.863055835292719,2.6321062211600843,mobley_3359593,isolated6,0.714741,-0.7147410000000001,CCCc1ccc(c(c1)OC)O,4.365447764775119
10,0.06666666666666667,7.868214879401923,2.4593699173445605,mobley_4683624,other,0.461769,-0.4617690000000003,CCCc1ccc(cc1)O,2.1962398582194242
2,0.0,1.415733909997913,0.7078669549989565,mobley_1636752,certain47,0.193523,-0.19352300000000078,CO,1.5824436392043293
3,0.0,2.4043369189357904,1.0589179327016145,mobley_2310185,certain47,0.208744,-0.20874400000000026,CCO,1.6200344743911128
7,0.0,4.202017259022755,1.6512696933168278,mobley_3682850,gradient12,0.425507,0.4255070000000005,C1CCC(=O)CC1,2.639699727027954
8,0.0,5.043757160145441,1.8414117874174383,mobley_1363784,other,0.498597,0.4985970000000002,Cc1cc(cnc1)C,1.480133429690439
5,0.0,2.249810887034423,1.1757386081800763,mobley_2837389,other,0.869351,-0.869351,c1cc[nH]c1,0.39632864533715956
8,0.0,5.748395744692833,1.8685655012077405,mobley_9507933,certain47,0.168151,0.16815099999999994,Cc1ccc(nc1)C,1.3368869695701044
6,0.0,2.797178017602526,1.375664325533979,mobley_296847,other,0.019711,0.019711000000000034,c1ccncc1,1.3658506972398365
20,0.22105263157894736,10.60498613922421,3.3356371156515743,mobley_8208692,other,1.309067,1.3090670000000002,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,1.752078952586325
8,0.0,5.0009649634829,1.8853195727149927,mobley_4884177,other,0.166916,0.16691599999999962,CCc1cccnc1,1.4295964150244318
2,0.0,1.4519659715242057,0.7259829857621029,mobley_6714389,other,0.445853,-0.4458530000000005,CN,0.7670152476885276
5,0.0,3.7597654310278013,1.5058588148940202,mobley_2245668,certain47,0.048121,-0.04812100000000008,CC(C)CO,1.570349699285335
6,0.0,4.91223356899269,1.868692244927509,mobley_5973402,certain47,0.234978,0.2349779999999999,CC(C)CCO,1.6303579249009863
7,0.09523809523809523,6.7255487660346605,2.40753597901181,mobley_3546460,certain47,0.091769,0.09176900000000021,CCCCCCO,1.6191222062945163
18,0.20915032679738563,9.474470253288947,3.2207870772375915,mobley_8311303,other,0.981506,0.981506,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,1.9391698464853957
12,0.19696969696969696,7.867681900232905,2.9238930994872523,mobley_9741965,other,0.757753,-0.7577530000000001,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],2.237009338316138
7,0.14285714285714285,7.807495608228954,2.5680317826144505,mobley_4603202,other,0.010166,-0.010165999999999897,C(CCl)OCCCl,1.4791235996684742
