graph,mode,arm,alpha,population,n,delta_mae,ci_lo,ci_hi
tanimoto,A,trust,0.9,Q_std,33,-4.8405603885372415,-10.697389912195447,-0.7464084787850087
tanimoto,A,trust,0.9,Q_nll,33,-4.6499084810581826,-10.668619366685046,-0.4782615533713958
tanimoto,A,trust,0.9,UNION,50,-3.0860074335790397,-7.084538067004675,-0.3434059665123597
tanimoto,A,trust,0.9,all129,129,-1.1961269122399378,-2.7628417436540964,-0.10116465613781618
tanimoto,A,trust,0.9,gradient12,12,-0.1310060846872266,-0.3930182540616798,0.0
tanimoto,A,naive,1.0,Q_std,33,-4.2575365278779955,-8.483912213731625,-0.976520116899217
tanimoto,A,naive,1.0,Q_nll,33,-3.451065145261094,-7.9355434753742955,-0.07429247779267972
tanimoto,A,naive,1.0,UNION,50,-2.3082662517505175,-5.33949216411229,-0.037287245480783916
tanimoto,A,naive,1.0,all129,129,-0.8946768417637662,-2.084626449853225,-0.010598304030544884
tanimoto,A,naive,1.0,gradient12,12,-0.09850419278281312,-0.29551257834843936,0.0
tanimoto,A,random,0.05,Q_std,33,0.15002489158458043,-0.10026783398436745,0.4793036665225612
tanimoto,A,random,0.05,Q_nll,33,0.14197670493602976,-0.1072159066032435,0.47500019558065176
tanimoto,A,random,0.05,UNION,50,0.10293214755895294,-0.06182977481813445,0.3176934697911376
tanimoto,A,random,0.05,all129,129,0.039896181224400355,-0.024001545529709657,0.1293265321117397
tanimoto,A,random,0.05,gradient12,12,-0.007278115815957165,-0.021834347447871494,0.0
tanimoto,B,trust,0.9,Q_std,33,14.495470079143194,1.7799161864820687,30.776428028102934
tanimoto,B,trust,0.9,Q_nll,33,20.52830811954464,7.07333155776563,37.35679202857911
tanimoto,B,trust,0.9,UNION,50,13.962427708911797,4.629450116857683,25.70555943605035
tanimoto,B,trust,0.9,all129,129,5.411793685624727,1.7235361369691975,10.062270601257502
tanimoto,B,trust,0.9,gradient12,12,-0.13077051705371887,-0.39231155116115657,0.0
tanimoto,B,naive,1.0,Q_std,33,23.71175443738959,9.93715868120404,41.66150924829669
tanimoto,B,naive,1.0,Q_nll,33,34.08653616634351,19.426144934334232,52.158134803918564
tanimoto,B,naive,1.0,UNION,50,23.341599434130877,12.715020095772273,36.179273184498044
tanimoto,B,naive,1.0,all129,129,9.047131563616619,4.541918456425238,14.502790186594504
tanimoto,B,naive,1.0,gradient12,12,-0.10068701609600546,-0.3020610482880164,0.0
tanimoto,B,random,0.05,Q_std,33,0.17044990103579408,-0.6112334082656574,1.1652495365331643
tanimoto,B,random,0.05,Q_nll,33,0.5669902564984729,-0.28285769506930397,1.5640136037021641
tanimoto,B,random,0.05,UNION,50,0.29677210283941324,-0.2689914125624751,0.9994146386551508
tanimoto,B,random,0.05,all129,129,0.11502794683698189,-0.10590749804096931,0.39027257992643766
tanimoto,B,random,0.05,gradient12,12,-0.007265028725206661,-0.021795086175619982,0.0
latent,A,trust,0.9,Q_std,33,-1.4710020388219243,-4.0611419876446195,0.23033581884425855
latent,A,trust,0.9,Q_nll,33,-1.1055169500858448,-3.7892977862511623,0.5966427039709753
latent,A,trust,0.9,UNION,50,-0.9253138822562371,-2.6725717535282523,0.21470307456528917
latent,A,trust,0.9,all129,129,-0.35864879157218493,-1.0542610799849028,0.0852042415438825
latent,A,trust,0.9,gradient12,12,-0.011604289987548219,-0.034812869962644655,0.0
latent,A,naive,1.0,Q_std,33,-0.29602228751534887,-2.5679136835946736,2.2266024935104705
latent,A,naive,1.0,Q_nll,33,0.1070790817816148,-2.1394233252426775,2.6172706093622273
latent,A,naive,1.0,UNION,50,-0.13099027570543775,-1.66917707322868,1.574100298852736
latent,A,naive,1.0,all129,129,-0.05077142469203013,-0.6296418769754734,0.6138892649919487
latent,A,naive,1.0,gradient12,12,-0.010436178729099263,-0.031308536187297786,0.0
latent,A,random,0.05,Q_std,33,0.08488758157704532,-0.011513548828519505,0.23446109187502726
latent,A,random,0.05,Q_nll,33,0.08509949591161367,-0.009999877010405028,0.23464307753080874
latent,A,random,0.05,UNION,50,0.06137309596150873,-0.001680229237645839,0.16152089505166406
latent,A,random,0.05,all129,129,0.02378802169050726,-0.00046161570482213806,0.06211390880594307
latent,A,random,0.05,gradient12,12,-0.0006446827770859956,-0.001934048331257987,0.0
latent,B,trust,0.9,Q_std,33,26.37576954367298,10.815586597923778,45.55288117205625
latent,B,trust,0.9,Q_nll,33,33.02312899397486,16.86241329909682,52.17364077425519
latent,B,trust,0.9,UNION,50,22.748968242858368,11.45892136306578,35.70278993321647
latent,B,trust,0.9,all129,129,8.817429551495492,4.037022542327183,14.479457021498492
latent,B,trust,0.9,gradient12,12,-0.06035081183280511,-0.18105243549841532,0.0
latent,B,naive,1.0,Q_std,33,31.923470188939753,14.239256255414475,53.08106694013206
latent,B,naive,1.0,Q_nll,33,39.8787660945303,21.948661470827574,60.42485364419868
latent,B,naive,1.0,UNION,50,27.590228018319134,14.74364528165292,42.34934415086742
latent,B,naive,1.0,all129,129,10.693886828805867,5.374151746294863,16.893019899624534
latent,B,naive,1.0,gradient12,12,-0.11836837524141035,-0.35510512572423103,0.0
latent,B,random,0.05,Q_std,33,0.9344867261879674,-0.05437739924130539,2.0663517319080205
latent,B,random,0.05,Q_nll,33,1.3156133181527772,0.33357790312600766,2.4649584386407617
latent,B,random,0.05,UNION,50,0.7855694449139891,0.09374071806278894,1.6207149812209278
latent,B,random,0.05,all129,129,0.3044842809744143,0.03408855996667482,0.6229183249055489
latent,B,random,0.05,gradient12,12,-0.003352822879600333,-0.010058468638801,0.0
