fold,mol_id,train_pool_size,best_sim_vs_train,isolated_lt_022,isolated_lt_030,best_sim_vs_642_universe,structurally_isolated_lt_022,structurally_isolated_lt_030
0,mobley_9534740,411,0.28,0,1,0.28,0,1
0,mobley_6239320,411,0.3684,0,0,0.3684,0,0
0,mobley_7794077,411,0.5185,0,0,0.5185,0,0
0,mobley_7415647,411,0.5625,0,0,0.5625,0,0
0,mobley_1728386,411,0.5238,0,0,0.5238,0,0
0,mobley_2269032,411,0.4286,0,0,0.4286,0,0
0,mobley_2913224,411,0.3793,0,0,0.3793,0,0
0,mobley_2659552,411,0.5926,0,0,0.625,0,0
0,mobley_7176290,411,0.5714,0,0,0.5714,0,0
0,mobley_2295058,411,0.64,0,0,0.64,0,0
0,mobley_6055410,411,0.3478,0,0,0.3478,0,0
0,mobley_4639255,411,0.4444,0,0,0.4444,0,0
0,mobley_1417007,411,0.1379,1,1,0.1395,1,1
0,mobley_6115639,411,0.3529,0,0,0.3529,0,0
0,mobley_6353617,411,0.5385,0,0,0.5385,0,0
0,mobley_2725215,411,0.4694,0,0,0.6,0,0
0,mobley_7039935,411,0.5263,0,0,0.5263,0,0
0,mobley_4059279,411,0.5,0,0,0.5833,0,0
0,mobley_951560,411,0.5556,0,0,0.5556,0,0
0,mobley_1922649,411,0.6857,0,0,0.6857,0,0
0,mobley_8798016,411,0.5,0,0,0.5,0,0
0,mobley_1858644,411,0.5238,0,0,0.7,0,0
0,mobley_9114381,411,0.4348,0,0,0.4545,0,0
0,mobley_5311804,411,0.4737,0,0,0.5789,0,0
0,mobley_6743808,411,0.5909,0,0,0.5909,0,0
0,mobley_8789864,411,0.381,0,0,0.381,0,0
0,mobley_7009711,411,0.6154,0,0,0.6154,0,0
0,mobley_8789465,411,0.4286,0,0,0.4286,0,0
0,mobley_2923700,411,0.5,0,0,0.619,0,0
0,mobley_4780078,411,0.619,0,0,0.619,0,0
0,mobley_5467162,411,0.5,0,0,0.5,0,0
0,mobley_6257907,411,0.6111,0,0,0.6111,0,0
0,mobley_7913234,411,0.5238,0,0,0.5238,0,0
0,mobley_5518547,411,0.6154,0,0,0.6154,0,0
0,mobley_4883284,411,0.4286,0,0,0.4286,0,0
0,mobley_5220185,411,0.5769,0,0,0.5769,0,0
0,mobley_3359593,411,0.5161,0,0,0.5161,0,0
0,mobley_4683624,411,0.5455,0,0,0.619,0,0
0,mobley_1636752,411,0.2857,0,1,0.2857,0,1
0,mobley_2310185,411,0.5556,0,0,0.5556,0,0
0,mobley_3682850,411,0.9091,0,0,0.9091,0,0
0,mobley_1363784,411,0.5,0,0,0.5,0,0
0,mobley_2837389,411,0.2353,0,1,0.2353,0,1
0,mobley_9507933,411,0.4348,0,0,0.4348,0,0
0,mobley_296847,411,0.3333,0,0,0.3333,0,0
0,mobley_8208692,411,0.5417,0,0,0.5417,0,0
0,mobley_4884177,411,0.5,0,0,0.5,0,0
0,mobley_6714389,411,0.2857,0,1,0.2857,0,1
0,mobley_2245668,411,0.4667,0,0,0.5,0,0
0,mobley_5973402,411,0.3889,0,0,0.5,0,0
0,mobley_3546460,411,1.0,0,0,1.0,0,0
0,mobley_8311303,411,0.5556,0,0,0.5556,0,0
0,mobley_9741965,411,0.6296,0,0,0.6296,0,0
0,mobley_4603202,411,0.3636,0,0,0.3636,0,0
0,mobley_628086,411,1.0,0,0,1.0,0,0
0,mobley_4620651,411,0.45,0,0,0.75,0,0
0,mobley_7977115,411,0.6,0,0,0.6,0,0
0,mobley_2789243,411,0.4783,0,0,0.4783,0,0
0,mobley_3968739,411,0.6,0,0,0.625,0,0
0,mobley_63712,411,0.4118,0,0,0.5833,0,0
0,mobley_1046331,411,0.4091,0,0,0.45,0,0
0,mobley_1160109,411,0.3214,0,0,0.3333,0,0
0,mobley_4149784,411,0.85,0,0,0.85,0,0
0,mobley_397645,411,0.6667,0,0,0.6667,0,0
0,mobley_4690963,411,0.5263,0,0,0.6364,0,0
0,mobley_1967551,411,0.4167,0,0,0.4167,0,0
0,mobley_6733657,411,0.4828,0,0,0.5172,0,0
0,mobley_9565165,411,0.6667,0,0,0.6667,0,0
0,mobley_2487143,411,0.7778,0,0,0.8235,0,0
0,mobley_8449031,411,0.4,0,0,0.4,0,0
0,mobley_172879,411,0.55,0,0,0.6111,0,0
0,mobley_5346580,411,0.4545,0,0,0.4545,0,0
0,mobley_3573480,411,0.9412,0,0,0.9412,0,0
0,mobley_1075836,411,0.5263,0,0,0.5789,0,0
0,mobley_6102880,411,0.5294,0,0,0.5294,0,0
0,mobley_1827204,411,0.9375,0,0,0.9375,0,0
0,mobley_2146331,411,0.25,0,1,0.25,0,1
