mol_id,group,top5_mean,top5_median,best_sim,best_neighbor,neighbors
mobley_4639255,confidently_wrong,0.27679820179820175,0.2857142857142857,0.375,mobley_2310185,mobley_2310185:0.375;mobley_5973402:0.308;mobley_3546460:0.286;mobley_2245668:0.273;mobley_1636752:0.143
mobley_6257907,confidently_wrong,0.2744288722549592,0.2857142857142857,0.34782608695652173,mobley_7814642,mobley_7814642:0.348;mobley_5538249:0.296;mobley_2489709:0.286;mobley_5518547:0.250;mobley_2484519:0.192
mobley_4883284,confidently_wrong,0.3688768489852081,0.375,0.4117647058823529,mobley_5518547,mobley_5518547:0.412;mobley_5445548:0.389;mobley_1873346:0.375;mobley_6102880:0.353;mobley_2484519:0.316
mobley_3359593,confidently_wrong,0.17905141396333882,0.17647058823529413,0.2,mobley_397645,mobley_397645:0.200;mobley_3968739:0.184;mobley_1075836:0.176;mobley_6911232:0.172;mobley_3040612:0.162
mobley_3682850,confidently_wrong,0.12602223582868743,0.08,0.2727272727272727,mobley_2689721,mobley_2689721:0.273;mobley_1160109:0.129;mobley_8798016:0.080;mobley_3040612:0.077;mobley_3968739:0.071
mobley_4620651,confidently_wrong,0.28159683794466406,0.25,0.36363636363636365,mobley_1075836,mobley_1075836:0.364;mobley_1781152:0.304;mobley_3968739:0.250;mobley_1160109:0.250;mobley_7943327:0.240
mobley_8449031,confidently_wrong,0.2801864801864802,0.2727272727272727,0.3333333333333333,mobley_7708038,mobley_7708038:0.333;mobley_2068538:0.333;mobley_2310185:0.273;mobley_6911232:0.231;mobley_1144156:0.231
mobley_7150646,confidently_wrong,0.1777063983488132,0.17647058823529413,0.2,mobley_2489709,mobley_2489709:0.200;mobley_1873346:0.188;mobley_6102880:0.176;mobley_5518547:0.167;mobley_2484519:0.158
mobley_3269565,confidently_wrong,0.24468864468864465,0.23076923076923078,0.3333333333333333,mobley_5157661,mobley_5157661:0.333;mobley_6911232:0.231;mobley_8436428:0.231;mobley_2245668:0.214;mobley_627267:0.214
mobley_7690440,confidently_wrong,0.11857142857142858,0.125,0.14285714285714285,mobley_1636752,mobley_1636752:0.143;mobley_2068538:0.125;mobley_5157661:0.125;mobley_2310185:0.100;mobley_1967551:0.100
mobley_5052949,confidently_wrong,0.264985014985015,0.2727272727272727,0.2857142857142857,mobley_7708038,mobley_7708038:0.286;mobley_2197088:0.286;mobley_2068538:0.273;mobley_7542832:0.250;mobley_2310185:0.231
mobley_1563176,confidently_wrong,0.3523076923076923,0.3333333333333333,0.46153846153846156,mobley_2197088,mobley_2197088:0.462;mobley_3546460:0.333;mobley_6250025:0.333;mobley_7157427:0.333;mobley_2487143:0.300
mobley_4483973,confidently_wrong,0.3344040247678019,0.3157894736842105,0.375,mobley_1873346,mobley_1873346:0.375;mobley_6102880:0.353;mobley_2484519:0.316;mobley_5445548:0.316;mobley_2489709:0.312
mobley_9913368,confidently_wrong,0.07254614666379373,0.07142857142857142,0.1,mobley_1967551,mobley_1967551:0.100;mobley_1662128:0.077;mobley_2489709:0.071;mobley_7157427:0.059;mobley_2484519:0.056
mobley_1449384,confidently_wrong,0.3701127819548872,0.3684210526315789,0.5263157894736842,mobley_5445548,mobley_5445548:0.526;mobley_5518547:0.474;mobley_1873346:0.368;mobley_9507933:0.292;mobley_2489709:0.190
mobley_766666,confidently_wrong,0.07576923076923077,0.07692307692307693,0.1,mobley_1636752,mobley_1636752:0.100;mobley_2310185:0.077;mobley_1967551:0.077;mobley_2245668:0.062;mobley_1662128:0.062
mobley_4252724,confidently_wrong,0.33432879519836045,0.3333333333333333,0.4090909090909091,mobley_2484519,mobley_2484519:0.409;mobley_5445548:0.409;mobley_1873346:0.333;mobley_6102880:0.261;mobley_3040612:0.259
mobley_8885088,confidently_wrong,0.09784657722738219,0.058823529411764705,0.2222222222222222,mobley_2689721,mobley_2689721:0.222;mobley_7814642:0.100;mobley_2489709:0.059;mobley_1873346:0.056;mobley_6102880:0.053
mobley_2689721,control_certain,0.007692307692307693,0.0,0.038461538461538464,mobley_1160109,mobley_1160109:0.038;mobley_8798016:0.000;mobley_5518547:0.000;mobley_1636752:0.000;mobley_2310185:0.000
mobley_3546460,control_certain,0.45323565323565324,0.4444444444444444,0.6153846153846154,mobley_2197088,mobley_2197088:0.615;mobley_6250025:0.444;mobley_7157427:0.444;mobley_3573480:0.381;mobley_8522124:0.381
