mol_id,cross_run_mean,cross_run_std,base_ensemble_mean,base_ensemble_std,base_seed42_pred,exp,is_gradient12,cross_run_err,base_ens_err,base_seed42_err
mobley_9534740,,,,,,,False,,,
mobley_6239320,,,,,,,False,,,
mobley_7794077,,,,,,,False,,,
mobley_7415647,,,,,,,False,,,
mobley_1728386,,,,,,,False,,,
mobley_2269032,,,,,,,False,,,
mobley_2913224,,,,,,,False,,,
mobley_2659552,,,,,,,False,,,
mobley_7176290,,,,,,,False,,,
mobley_2295058,,,,,,,False,,,
mobley_6055410,,,,,,,False,,,
mobley_4639255,,,,,,,True,,,
mobley_1417007,,,,,,,False,,,
mobley_6115639,,,,,,,False,,,
mobley_6353617,,,,,,,False,,,
mobley_2725215,,,,,,,False,,,
mobley_7039935,,,,,,,False,,,
mobley_4059279,,,,,,,False,,,
mobley_951560,,,,,,,False,,,
mobley_1922649,,,,,,,False,,,
mobley_8798016,,,,,,,False,,,
mobley_1858644,,,,,,,False,,,
mobley_9114381,,,,,,,False,,,
mobley_5311804,,,,,,,False,,,
mobley_6743808,,,,,,,False,,,
mobley_8789864,,,,,,,False,,,
mobley_7009711,,,,,,,False,,,
mobley_8789465,,,,,,,False,,,
mobley_2923700,,,,,,,False,,,
mobley_4780078,,,,,,,False,,,
mobley_5467162,,,,,,,False,,,
mobley_6257907,,,,,,,True,,,
mobley_7913234,,,,,,,False,,,
mobley_5518547,,,,,,,False,,,
mobley_4883284,,,,,,,True,,,
mobley_5220185,,,,,,,False,,,
mobley_3359593,,,,,,,False,,,
mobley_4683624,,,,,,,False,,,
mobley_1636752,,,,,,,False,,,
mobley_2310185,,,,,,,False,,,
mobley_3682850,,,,,,,True,,,
mobley_1363784,,,,,,,False,,,
mobley_2837389,,,,,,,False,,,
mobley_9507933,,,,,,,False,,,
mobley_296847,,,,,,,False,,,
mobley_8208692,,,,,,,False,,,
mobley_4884177,,,,,,,False,,,
mobley_6714389,,,,,,,False,,,
mobley_2245668,,,,,,,False,,,
mobley_5973402,,,,,,,False,,,
mobley_3546460,,,,,,,False,,,
mobley_8311303,,,,,,,False,,,
mobley_9741965,,,,,,,False,,,
mobley_4603202,,,,,,,False,,,
mobley_628086,,,,,,,False,,,
mobley_4620651,,,,,,,True,,,
mobley_7977115,,,,,,,False,,,
mobley_2789243,,,,,,,False,,,
mobley_3968739,,,,,,,False,,,
mobley_63712,,,,,,,False,,,
mobley_1046331,,,,,,,False,,,
mobley_1160109,,,,,,,False,,,
mobley_4149784,,,,,,,False,,,
mobley_397645,,,,,,,False,,,
mobley_4690963,,,,,,,False,,,
mobley_1967551,,,,,,,False,,,
mobley_6733657,,,,,,,False,,,
mobley_9565165,,,,,,,False,,,
mobley_2487143,,,,,,,False,,,
mobley_8449031,,,,,,,True,,,
mobley_172879,,,,,,,False,,,
mobley_5346580,,,,,,,False,,,
mobley_3573480,,,,,,,False,,,
mobley_1075836,,,,,,,False,,,
mobley_6102880,,,,,,,False,,,
mobley_1827204,,,,,,,False,,,
mobley_2146331,,,,,,,False,,,
mobley_7943327,,,,,,,False,,,
mobley_5110043,,,,,,,False,,,
mobley_5616693,,,,,,,False,,,
mobley_6619554,,,,,,,False,,,
mobley_6359156,,,,,,,False,,,
mobley_1781152,,,,,,,False,,,
mobley_859464,,,,,,,False,,,
mobley_7150646,,,,,,,False,,,
mobley_1592519,,,,,,,False,,,
mobley_5538249,,,,,,,False,,,
mobley_6911232,,,,,,,False,,,
mobley_3269565,,,,,,,True,,,
mobley_2484519,,,,,,,False,,,
mobley_7690440,,,,,,,False,,,
mobley_3802803,,,,,,,False,,,
mobley_1144156,,,,,,,False,,,
mobley_2481002,,,,,,,False,,,
mobley_2489709,,,,,,,False,,,
mobley_5052949,,,,,,,True,,,
mobley_2492140,,,,,,,False,,,
mobley_7542832,,,,,,,False,,,
mobley_7814642,,,,,,,False,,,
mobley_1563176,,,,,,,True,,,
mobley_1873346,,,,,,,False,,,
mobley_3040612,,,,,,,False,,,
mobley_4483973,,,,,,,True,,,
mobley_9913368,,,,,,,False,,,
mobley_1449384,,,,,,,True,,,
mobley_7708038,,,,,,,False,,,
mobley_8311321,,,,,,,False,,,
mobley_766666,,,,,,,False,,,
mobley_5445548,,,,,,,False,,,
mobley_9029594,,,,,,,False,,,
mobley_3370989,,,,,,,False,,,
mobley_627267,,,,,,,False,,,
mobley_6250025,,,,,,,False,,,
mobley_4252724,,,,,,,True,,,
mobley_7157427,,,,,,,False,,,
mobley_8885088,,,,,,,False,,,
mobley_8522124,,,,,,,False,,,
mobley_4678740,,,,,,,False,,,
mobley_2689721,,,,,,,False,,,
mobley_1662128,,,,,,,False,,,
mobley_4762983,,,,,,,False,,,
mobley_7732703,,,,,,,False,,,
mobley_2068538,,,,,,,False,,,
mobley_5157661,,,,,,,False,,,
mobley_1261349,,,,,,,False,,,
mobley_2328633,,,,,,,False,,,
mobley_8436428,,,,,,,False,,,
mobley_3060426,,,,,,,False,,,
mobley_2197088,,,,,,,False,,,
,-3.7287195000000004,0.2978364975743123,-3.388112,0.162749,-3.756557,-3.82,,0.09128049999999943,0.4318879999999998,0.06344299999999992
,-3.0715715625,0.3275683681356649,-3.06008,0.076377,-2.738875,-2.93,,0.1415715624999998,0.13007999999999997,0.191125
,-1.948433125,0.19812044954147634,-1.534186,0.088454,-1.761241,-1.59,,0.3584331249999999,0.05581400000000003,0.17124099999999998
,-3.0103456250000002,0.5093317560935275,-3.597309,0.094937,-3.379074,-3.75,,0.7396543749999998,0.1526909999999999,0.37092599999999987
,2.2515702500000003,0.6328297955522744,2.58022,0.217181,2.590508,2.51,,0.25842974999999946,0.0702200000000004,0.08050800000000002
,-4.85440225,0.25210665285747624,-4.341403,0.188012,-4.460944,-4.84,,0.014402249999999839,0.4985970000000002,0.3790560000000003
,-5.265920062499999,1.73192906804505,-7.351536,0.179142,-5.165193,-9.01,,3.7440799375000005,1.6584639999999995,3.8448069999999994
,-0.8323790624999999,0.39120632254271637,-0.263312,0.063839,-0.516775,-0.68,,0.15237906249999988,0.41668800000000006,0.16322500000000006
,-0.5333701875000001,0.15002142192821163,-0.6459,0.127154,-0.535485,-0.99,,0.4566298124999999,0.34409999999999996,0.454515
,-2.3903936250000006,0.2623068660534515,-2.130739,0.092933,-2.326636,-2.23,,0.16039362500000065,0.09926099999999982,0.09663600000000017
,-3.4314149374999996,0.5621277357727475,-5.293523,0.102529,-3.857494,-5.1,,1.6685850625,0.19352300000000078,1.2425059999999997
,1.0355055624999998,0.2619049040994253,1.23785,0.03899,1.368433,1.38,,0.3444944375000001,0.14215,0.011566999999999883
,-10.0268636875,0.5729056520696018,-8.900618,0.205836,-10.302841,-11.0,,0.9731363124999994,2.0993820000000003,0.6971589999999992
,-3.201723624999999,0.4365429529931543,-3.263362,0.182181,-3.315113,-3.15,,0.051723624999999274,0.11336199999999996,0.1651130000000003
,-2.1116300624999997,0.4867219928686832,-2.284284,0.146737,-1.780573,-2.4,,0.2883699375000002,0.11571599999999993,0.619427
,-2.4139082499999995,0.4954005457253756,-2.9397,0.023275,-2.813363,-2.81,,0.3960917500000005,0.12970000000000015,0.003362999999999783
,-7.0281076874999995,0.41434471091636077,-6.456004,0.155363,-6.876624,-6.79,,0.23810768749999944,0.33399599999999996,0.08662399999999959
,-0.9994412500000002,0.3761824986372971,-0.904793,0.078018,-0.789755,-0.9,,0.09944125000000015,0.004792999999999936,0.11024500000000004
,-8.8296254375,0.7922466580539984,-8.603788,0.405325,-8.315235,-7.19,,1.6396254375000003,1.4137879999999994,1.125234999999999
,-3.3216830625,0.360456597896329,-3.580715,0.057736,-3.745141,-3.5,,0.1783169375,0.08071500000000009,0.24514099999999983
,1.1685047499999999,0.5055100194294208,1.710105,0.063148,1.733739,2.0,,0.8314952500000001,0.289895,0.2662610000000001
,-1.434532125,0.3857576932657555,-3.842694,0.2871,-1.887374,-2.75,,1.315467875,1.0926939999999998,0.8626259999999999
,2.7699048124999996,0.6450814851498188,3.184532,0.096115,3.263626,3.16,,0.3900951875000005,0.024531999999999776,0.10362599999999977
,-4.450435937500001,0.20149629159448365,-4.548121,0.075195,-4.511577,-4.5,,0.04956406249999912,0.04812100000000008,0.011576999999999948
,-9.34644725,0.3476091444548026,-9.47618,0.27687,-8.977358,-10.21,,0.8635527500000002,0.7338200000000015,1.2326420000000002
,-9.29473125,0.17745562694882347,-9.542702,0.15054,-9.02382,-9.51,,0.2152687499999999,0.03270200000000045,0.48617999999999917
,-5.0879955625,0.3658417610834805,-5.208744,0.051176,-4.871725,-5.0,,0.08799556249999974,0.20874400000000026,0.12827500000000036
,1.497567375,0.8017152372744224,1.635408,0.186476,2.059269,2.55,,1.0524326249999998,0.9145919999999998,0.4907309999999998
,-1.8605925625000002,1.262924134570876,-3.054438,0.520246,-1.344151,-1.45,,0.4105925625000002,1.6044380000000003,0.10584899999999986
,-2.672514125,0.2235845436625335,-2.064748,0.060062,-2.940897,-1.93,,0.7425141250000002,0.13474799999999987,1.0108970000000002
,-3.0603771249999996,0.24530459673961139,-3.242798,0.096472,-3.077877,-3.28,,0.21962287500000022,0.037201999999999735,0.20212299999999983
,-1.427494625,0.3999823497932336,-1.267011,0.072225,-1.113054,-1.36,,0.06749462499999992,0.09298899999999999,0.2469460000000001
,-1.2496511250000002,0.7397704632130047,-1.332875,0.192632,-1.808753,-1.23,,0.019651125000000214,0.10287500000000005,0.5787530000000001
,-9.3474526875,0.7742270192698193,-9.165988,0.374982,-9.791152,-9.76,,0.4125473124999992,0.5940119999999993,0.031152000000000513
,0.585662875,0.7154626295382007,1.095629,0.088675,1.027921,1.23,,0.644337125,0.13437100000000002,0.2020789999999999
,-8.9338706875,0.6472394936608566,-9.935904,0.685642,-10.065075,-7.98,,0.9538706875000003,1.9559040000000003,2.085075
,-3.4854078124999996,0.4441009034571939,-4.990047,0.250348,-2.992002,-4.01,,0.5245921875000001,0.9800469999999999,1.017998
,-4.1082105625,0.23198989339881995,-5.649351,0.345705,-3.485718,-4.78,,0.6717894375000002,0.869351,1.2942820000000004
,-7.2048680625,0.26241479582814914,-7.182555,0.332464,-7.262678,-9.94,,2.7351319374999994,2.7574449999999997,2.6773219999999993
,-6.2913790625,0.2935062138118985,-5.770278,0.250511,-6.049348,-6.13,,0.1613790625,0.35972199999999965,0.08065199999999972
,-4.67078025,0.19786654217780225,-4.670289,0.19739,-4.525888,-4.69,,0.019219750000000424,0.019711000000000034,0.16411200000000026
,-0.8199668125,0.27832527343600894,-0.691946,0.068967,-0.715544,-0.85,,0.030033187499999947,0.15805400000000003,0.13445600000000002
,3.2014672499999994,0.6096460069660644,3.022126,0.28551,3.426668,2.93,,0.27146724999999927,0.09212599999999993,0.49666799999999967
,-1.2899359375000004,0.25897946005619027,-1.555266,0.063104,-1.33239,-2.01,,0.7200640624999994,0.45473399999999975,0.6776099999999998
,-5.8396434374999995,0.25740855136118257,-5.974741,0.120754,-5.386914,-5.26,,0.5796434374999997,0.7147410000000001,0.1269140000000002
,-1.6535214375,0.5649143360746499,0.285943,0.162863,-1.648648,-0.11,,1.5435214375,0.395943,1.5386479999999998
,-4.289962125,0.35400768570298485,-4.308231,0.050667,-4.366258,-4.4,,0.11003787500000062,0.09176900000000021,0.03374200000000016
,-2.8126990000000007,0.24448512304923584,-3.092288,0.094797,-2.884685,-3.04,,0.2273009999999993,0.05228799999999989,0.15531499999999987
,-4.096958687499999,0.2754655947290498,-4.484493,0.04766,-4.335424,-4.91,,0.8130413125000011,0.4255070000000005,0.5745760000000004
,-1.7858763750000004,0.48476334736595955,-1.739206,0.080633,-1.577075,-1.66,,0.12587637500000048,0.07920600000000011,0.08292499999999992
,-4.296020937500001,0.4806563686106002,-3.769858,0.091785,-4.196587,-3.92,,0.37602093750000076,0.15014199999999978,0.27658700000000014
,-4.308791125000001,0.43821905188035437,-3.421097,0.088408,-4.24278,-3.64,,0.6687911250000007,0.21890300000000007,0.6027799999999996
,-7.010085875000001,0.5934884716711157,-7.192958,0.336903,-6.697975,-7.58,,0.5699141249999995,0.3870420000000001,0.8820250000000005
,-3.3810955624999997,0.4695211822190729,-3.365949,0.173555,-3.246256,-3.67,,0.2889044375000003,0.30405099999999985,0.4237440000000001
,-0.622116875,0.3431226857732523,-0.241738,0.040885,-0.386152,0.16,,0.782116875,0.40173800000000004,0.546152
,-2.2303441875,0.31355228108163374,-1.622318,0.130105,-2.112451,-0.8,,1.4303441875,0.8223179999999999,1.312451
,-3.757696000000001,0.6430813993243262,-4.240166,0.225738,-4.08049,-4.23,,0.4723039999999994,0.010165999999999897,0.14951000000000025
,-3.4110423125000002,0.3040181643467418,-3.295117,0.095282,-3.012717,-4.1,,0.6889576874999994,0.8048829999999998,1.0872829999999998
,-9.3915960625,0.6248280353467364,-10.141379,0.039121,-9.244321,-9.3,,0.09159606249999896,0.8413789999999999,0.055679000000001366
,-0.30593574999999995,1.1087849705983273,1.117235,0.17396,-0.063984,1.07,,1.37593575,0.047234999999999916,1.133984
,-6.379097375,0.4061191477921842,-5.671769,0.256089,-5.993513,-5.21,,1.1690973749999998,0.4617690000000003,0.7835130000000001
,-4.529678375,0.29184529491675887,-4.237987,0.240711,-4.632079,-3.54,,0.9896783749999996,0.6979870000000004,1.092079
,1.6267474374999997,0.30009029491692857,1.765555,0.031274,1.831212,1.66,,0.03325256250000019,0.10555500000000007,0.17121200000000014
,-5.605801875,0.19928459946079613,-5.727656,0.172715,-5.646536,-6.01,,0.40419812499999974,0.28234400000000015,0.36346399999999957
,-6.0041875625,0.17966733303635316,-6.054867,0.120414,-5.855735,-5.49,,0.5141875625000001,0.5648669999999996,0.3657349999999999
,-4.707054062500001,0.15856838044682547,-4.423084,0.172601,-4.302596,-4.59,,0.11705406250000117,0.16691599999999962,0.28740399999999955
,-0.6283838749999999,0.12728344224492308,-0.417762,0.071753,-0.560379,-1.28,,0.6516161250000001,0.8622380000000001,0.7196210000000001
,-2.7624761875,0.35240083317007426,-2.325913,0.15365,-2.320484,-2.63,,0.1324761875,0.304087,0.3095159999999999
,1.6690511875,0.45219528723509395,2.25207,0.080221,2.100462,2.3,,0.6309488124999998,0.04793000000000003,0.199538
,-5.3368539375,0.13552812378910808,-5.40214,0.182583,-5.117912,-5.45,,0.11314606250000026,0.047860000000000014,0.3320880000000006
,-5.375598812500001,0.3626207415877216,-5.987868,0.346868,-5.810889,-6.62,,1.2444011874999994,0.6321320000000004,0.8091109999999997
,-2.0929600625000004,0.591951340044148,-2.933673,0.133044,-2.287411,-3.11,,1.0170399374999994,0.17632699999999968,0.8225889999999998
,-0.5976201250000001,0.2755805739795834,-0.392207,0.049632,-0.485749,-0.3,,0.29762012500000007,0.09220699999999998,0.185749
,-5.4976003124999995,0.23742111129684568,-5.582276,0.251583,-5.703909,-5.91,,0.41239968750000067,0.3277239999999999,0.2060909999999998
,-6.0444521875,0.25123740503601216,-5.730313,0.129328,-5.669194,-5.57,,0.47445218749999984,0.16031299999999948,0.09919399999999978
,-2.1652118750000002,0.39091544399505374,-2.191378,0.117499,-2.726087,-2.16,,0.005211875000000088,0.031377999999999684,0.566087
,-2.2920995000000004,0.3982909439350419,-3.19032,0.182904,-2.563382,-2.53,,0.2379004999999994,0.66032,0.03338200000000002
,-4.242351750000001,0.26394108923002746,-4.185022,0.092795,-4.172989,-4.42,,0.17764824999999895,0.2349779999999999,0.24701099999999965
,-11.0279695625,0.9271717288673815,-9.041231,0.504513,-10.858584,-9.4,,1.6279695624999988,0.35876900000000056,1.458584
,-4.2782804375,0.4565663797006183,-2.854469,0.141753,-4.264675,-2.87,,1.4082804375000002,0.015531000000000184,1.3946750000000003
,-9.2730230625,1.048365775077221,-8.552807,0.799455,-7.447991,-8.7,,0.5730230625000008,0.14719299999999969,1.2520089999999993
,-23.0406698125,5.911533679163214,-21.326243,0.517798,-18.849478,-18.06,,4.9806698125,3.266243000000003,0.7894780000000026
,0.3984821250000001,0.26582826708331203,0.306865,0.082815,0.183562,0.08,,0.31848212500000006,0.22686499999999998,0.103562
,-5.943179874999999,0.2879579834257942,-6.437863,0.118418,-5.856955,-5.82,,0.12317987499999905,0.6178629999999998,0.03695499999999985
,-0.166525125,0.10785341441411733,-0.039062,0.101311,-0.468638,-0.03,,0.136525125,0.009062,0.438638
,-3.9103068750000003,0.48366890090872083,-3.978768,0.209038,-4.21263,-4.16,,0.24969312499999985,0.18123200000000006,0.05262999999999973
,-7.260148125000001,0.22341633982376946,-7.963776,0.18378,-7.362823,-8.26,,0.9998518749999992,0.2962239999999996,0.8971770000000001
,-3.8713250625,0.3159481217374077,-3.109604,0.196957,-4.084388,-2.46,,1.4113250625,0.6496040000000001,1.6243879999999997
,-3.24143975,0.4414692869453849,-3.206161,0.155747,-3.619529,-3.88,,0.6385602499999998,0.6738390000000001,0.2604709999999999
,-2.5763829375,0.26227526283975483,-2.422114,0.076218,-2.483498,-2.49,,0.08638293749999981,0.06788600000000011,0.00650200000000023
,-4.1806793749999995,0.2369603862361456,-4.995853,0.151935,-4.362297,-4.55,,0.3693206250000003,0.4458530000000005,0.18770299999999995
