run,label,lambda,group,test_mae_tta_metrics,all129_mae,Q_std_mae,Q_std_delta,Q_std_ci_lo,Q_std_ci_hi,Q_nll_mae,Q_nll_delta,Q_nll_ci_lo,Q_nll_ci_hi,UNION_mae,UNION_delta,UNION_ci_lo,UNION_ci_hi
baseline\lambda0_seed42,tanimoto_raw_lam0,0.0,baseline,0.5523035489398148,0.5523035658914728,0.94804009375,0.0,0.0,0.0,0.7336810312500001,0.0,0.0,0.0,0.840793113207547,0.0,0.0,0.0
raw\lambda0.001_seed42,tanimoto_raw_lam0.001,0.001,raw,0.5732274773326108,0.5732274728682172,1.0795310312500002,0.13149093750000024,-0.07945223437499975,0.36598057031250003,0.74911646875,0.01543543750000002,-0.18983251328124995,0.23644108515625006,0.8891876981132076,0.048394584905660516,-0.10187653584905643,0.20775842169811334
raw\lambda0.003_seed42,tanimoto_raw_lam0.003,0.003,raw,0.6072797666264829,0.6072797441860466,1.0416843125000002,0.09364421875000015,-0.10653779765624982,0.32617980703125,0.8325473125,0.09886628125000001,-0.11543043906249992,0.3402335468749999,0.9335297924528301,0.09273667924528312,-0.044753030188679085,0.24537502547169818
raw\lambda0.01_seed42,tanimoto_raw_lam0.01,0.01,raw,0.4869723756569955,0.48697241085271314,0.904028375,-0.044011718749999915,-0.2623404343749999,0.19055505000000011,0.6198277187500001,-0.11385331250000001,-0.3829841804687499,0.15070811796874994,0.7237029245283016,-0.11709018867924523,-0.289304179716981,0.05926850660377347
raw\lambda0.03_seed42,tanimoto_raw_lam0.03,0.03,raw,0.5985467356701384,0.5985467906976745,1.0524029062500002,0.10436281250000011,-0.07469144296874988,0.30233725703125014,0.9410558124999999,0.2073747812499999,0.004560717187499829,0.4208745007812499,0.978603358490566,0.1378102452830189,0.005792491509434073,0.2786625344339622
normalized\lambda0.05_seed42,tanimoto_normalized_lam0.05,0.05,normalized,0.5608119122645497,0.560811930232558,0.9500331249999998,0.0019930312499999367,-0.24009661796875012,0.22280045234374996,0.7364944062500001,0.0028133749999999166,-0.29577414296874993,0.2669819570312497,0.8227392641509435,-0.018053849056603836,-0.2190987396226416,0.16085664009433948
normalized\lambda0.1_seed42,tanimoto_normalized_lam0.1,0.1,normalized,0.6422056088750598,0.6422055891472869,0.98536890625,0.03732881249999998,-0.18809186171874992,0.24532226328124979,0.8101573124999999,0.07647628124999986,-0.22132504218750007,0.33957975624999986,0.9173817358490565,0.07658862264150944,-0.11864920707547158,0.2563371820754716
normalized\lambda0.3_seed42,tanimoto_normalized_lam0.3,0.3,normalized,0.835321395332499,0.8353213720930234,1.127507,0.1794669062500001,-0.09623689609374983,0.45602700546874986,1.03608046875,0.3023994374999999,0.04286690078124982,0.54964889140625,1.1731436981132075,0.3323505849056604,0.1340754009433962,0.5269670603773586
normalized\lambda1.0_seed42,tanimoto_normalized_lam1,1.0,normalized,1.0834262951717588,1.0834262868217053,1.27742521875,0.32938512499999995,-0.08655783749999986,0.8196029171875,1.1008001250000001,0.36711909374999996,0.03930493984375003,0.6817243015624999,1.289346358490566,0.44855324528301876,0.15618013537735861,0.772553212264151
v2_latent\raw_lambda0.001_seed42,latent_raw_lam0.001,0.001,v2_latent,0.6286364940933171,0.628636457364341,1.02678746875,0.07874737499999998,-0.18881048671875011,0.43860364296875004,0.9702243437500001,0.23654331249999994,-0.08593736093750001,0.635836125,0.9824238867924527,0.1416307735849056,-0.06682165424528287,0.39529888160377347
