epoch,task_mse_train_eV2,l_nbr_raw_eV2,l_nbr_used,var_p_eV2,n_active,normalized
1,319.952151,1.635558,1.635558,3.556803,639,0
2,3.989927,0.796321,0.796321,1.1556,639,0
3,0.505173,0.06379,0.06379,0.125824,639,0
4,0.24017,0.088806,0.088806,0.112003,639,0
5,0.115552,0.01174,0.01174,0.026049,639,0
6,0.022054,0.008051,0.008051,0.013689,639,0
7,0.007735,0.017872,0.017872,0.027531,639,0
8,0.003936,0.016274,0.016274,0.027098,639,0
9,0.001855,0.014803,0.014803,0.023812,639,0
10,0.00121,0.015807,0.015807,0.024925,639,0
11,0.000736,0.015979,0.015979,0.024845,639,0
12,0.000579,0.017279,0.017279,0.027236,639,0
13,0.000561,0.017342,0.017342,0.026987,639,0
14,0.000397,0.016881,0.016881,0.026624,639,0
15,0.000523,0.017542,0.017542,0.02712,639,0
