mol,in_gradient12,in_Q_std,n_gated_atoms,err_before,mean3,truth,gated_sum_orig,ratio,ratio_signed,delta_shrink,delta_trust,q
mobley_5311804,False,False,0,3.954188333333333,-2.665811666666667,-6.62,0.0,0.0,0.0,0.0,0.0,Q1
mobley_296847,False,False,0,4.292457333333334,-0.39754266666666666,-4.69,0.0,0.0,0.0,0.0,0.0,Q1
mobley_1636752,False,False,0,7.052774666666666,1.9527746666666665,-5.1,0.0,0.0,0.0,0.0,0.0,Q1
mobley_1144156,False,False,0,3.2557223333333334,1.6657223333333333,-1.59,0.0,0.0,0.0,0.0,0.0,Q1
mobley_7150646,False,False,0,0.3894306666666665,-1.9105693333333333,-2.3,0.0,0.0,0.0,0.0,0.0,Q1
mobley_6102880,False,False,0,1.0127260000000005,-1.8572739999999996,-2.87,0.0,0.0,0.0,0.0,0.0,Q1
mobley_172879,False,False,0,0.30668733333333265,-2.8433126666666673,-3.15,0.0,0.0,0.0,0.0,0.0,Q1
mobley_9565165,False,False,0,1.8429066666666665,-5.192906666666667,-3.35,0.0,0.0,-0.0,0.0,0.0,Q1
mobley_6250025,False,False,0,3.1915783333333336,-3.1115783333333336,0.08,0.0,0.0,-0.0,0.0,0.0,Q1
mobley_8885088,False,False,0,1.0628546666666665,-0.5028546666666666,0.56,0.0,0.0,-0.0,0.0,0.0,Q1
mobley_1662128,False,False,0,0.4040296666666666,0.9759703333333333,1.38,0.0,0.0,-0.0,0.0,0.0,Q1
mobley_7794077,False,True,12,13.110270666666668,-2.3497293333333333,-15.46,-0.008948198442037092,0.0006825334632326246,-0.0006825334632326246,-2.11510188604316,0.7565531830792125,Q1
mobley_6239320,False,True,9,14.759889333333332,-3.300110666666667,-18.06,-0.3129217649499575,0.021200820540250496,-0.021200820540250496,-1.2801157984139397,0.864306895063887,Q1
mobley_5220185,False,False,2,1.684892,-3.765108,-5.45,-0.042656175481776415,0.02531686035768252,-0.02531686035768252,-0.3113521719324228,-0.8054233450037169,Q1
mobley_6353617,False,False,4,5.370276666666667,-2.889723333333333,-8.26,-0.15263811064263183,0.02842276480652427,-0.02842276480652427,-0.5553785841857675,0.6517591611066145,Q1
mobley_1075836,False,False,3,4.999704,2.069704,-2.93,0.1495613654454549,0.029914044000495806,0.029914044000495806,-0.6805738865667541,0.46054416307643375,Q1
mobley_7943327,False,False,1,3.258128,0.5781280000000001,-2.68,-0.1029987533887227,0.031612862781549005,-0.031612862781549005,-0.07400542031837709,-0.03920754230982215,Q1
mobley_2295058,False,False,4,6.8076620000000005,-2.7023379999999997,-9.51,-0.22007789090275764,0.03232796970571653,-0.03232796970571653,-0.4879388039256414,0.6371028664722616,Q1
mobley_4059279,False,True,2,6.201149666666667,-1.3788503333333333,-7.58,-0.26242657626668603,0.042319019919373986,-0.042319019919373986,-0.09158177114751354,-0.08345400386996626,Q1
mobley_9534740,False,False,2,22.221086333333332,-3.2489136666666667,-25.47,1.0371164083480835,0.046672624046841915,0.046672624046841915,-1.3911247557622843,-0.8329016410636214,Q1
mobley_7415647,False,True,3,9.309150333333333,-2.6408496666666665,-11.95,-0.4578461448351542,0.04918237738580089,-0.04918237738580089,-0.07316637628614586,0.7870812965592702,Q1
mobley_7039935,False,False,1,3.863092333333334,-3.806907666666666,-7.67,-0.1981432908990731,0.05129136810667475,-0.05129136810667475,0.0211391171919737,0.8180148570504078,Q1
mobley_2487143,False,False,4,2.870951333333333,-0.40904866666666667,-3.28,-0.1561798425391316,0.05440003135051341,-0.05440003135051341,-0.5518368522892674,-0.7414344550932999,Q1
mobley_1922649,False,True,9,5.220018333333334,-1.9699816666666667,-7.19,0.294922936707735,0.056498448448821216,0.056498448448821216,-1.8879605000716326,-0.2818633833450379,Q1
mobley_2789243,False,False,1,2.2262879999999994,-1.7837120000000002,-4.01,-0.1337887632350127,0.06009499365536388,-0.06009499365536388,-0.043215410472086546,0.7465365629545522,Q1
mobley_2310185,False,False,3,5.273803,0.273803,-5.0,-0.32405424055953813,0.0614460268158553,-0.0614460268158553,-0.2069582805617607,0.9854222354462863,Q1
mobley_9741965,False,True,7,4.692151333333333,0.40215133333333336,-4.29,-0.3008899192015326,0.06412621798107661,-0.06412621798107661,-0.9381392967481652,-0.009366911709509651,Q1
mobley_2328633,False,True,1,9.240134333333334,-6.690134333333333,2.55,0.6182313362757365,0.06690718056397699,-0.06690718056397699,0.7952355099828345,0.7758396861455346,Q1
mobley_3060426,False,True,5,4.682272,-1.7522720000000003,2.93,-0.36628119647502877,0.07822723593909725,0.07822723593909725,0.5187396720604704,3.14473861797699,Q1
mobley_9114381,False,False,2,7.766723666666667,1.0467236666666666,-6.72,0.623495394984881,0.08027778787351574,0.08027778787351574,-0.9775037423990804,-1.1864081388873933,Q1
mobley_627267,False,False,5,0.9875873333333333,0.9575873333333332,-0.03,0.08393776416778559,0.08499275085320954,0.08499275085320954,-0.9689586327032841,-0.8351542727444862,Q2
mobley_5110043,False,False,8,4.632732,-7.262732,-2.63,0.40115139198799926,0.08659067521885559,-0.08659067521885559,1.8171847816447961,1.9655631947277499,Q2
mobley_6714389,False,True,1,7.12143,2.57143,-4.55,0.6216034938891729,0.08728633067925584,0.08728633067925584,-0.798607667596273,-0.6213360509258283,Q2
mobley_7913234,False,False,2,4.0115066666666666,-1.7184933333333337,-5.73,0.3868299126625061,0.09643008096604753,0.09643008096604753,-0.7408382600767056,-0.9333306910460797,Q2
mobley_6115639,False,True,10,11.377673666666666,2.6776736666666667,-8.7,-1.1107813020547233,0.09762815621166875,-0.09762815621166875,-0.6592604350162752,0.6596584358625588,Q2
mobley_6911232,False,False,5,4.980505666666667,2.8805056666666666,-2.1,0.4907935621837775,0.09854291813551011,0.09854291813551011,-1.375814430719276,-0.45368839810624184,Q2
mobley_3546460,False,True,1,1.8058093333333338,-2.5941906666666665,-4.4,-0.18048144380251563,0.09994490584970335,-0.09994490584970335,0.003477270095415985,-0.3126185833657962,Q2
mobley_7690440,False,False,6,3.4979690000000003,1.667969,-1.83,0.3654652793581287,0.10447927907826761,0.10447927907826761,-1.427490321600727,1.5910843324402206,Q2
mobley_1858644,False,False,1,3.1112023333333334,-3.6787976666666666,-6.79,-0.3754033346970876,0.12066181960428189,-0.12066181960428189,0.19839916098998822,-0.17981422202990105,Q2
mobley_4762983,False,False,1,4.483967333333333,-2.8239673333333335,1.66,-0.6041707495848337,0.13474022103004477,0.13474022103004477,-0.42716657587773366,0.13046155465162457,Q2
mobley_7009711,False,False,8,0.9110563333333337,-5.358943666666666,-6.27,0.12445550505071874,0.13660571854581846,0.13660571854581846,-0.28162377195915145,-0.7960995998338172,Q2
mobley_2659552,False,False,5,7.7770649999999995,-1.9829350000000001,-9.76,1.0933617278933525,0.1405879631831999,0.1405879631831999,-1.978382596428851,-0.7800901892026326,Q2
mobley_3968739,False,False,4,3.9477176666666667,0.027717666666666668,-3.92,-0.5778525165903072,0.14637635347368405,-0.14637635347368405,-0.13016417823809157,0.09336534288893006,Q2
mobley_2197088,False,True,3,8.218285000000002,-5.058285000000001,3.16,-1.217836300532023,0.14818618489526986,0.14818618489526986,-0.6868237794107248,0.6253493393564256,Q2
mobley_4690963,False,False,4,4.326902333333333,0.7869023333333334,-3.54,-0.6504877854604274,0.15033567558233019,-0.15033567558233019,-0.057528909367970726,0.8402941084909772,Q2
mobley_7176290,False,False,4,5.606366333333332,-4.013633666666667,-9.62,-0.8750337610642114,0.15607859155788517,-0.15607859155788517,0.1670170662358128,0.5956428688680893,Q2
mobley_8789465,False,False,2,3.862235,-2.337765,-6.2,-0.6565561530490716,0.16999383855437888,-0.16999383855437888,0.30254780563487227,0.858402604220065,Q2
mobley_1781152,False,True,8,4.428534666666667,2.028534666666667,-2.4,0.7786513914664586,0.17582596729507938,0.17582596729507938,-2.1946847811232564,-2.309651282924648,Q2
mobley_5445548,False,False,1,0.8495723333333332,-1.1495723333333332,-0.3,-0.15123225500186283,0.17800986339620622,0.17800986339620622,0.025771918705236985,0.6504233109402198,Q2
mobley_2245668,False,False,3,5.018442333333334,0.5184423333333333,-4.5,-0.9075209597746532,0.18083718004424343,-0.18083718004424343,0.3765084386533539,0.7451322868521153,Q2
mobley_4884177,False,False,1,1.3337719999999997,-3.256228,-4.59,-0.24494757751623783,0.18365026220091432,-0.18365026220091432,0.06794340380913821,-0.4754692967460876,Q2
mobley_2269032,False,False,7,4.195411666666668,-6.014588333333333,-10.21,0.7865291486183801,0.18747365243499264,0.18747365243499264,-2.025558364568078,0.5479946973087166,Q2
mobley_63712,False,True,4,2.3290333333333333,-1.5509666666666666,-3.88,-0.4555941683550676,0.1956151343282911,-0.1956151343282911,-0.25242252647333085,-0.5339686309999232,Q2
mobley_4603202,False,True,5,7.069121000000001,2.839121,-4.23,1.4144562607010207,0.20008941149840562,0.20008941149840562,-2.2994771292365197,0.9312384143655734,Q2
mobley_1160109,False,False,2,2.5478700000000005,-6.2978700000000005,-3.75,-0.5416648214062054,0.2125951565057108,0.2125951565057108,-0.18765647399200613,-0.18009244257944612,Q2
mobley_8789864,False,False,7,9.321977,2.921977,-6.4,2.2041035592556,0.23644164314668442,0.23644164314668442,-3.4431327752052976,-2.717902846076295,Q2
