mol,n_atoms,n_gated_atoms,err_before,err_after_trust,err_after_shrink,delta_trust,delta_shrink,gated_sum_orig,gated_sum_trust,gated_sum_shrink,gated_gap_vs_truth,trust_pull_dT,shrink_pull_dS,trust_pull_helps,shrink_pull_helps
mobley_1449384,24,5,2.5790453333333327,3.931579387994175,3.778736864574929,1.3525340546608424,1.199691531241596,0.314670662706097,-1.0378633919547453,-0.8850208685354986,2.5790453333333327,-1.3525340546608424,-1.1996915312415957,False,False
mobley_1563176,15,1,0.20710666666666655,0.8518977285647629,0.45437538781888076,0.6447910618980963,0.2472687211522142,-0.42427289485931396,0.22051816703878238,-0.1770041737070997,-0.20710666666666655,0.6447910618980963,0.24726872115221427,False,False
mobley_3269565,15,2,4.634009333333333,4.68801963379528,5.051970726508593,0.05401030046194677,0.4179613931752595,-0.7719697405894597,-0.7179594401275122,-0.3540083474141994,-4.634009333333333,0.054010300461947436,0.41796139317526027,False,False
mobley_3682850,17,4,2.8350783333333336,3.086902733576624,3.523783274760517,0.25182440024329056,0.6887049414271833,-1.396721636255582,-1.1448972360122915,-0.7080166948283988,-2.8350783333333336,0.25182440024329056,0.6887049414271833,False,False
mobley_4252724,24,3,3.8748453333333335,4.0551461783664395,3.446349926535205,0.18030084503310606,-0.42849540679812836,-0.9595079279194275,-1.1398087729525332,-0.531012521121299,3.8748453333333335,-0.18030084503310573,0.4284954067981285,False,True
mobley_4483973,12,0,1.0726170000000002,1.0726170000000002,1.0726170000000002,0.0,0.0,0.0,0.0,0.0,-1.0726170000000002,0.0,0.0,False,False
mobley_4620651,15,3,3.7224229999999996,3.5800308954107405,3.0338980276670893,-0.1423921045892591,-0.6885249723329103,0.1575124512116114,0.015120346622352177,-0.531012521121299,-3.7224229999999996,-0.14239210458925922,-0.6885249723329104,True,True
mobley_4639255,10,1,10.523742333333335,10.350847092264031,10.253815157308686,-0.17289524106930365,-0.2699271760246482,0.0929230023175478,-0.07997223875175537,-0.1770041737070997,-10.523742333333335,-0.17289524106930315,-0.2699271760246475,True,True
mobley_4883284,14,2,0.2471093333333334,4.216460094885974,2.581155944898423,3.969350761552641,2.3340466115650895,-2.688054958979289,1.2812958025733518,-0.3540083474141994,-0.2471093333333334,3.969350761552641,2.3340466115650895,False,False
mobley_5052949,21,1,0.4317979999999999,0.8665049159002882,0.4404607829185445,0.4347069159002883,0.00866278291854461,-0.16834139078855506,-0.6030483066888435,-0.1770041737070997,0.4317979999999998,-0.4347069159002884,-0.008662782918544637,False,False
mobley_6257907,14,3,1.5934923333333337,4.2080342470602075,1.9604356287181015,2.6145419137268737,0.3669432953847678,-4.084940483172734,1.716586097220807,-0.531012521121299,1.5934923333333337,5.801526580393541,3.5539279620514352,False,False
mobley_8449031,22,3,3.2514236666666667,2.159926221878024,1.9807524322046084,-1.0914974447886427,-1.2706712344620583,0.7396587133407593,-0.3518387314478838,-0.531012521121299,-3.2514236666666667,-1.0914974447886432,-1.2706712344620583,True,True
