mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,source
A,shrink_lambda1.0_selected,Q_std,33,-6.303690276155118,10.464823232323234,4.161132956168114,-12.476854230921072,-1.8380018234938569,this run
A,shrink_lambda1.0_selected,Q_nll,33,-6.065322364594745,10.275718616161615,4.210396251566872,-12.295845548407405,-1.5329343468831491,this run
A,shrink_lambda1.0_selected,UNION,50,-4.103266180329404,8.293690380000001,4.190424199670596,-8.333441858354059,-1.0816046117612665,this run
A,shrink_lambda1.0_selected,all129,129,-1.628959672167511,4.835849751937984,3.2068900797704742,-3.32767084555495,-0.43847756088063555,this run
A,shrink_lambda1.0_selected,gradient12,12,0.21713830234574596,2.9143908888888888,3.1315291912346352,-0.255453163597874,0.7490527205227514,this run
B,shrink_lambda1.0_selected,Q_std,33,-6.303690276155118,10.464823232323234,4.161132956168115,-12.526436241558429,-1.8085246152786734,this run
B,shrink_lambda1.0_selected,Q_nll,33,-6.065322364594745,10.275718616161615,4.2103962515668725,-12.310721662876544,-1.552385792203124,this run
B,shrink_lambda1.0_selected,UNION,50,-4.103266180329404,8.293690380000001,4.190424199670596,-8.215770697011925,-1.1056055102441036,this run
B,shrink_lambda1.0_selected,all129,129,-1.628959672167511,4.835849751937984,3.2068900797704742,-3.374263144369989,-0.43098619915222586,this run
B,shrink_lambda1.0_selected,gradient12,12,0.2171383023457459,2.9143908888888888,3.1315291912346352,-0.26082712486043497,0.7643864471434538,this run
