mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,shrink_lambda0.0,Q_std,33,-1.6790172702006428e-07,10.464823232323234,10.464823064421505,-4.1439589838100934e-07,4.9008391268097204e-08
A,shrink_lambda0.0,Q_nll,33,-2.396774155667649e-07,10.275718616161615,10.275718376484201,-4.7173200961989575e-07,-4.780855492498078e-08
A,shrink_lambda0.0,UNION,50,-1.5463348184308056e-07,8.293690380000001,8.293690225366518,-3.2394820627223987e-07,-7.456422747395566e-09
A,shrink_lambda0.0,all129,129,-5.431721978207379e-08,4.835849751937984,4.835849697620764,-1.3112783042792414e-07,1.2835262670310979e-08
A,shrink_lambda0.0,gradient12,12,-4.6166910368701984e-08,2.9143908888888888,2.9143908427219785,-2.1893339899788553e-07,1.1790529073259681e-07
B,shrink_lambda0.0,Q_std,33,-1.679017268585773e-07,10.464823232323234,10.464823064421505,-4.1450185420021203e-07,4.194098452863156e-08
B,shrink_lambda0.0,Q_nll,33,-2.396774153724759e-07,10.275718616161615,10.275718376484201,-4.714347124483978e-07,-4.0551697181766644e-08
B,shrink_lambda0.0,UNION,50,-1.5463348176369963e-07,8.293690380000001,8.293690225366518,-3.2331628100989993e-07,-8.866694575560005e-09
B,shrink_lambda0.0,all129,129,-5.4317219760772994e-08,4.835849751937984,4.835849697620764,-1.3147892976648013e-07,1.468488524303857e-08
B,shrink_lambda0.0,gradient12,12,-4.616691045196871e-08,2.9143908888888888,2.9143908427219785,-2.1910484555206132e-07,1.1618338456494587e-07
A,shrink_lambda0.1,Q_std,33,-0.6670558482600892,10.464823232323234,9.797767384063144,-1.2871179186238477,-0.2107408168427808
A,shrink_lambda0.1,Q_nll,33,-0.6551261455481386,10.275718616161615,9.620592470613479,-1.2977936452473817,-0.19072923502728245
A,shrink_lambda0.1,UNION,50,-0.4423985948332076,8.293690380000001,7.851291785166793,-0.8736346211419305,-0.12661516860346403
A,shrink_lambda0.1,all129,129,-0.1820955724388537,4.835849751937984,4.65375417949913,-0.3519503785899741,-0.05720942066109451
A,shrink_lambda0.1,gradient12,12,-0.010960135918487787,2.9143908888888888,2.903430752970401,-0.09320338915858367,0.06228663275508444
B,shrink_lambda0.1,Q_std,33,-0.6670558482600895,10.464823232323234,9.797767384063144,-1.2993712718727637,-0.20756447248096271
B,shrink_lambda0.1,Q_nll,33,-0.655126145548139,10.275718616161615,9.620592470613479,-1.2826420247941759,-0.1919609809370088
B,shrink_lambda0.1,UNION,50,-0.4423985948332077,8.293690380000001,7.851291785166793,-0.8767665477080702,-0.1317032292635021
B,shrink_lambda0.1,all129,129,-0.18209557243885377,4.835849751937984,4.65375417949913,-0.35441065372214214,-0.055994510299281826
B,shrink_lambda0.1,gradient12,12,-0.010960135918487815,2.9143908888888888,2.903430752970401,-0.09136677158398625,0.06167394522103595
A,shrink_lambda0.2,Q_std,33,-1.3269272150955551,10.464823232323234,9.137896017227678,-2.619559205555223,-0.38707778018309963
A,shrink_lambda0.2,Q_nll,33,-1.297370436025989,10.275718616161615,8.978348180135628,-2.5441069486224817,-0.3681977644386043
A,shrink_lambda0.2,UNION,50,-0.8762951688736372,8.293690380000001,7.417395211126364,-1.7568415258584098,-0.24489161134431733
A,shrink_lambda0.2,all129,129,-0.3608957935995202,4.835849751937984,4.474953958338464,-0.7145361634778735,-0.11140899432862077
A,shrink_lambda0.2,gradient12,12,-0.02192022567006514,2.9143908888888888,2.8924706632188237,-0.18861887230879537,0.12113521713409002
B,shrink_lambda0.2,Q_std,33,-1.3269272150955551,10.464823232323234,9.137896017227678,-2.595685248062709,-0.39814281586859934
B,shrink_lambda0.2,Q_nll,33,-1.2973704360259888,10.275718616161615,8.978348180135628,-2.555801993827887,-0.36873643731846667
B,shrink_lambda0.2,UNION,50,-0.8762951688736372,8.293690380000001,7.417395211126364,-1.7618200201566931,-0.24203642253818375
B,shrink_lambda0.2,all129,129,-0.3608957935995202,4.835849751937984,4.474953958338464,-0.7013109909196417,-0.11139687472470106
B,shrink_lambda0.2,gradient12,12,-0.021920225670065314,2.9143908888888888,2.8924706632188237,-0.1808116954145041,0.1251956998203884
A,shrink_lambda0.3,Q_std,33,-1.986798581931022,10.464823232323234,8.478024650392209,-3.896586623968732,-0.5922216079923396
A,shrink_lambda0.3,Q_nll,33,-1.9377161199352317,10.275718616161615,8.338002496226384,-3.8425187287156417,-0.53870867125285
A,shrink_lambda0.3,UNION,50,-1.3089386625787864,8.293690380000001,6.984751717421213,-2.59470840578324,-0.3593829590734401
A,shrink_lambda0.3,all129,129,-0.5390545187396635,4.835849751937984,4.2967952331983215,-1.0604115843834196,-0.16043002756844693
A,shrink_lambda0.3,gradient12,12,-0.032880315421642416,2.9143908888888888,2.881510573467246,-0.282502215144036,0.18376907173685186
B,shrink_lambda0.3,Q_std,33,-1.9867985819310225,10.464823232323234,8.478024650392209,-3.9005903357323555,-0.5754743204983851
B,shrink_lambda0.3,Q_nll,33,-1.9377161199352317,10.275718616161615,8.338002496226382,-3.833176732310312,-0.537530908345279
B,shrink_lambda0.3,UNION,50,-1.3089386625787862,8.293690380000001,6.984751717421213,-2.640743332945065,-0.3552314955984431
B,shrink_lambda0.3,all129,129,-0.5390545187396635,4.835849751937984,4.2967952331983215,-1.0651613036735899,-0.16486096804798575
B,shrink_lambda0.3,gradient12,12,-0.0328803154216426,2.9143908888888888,2.881510573467246,-0.28138648788466036,0.18158296069836277
A,shrink_lambda0.4,Q_std,33,-2.646669948766488,10.464823232323234,7.818153283556743,-5.143936165309762,-0.7800143646911883
A,shrink_lambda0.4,Q_nll,33,-2.578061803844474,10.275718616161615,7.697656812317142,-5.124631000862778,-0.7376078941606439
A,shrink_lambda0.4,UNION,50,-1.7415821562839349,8.293690380000001,6.552108223716065,-3.489685172920709,-0.47550107518537466
A,shrink_lambda0.4,all129,129,-0.7156763509076927,4.835849751937984,4.120173401030291,-1.40825504225149,-0.21987157245309638
A,shrink_lambda0.4,gradient12,12,-0.04384040517321999,2.9143908888888888,2.8705504837156695,-0.3760988008732934,0.24932214911141057
B,shrink_lambda0.4,Q_std,33,-2.646669948766488,10.464823232323234,7.818153283556745,-5.133236938493234,-0.767058341882786
B,shrink_lambda0.4,Q_nll,33,-2.578061803844474,10.275718616161615,7.697656812317144,-5.187590591948428,-0.690108029081467
B,shrink_lambda0.4,UNION,50,-1.7415821562839346,8.293690380000001,6.552108223716066,-3.508418489872729,-0.46948672820566495
B,shrink_lambda0.4,all129,129,-0.7156763509076925,4.835849751937984,4.120173401030291,-1.4077942684286624,-0.20865621098466516
B,shrink_lambda0.4,gradient12,12,-0.043840405173220076,2.9143908888888888,2.8705504837156695,-0.3708468201730839,0.24622249321801085
A,shrink_lambda0.5,Q_std,33,-3.3065413156019545,10.464823232323234,7.158281916721279,-6.379971708401403,-0.9774331765896631
A,shrink_lambda0.5,Q_nll,33,-3.2184074877537165,10.275718616161615,7.057311128407901,-6.4074430671130616,-0.8618601292875765
A,shrink_lambda0.5,UNION,50,-2.1742256499890833,8.293690380000001,6.119464730010917,-4.33861807682975,-0.580588294010993
A,shrink_lambda0.5,all129,129,-0.8894536637711501,4.835849751937984,3.9463960881668347,-1.7536927226820078,-0.263144335192102
A,shrink_lambda0.5,gradient12,12,-0.024221912400652978,2.9143908888888888,2.8901689764882357,-0.388393409986756,0.3125042429821819
B,shrink_lambda0.5,Q_std,33,-3.3065413156019545,10.464823232323234,7.158281916721279,-6.498676606104111,-0.9697516989595794
B,shrink_lambda0.5,Q_nll,33,-3.218407487753716,10.275718616161615,7.057311128407901,-6.263175937356675,-0.8933564633553371
B,shrink_lambda0.5,UNION,50,-2.1742256499890833,8.293690380000001,6.119464730010917,-4.327091769097882,-0.6056862009402122
B,shrink_lambda0.5,all129,129,-0.8894536637711501,4.835849751937984,3.9463960881668347,-1.7725164944976162,-0.2598513314336358
B,shrink_lambda0.5,gradient12,12,-0.02422191240065308,2.9143908888888888,2.8901689764882357,-0.3849664072768965,0.3180646316598594
A,shrink_lambda0.6,Q_std,33,-3.966412682437419,10.464823232323234,6.498410549885813,-7.7127424224918695,-1.1650349469054646
A,shrink_lambda0.6,Q_nll,33,-3.8545542414524165,10.275718616161615,6.4211643747092,-7.642104209617034,-1.095165433238762
A,shrink_lambda0.6,UNION,50,-2.6040978497552736,8.293690380000001,5.689592530244726,-5.273391578614782,-0.7049668129987144
A,shrink_lambda0.6,all129,129,-1.0582603235457024,4.835849751937984,3.7775894283922824,-2.106910693311951,-0.2980969055457422
A,shrink_lambda0.6,gradient12,12,0.024050130548626637,2.9143908888888888,2.9384410194375157,-0.31925542650345223,0.38862179514363593
B,shrink_lambda0.6,Q_std,33,-3.966412682437419,10.464823232323234,6.498410549885813,-7.65153504224098,-1.155654776297477
B,shrink_lambda0.6,Q_nll,33,-3.8545542414524165,10.275718616161615,6.4211643747092,-7.792081840293171,-1.1057896969933534
B,shrink_lambda0.6,UNION,50,-2.6040978497552736,8.293690380000001,5.689592530244726,-5.139095201880197,-0.7103468770669985
B,shrink_lambda0.6,all129,129,-1.0582603235457024,4.835849751937984,3.7775894283922824,-2.1178483855579517,-0.3044502685728843
B,shrink_lambda0.6,gradient12,12,0.024050130548626546,2.9143908888888888,2.9384410194375157,-0.3219245536282761,0.38461694166689414
A,shrink_lambda0.7,Q_std,33,-4.626284049272886,10.464823232323234,5.8385391830503455,-9.143143752816455,-1.3426425997193265
