mode,arm,population,n,delta_mae,ci_lo,ci_hi,source
A,trust,Q_std,33,-3.807008838665606,-8.38804768887748,-0.3584467238301816,saved results.csv (verified)
A,trust,Q_nll,33,-3.818802627281642,-8.454302743562017,-0.3442685342082559,saved results.csv (verified)
A,trust,UNION,50,-2.3594557942022134,-5.563247801006055,-0.0480901102901716,saved results.csv (verified)
A,trust,all129,129,-0.7596214050602025,-2.0050235852729466,0.164522611600658,saved results.csv (verified)
A,trust,gradient12,12,0.6746062513398594,0.0030000669522735,1.4748999133179572,saved results.csv (verified)
A,naive,Q_std,33,-0.7922336876994435,-3.2976234772953235,1.4420117462946915,saved results.csv (verified)
A,naive,Q_nll,33,-0.5383801342790107,-3.1797035009058403,1.766918095143706,saved results.csv (verified)
A,naive,UNION,50,-0.2417571969299765,-1.999996782467364,1.258304373307351,saved results.csv (verified)
A,naive,all129,129,0.0423143368080813,-0.6541315546165005,0.6605183787848492,saved results.csv (verified)
A,naive,gradient12,12,0.539524811129517,-0.1190884026544768,1.3432708340054311,saved results.csv (verified)
A,random_sign_placebo,Q_std,33,0.7330575893589086,-0.6810801097519508,2.373128568935696,saved results.csv (verified)
A,random_sign_placebo,Q_nll,33,0.6921356746037457,-0.6737525364930792,2.326718816172525,saved results.csv (verified)
A,random_sign_placebo,UNION,50,0.5357642097415681,-0.4200191183864057,1.6178009414731458,saved results.csv (verified)
A,random_sign_placebo,all129,129,0.1869672923331703,-0.1956182708241335,0.639798966645699,saved results.csv (verified)
A,random_sign_placebo,gradient12,12,0.0167928590395713,-0.1260861971073266,0.1273531854459686,saved results.csv (verified)
B,trust,Q_std,33,-3.807008926266372,-8.456502412462171,-0.3597053419885555,saved results.csv (verified)
B,trust,Q_nll,33,-3.8188027472435153,-8.41701662074475,-0.3717212576969856,saved results.csv (verified)
B,trust,UNION,50,-2.359455866621857,-5.4783547661229175,-0.0583914362506058,saved results.csv (verified)
B,trust,all129,129,-0.7596214123952705,-2.029995574897771,0.1680593771693704,saved results.csv (verified)
B,trust,gradient12,12,0.674606296043343,0.0103005772113429,1.488046987223528,saved results.csv (verified)
B,naive,Q_std,33,-0.7922333776348774,-3.4650773400670145,1.4924770399329708,saved results.csv (verified)
B,naive,Q_nll,33,-0.5383798460393774,-3.191885638345119,1.7479508560226285,saved results.csv (verified)
B,naive,UNION,50,-0.2417570001353075,-1.9830700631032367,1.2910957563509549,saved results.csv (verified)
B,naive,all129,129,0.0423144398070637,-0.669663306038598,0.6405510914350113,saved results.csv (verified)
B,naive,gradient12,12,0.5395249502070215,-0.1152659543465733,1.3429855963261537,saved results.csv (verified)
B,random_sign_placebo,Q_std,33,-1.0777800358906968,-2.3188452129405435,0.0543525946412102,saved results.csv (verified)
B,random_sign_placebo,Q_nll,33,-1.4086546077623403,-2.621452102635786,-0.3896228698585972,saved results.csv (verified)
B,random_sign_placebo,UNION,50,-0.7367065379308569,-1.6095254294235437,0.0208665472633611,saved results.csv (verified)
B,random_sign_placebo,all129,129,-0.288026379647985,-0.6468253951971273,0.0377794607645068,saved results.csv (verified)
B,random_sign_placebo,gradient12,12,0.0581701278241181,-0.3926109956015198,0.5277275395143184,saved results.csv (verified)
A,shrink_lambda1.0_selected,Q_std,33,-6.303690276155118,-12.476854230921072,-1.8380018234938569,this run
A,shrink_lambda1.0_selected,Q_nll,33,-6.065322364594745,-12.295845548407405,-1.5329343468831491,this run
A,shrink_lambda1.0_selected,UNION,50,-4.103266180329404,-8.333441858354059,-1.0816046117612665,this run
A,shrink_lambda1.0_selected,all129,129,-1.628959672167511,-3.32767084555495,-0.43847756088063555,this run
A,shrink_lambda1.0_selected,gradient12,12,0.21713830234574596,-0.255453163597874,0.7490527205227514,this run
B,shrink_lambda1.0_selected,Q_std,33,-6.303690276155118,-12.526436241558429,-1.8085246152786734,this run
B,shrink_lambda1.0_selected,Q_nll,33,-6.065322364594745,-12.310721662876544,-1.552385792203124,this run
B,shrink_lambda1.0_selected,UNION,50,-4.103266180329404,-8.215770697011925,-1.1056055102441036,this run
B,shrink_lambda1.0_selected,all129,129,-1.628959672167511,-3.374263144369989,-0.43098619915222586,this run
B,shrink_lambda1.0_selected,gradient12,12,0.2171383023457459,-0.26082712486043497,0.7643864471434538,this run
