mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,source
A,randElig_trust,Q_std,33,-6.118252095455574,10.464823232323232,4.346571136867659,-12.348557328162675,-1.6044915042258097,this run
A,randElig_trust,Q_nll,33,-6.048528949261574,10.275718616161617,4.227189666900041,-12.226939814033459,-1.555406407657514,this run
A,randElig_trust,UNION,50,-3.991822317030188,8.29369038,4.301868062969812,-8.156918919728074,-0.913529334580025,this run
A,randElig_trust,all129,129,-1.4949723280614842,4.8358497519379835,3.3408774238765004,-3.1374413331191016,-0.27204506614437635,this run
A,randElig_trust,gradient12,12,0.31334208043103406,2.914390888888889,3.2277329693199235,-0.2312826803149434,0.9066498534056131,this run
A,randAll_trust,Q_std,33,-6.012418432584734,10.464823232323232,4.452404799738499,-12.240073568982359,-1.524501623754054,this run
A,randAll_trust,Q_nll,33,-5.935857884147121,10.275718616161617,4.339860732014495,-12.249208162261503,-1.4040005592536138,this run
A,randAll_trust,UNION,50,-3.9122364171257913,8.29369038,4.381453962874208,-8.15527910252716,-0.8742609800260506,this run
A,randAll_trust,all129,129,-1.4897206480110827,4.8358497519379835,3.3461291039269017,-3.1829730181964244,-0.2878195462237984,this run
A,randAll_trust,gradient12,12,0.2155044617709375,2.914390888888889,3.129895350659826,-0.1332788700792589,0.6788626453371662,this run
A,randElig_equal,Q_std,33,-5.905531130144728,10.464823232323232,4.559292102178504,-11.906428161323277,-1.5166402869558344,this run
A,randElig_equal,Q_nll,33,-5.809058970027281,10.275718616161617,4.466659646134335,-11.803712649560545,-1.4386520018533306,this run
A,randElig_equal,UNION,50,-3.804985596937771,8.29369038,4.488704783062229,-7.997588624417672,-0.8288081176668581,this run
A,randElig_equal,all129,129,-1.4743242878352212,4.8358497519379835,3.3615254641027636,-3.1484008481211236,-0.29681995556016794,this run
A,randElig_equal,gradient12,12,0.3475988683700621,2.914390888888889,3.2619897572589522,-0.1754445200668076,0.9258143583105525,this run
A,randAll_equal,Q_std,33,-6.196883888520088,10.464823232323232,4.267939343803143,-12.261265315056422,-1.7585058311990631,this run
A,randAll_equal,Q_nll,33,-5.816955870542351,10.275718616161617,4.458762745619265,-12.098847408621074,-1.2987043021648816,this run
A,randAll_equal,UNION,50,-3.9721564575773085,8.29369038,4.321533922422692,-8.18781623526293,-0.9793115922767968,this run
A,randAll_equal,all129,129,-1.5681832484726126,4.8358497519379835,3.2676665034653722,-3.251568799428487,-0.37431187837629176,this run
