mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,trust,Q_std,33,-4.429546563791507,10.464823232323232,6.035276668531725,-9.846523861863648,-0.5561734803669445
A,trust,Q_nll,33,-4.43989504975643,10.275718616161615,5.835823566405186,-9.79168512686403,-0.5728883610193393
A,trust,UNION,50,-2.763755811910502,8.29369038,5.529934568089498,-6.513986072857851,-0.17150690914257075
A,trust,all129,129,-0.9227020796211087,4.835849751937984,3.913147672316876,-2.3569983559258,0.13053395518536023
A,trust,gradient12,12,0.7516802538830242,2.9143908888888888,3.6660711427719135,0.07344636990146615,1.512486136849826
A,naive,Q_std,33,-3.1303845044188088,10.464823232323232,7.334438727904423,-7.800071325425349,0.1982709599327867
A,naive,Q_nll,33,-2.8707800254741676,10.275718616161615,7.40493859068745,-7.644024482857539,0.4830794863046558
A,naive,UNION,50,-1.7550098940154115,8.29369038,6.538680485984588,-4.908654935032115,0.5103941796583227
A,naive,all129,129,-0.5293865805104174,4.835849751937984,4.306463171427567,-1.7612006808489078,0.36117625353702654
A,naive,gradient12,12,0.7497151175966001,2.9143908888888888,3.6641060064854893,0.10044347369983558,1.4783380319373087
A,random,Q_std,33,0.7211327220662423,10.464823232323232,11.185955954389474,-0.7512390103766927,2.4878897560242206
A,random,Q_nll,33,0.6996954126865029,10.275718616161615,10.975414028848121,-0.7522615989902082,2.4865872994456977
A,random,UNION,50,0.5266732541369802,8.29369038,8.82036363413698,-0.4676906334628414,1.6899214061347898
A,random,all129,129,0.1929908940563045,4.835849751937984,5.02884064599429,-0.19918605208170037,0.6654428622569912
A,random,gradient12,12,0.05745316921101392,2.9143908888888888,2.971844058099903,-0.07057159293977731,0.20267320695179558
B,trust,Q_std,33,-4.429546563791507,10.464823232323232,6.035276668531725,-9.820381350964432,-0.5352939682514516
B,trust,Q_nll,33,-4.43989504975643,10.275718616161615,5.835823566405185,-9.7720002349566,-0.6189706660051796
B,trust,UNION,50,-2.763755811910502,8.29369038,5.529934568089499,-6.2806387385800475,-0.11647123799406339
B,trust,all129,129,-0.9227020796211087,4.835849751937984,3.913147672316876,-2.3455366542317364,0.11341621880317371
B,trust,gradient12,12,0.7516802538830243,2.9143908888888888,3.6660711427719135,0.07118915499077402,1.5062747053116161
B,naive,Q_std,33,-3.1303845044188088,10.464823232323232,7.334438727904423,-7.9591029477189394,0.2046333781152903
B,naive,Q_nll,33,-2.870780025474168,10.275718616161615,7.40493859068745,-7.548206418677489,0.47558444480956624
B,naive,UNION,50,-1.7550098940154117,8.29369038,6.538680485984588,-4.960983126355452,0.46990047825498954
B,naive,all129,129,-0.5293865805104174,4.835849751937984,4.306463171427567,-1.8057858353618315,0.36382803454239154
B,naive,gradient12,12,0.7497151175966001,2.9143908888888888,3.6641060064854893,0.104724374995621,1.4706901372006869
B,random,Q_std,33,-1.254786297770321,10.464823232323232,9.21003693455291,-2.7960452754305045,0.041387280019338925
B,random,Q_nll,33,-1.634048025073387,10.275718616161615,8.641670591088229,-3.072302322748938,-0.4517992142186544
B,random,UNION,50,-0.843446792938246,8.29369038,7.450243587061756,-1.904850314961964,0.061499219379121284
B,random,all129,129,-0.34452027589311235,4.835849751937984,4.491329476044872,-0.765865920782907,0.01877244030004628
B,random,gradient12,12,0.06311010570549769,2.9143908888888888,2.9775009945943864,-0.48330488570919566,0.579018682593644
