mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,trust,Q_std,33,-3.8070088735419163,10.464823232323232,6.657814358781318,-8.451200423699301,-0.3591046894233703
A,trust,Q_nll,33,-3.818802657595001,10.275718616161617,6.456915958566616,-8.415580951457947,-0.3803418504289781
A,trust,UNION,50,-2.359455807720667,8.293690380000001,5.934234572279333,-5.478696665386564,-0.011870925841469525
A,trust,all129,129,-0.7596214182211353,4.835849751937985,4.076228333716849,-2.022282296643036,0.16745145714441498
A,trust,gradient12,12,0.6746062169943267,2.9143908888888888,3.5889971058832155,0.008605232783817258,1.4927214457968154
A,naive,Q_std,33,-0.7922336559184899,10.464823232323232,9.672589576404743,-3.3261475641775666,1.4907301589436852
A,naive,Q_nll,33,-0.5383800863929119,10.275718616161617,9.737338529768705,-3.1870593472153863,1.7622985311229378
A,naive,UNION,50,-0.2417571762937153,8.293690380000001,8.051933203706286,-1.9985425702139825,1.2612887754008395
A,naive,all129,129,0.04231434737569648,4.835849751937985,4.878164099313681,-0.6460011249525263,0.6611978571964442
A,naive,gradient12,12,0.5395248222654551,2.9143908888888888,3.4539157111543433,-0.12743196538547552,1.323475799407268
A,random,Q_std,33,0.7330576052332125,10.464823232323232,11.197880837556445,-0.6683034506079024,2.4217634311122467
A,random,Q_nll,33,0.6921356878271595,10.275718616161617,10.967854303988776,-0.6909312690138796,2.327506553167046
A,random,UNION,50,0.5357642205297808,8.293690380000001,8.82945460052978,-0.40731194863599113,1.6325918241861213
A,random,all129,129,0.18696729150505462,4.835849751937985,5.022817043443038,-0.18302932919021295,0.6450916702963952
A,random,gradient12,12,0.016792837044667774,2.9143908888888888,2.931183725933557,-0.12892355253461532,0.12721971005425864
B,trust,Q_std,33,-3.8070088735419163,10.464823232323232,6.657814358781318,-8.478991137969704,-0.33088638809683607
B,trust,Q_nll,33,-3.818802657595001,10.275718616161617,6.456915958566616,-8.42582692747513,-0.35341039048576584
B,trust,UNION,50,-2.359455807720667,8.293690380000001,5.934234572279333,-5.40739185679182,-0.0470892939878917
B,trust,all129,129,-0.7596214182211353,4.835849751937985,4.076228333716849,-2.0173739546697878,0.15751856531916814
B,trust,gradient12,12,0.6746062169943269,2.9143908888888888,3.5889971058832155,0.004717063057011148,1.4948818673187712
B,naive,Q_std,33,-0.7922336559184912,10.464823232323232,9.672589576404741,-3.363472182539513,1.458625714865023
B,naive,Q_nll,33,-0.538380086392913,10.275718616161617,9.737338529768703,-3.2000472760075565,1.7289191180442562
B,naive,UNION,50,-0.24175717629371604,8.293690380000001,8.051933203706284,-2.007958412739973,1.3266785464418587
B,naive,all129,129,0.04231434737569615,4.835849751937985,4.878164099313681,-0.6639731859474136,0.6557696580348846
B,naive,gradient12,12,0.539524822265455,2.9143908888888888,3.4539157111543433,-0.12889610971566165,1.3375850480408635
B,random,Q_std,33,-1.0777800179655546,10.464823232323232,9.387043214357677,-2.3554120952234623,0.05579352921611831
B,random,Q_nll,33,-1.4086546039176269,10.275718616161617,8.867064012243988,-2.630250847152912,-0.36646342733289883
B,random,UNION,50,-0.7367065349338178,8.293690380000001,7.55698384506618,-1.6116845336837653,0.02713982337346154
B,random,all129,129,-0.28802638129095026,4.835849751937985,4.547823370647034,-0.6464299892903999,0.028391942060675544
B,random,gradient12,12,0.05817017684257795,2.9143908888888888,2.9725610657314667,-0.4043218379638867,0.5378882786452893
