mol,n_atoms,n_gated_atoms,err_before,err_after,delta,neighbor_n,neighbor_u3_mean,neighbor_u3_median,neighbor_frac_train
mobley_1449384,24,5,2.5790453333333327,4.983476251547985,2.404430918214652,50,0.06581134565174575,0.0581275857985019,1.0
mobley_1563176,15,1,0.20710666666666655,1.1762574986530814,0.9691508319864148,10,0.1360817929729819,0.0654707085341215,1.0
mobley_3269565,15,2,4.634009333333333,4.562766546608925,-0.07124278672440809,20,0.10181336477398868,0.0947593785822391,1.0
mobley_3682850,17,4,2.8350783333333336,2.9784743543709746,0.14339602103764104,40,0.052844503568485336,0.0519391000270843,1.0
mobley_4252724,24,3,3.8748453333333335,5.251376592466926,1.3765312591335923,30,0.04435988105833526,0.04295568540692325,1.0
mobley_4483973,12,0,1.0726170000000002,1.072616982460022,-1.753997813658259e-08,0,,,
mobley_4620651,15,3,3.7224229999999996,3.3452305839136294,-0.3771924160863702,30,0.058785500998298296,0.039068516343832,1.0
mobley_4639255,10,1,10.523742333333335,9.998935967674704,-0.5248063656586304,10,0.10086458139121528,0.11321588605642316,1.0
mobley_4883284,14,2,0.2471093333333334,3.6418240254618484,3.394714692128515,20,0.07988514227326957,0.0422468222677707,1.0
mobley_5052949,21,1,0.4317979999999999,0.8083462486848212,0.3765482486848213,10,0.03907072786241768,0.0345963034778833,1.0
mobley_6257907,14,3,1.5934923333333337,3.7913621706010043,2.1978698372676706,30,0.10677572302520272,0.06587993912398815,1.0
mobley_8449031,22,3,3.2514236666666667,2.3821864908190364,-0.8692371758476303,30,0.07684580918091034,0.0430061742663383,1.0
