cid,exp,raw,gims,uniform,vw,Lambda,N
727,-5.4633,-3.9311,-3.8334,-3.8426,-3.8984,0.884423,18
768,-3.2200,-0.3138,-0.5592,-0.5726,-0.5206,0.759752,3
962,-6.3300,0.2204,-0.5948,-0.4665,-0.5950,0.950987,3
992,-4.4450,-3.5370,-2.9248,-2.9138,-2.8113,0.787243,13
1480,-7.6800,-5.6395,-4.1523,-4.3519,-4.0379,0.925689,19
1486,-4.9800,-5.5326,-4.1513,-4.3307,-4.0482,0.921040,19
1639,-15.3700,-3.6449,-2.2258,-2.4249,-2.2355,0.932198,10
1982,-14.6000,-6.4159,-4.3461,-4.6762,-4.2840,0.953471,20
2086,-9.9600,-8.2926,-5.6362,-6.0696,-5.6178,0.957616,26
2256,-9.5500,-8.4245,-6.0901,-6.4360,-6.1448,0.940772,28
2314,-6.8000,-9.2590,-6.2776,-6.7718,-6.2326,0.960644,29
2450,-12.6500,-4.9492,-3.2696,-3.5344,-3.2115,0.951407,15
2728,-8.1700,-8.0138,-5.6315,-6.0142,-5.6017,0.954783,26
2871,-8.0500,-11.5596,-8.2254,-8.7596,-8.1795,0.954299,38
2912,-6.9600,-14.7641,-10.2017,-10.9270,-10.1046,0.952881,47
2943,-5.5300,-7.1781,-5.4059,-5.5080,-5.8005,0.850423,24
3035,-3.6700,-7.7757,-5.6251,-5.9669,-5.5738,0.952840,26
3036,-4.3850,-8.3998,-6.0775,-6.4311,-6.0564,0.945306,28
3037,-14.1100,-7.8826,-5.8418,-6.1583,-5.7675,0.948491,27
3039,-5.6100,-6.2623,-3.9313,-4.3055,-3.9509,0.954653,18
3082,-11.0700,-7.8149,-5.2153,-5.6345,-5.1510,0.955481,24
3118,-5.5300,-9.2666,-7.1145,-7.4537,-7.0919,0.951377,33
3120,-10.5000,-8.0800,-5.2254,-5.6871,-5.2280,0.956048,24
3289,-7.0800,-8.7278,-6.8845,-7.1766,-6.8557,0.952333,32
3346,-6.8300,-10.1859,-6.7192,-7.2961,-6.6874,0.961380,31
3347,-5.3400,-15.3964,-11.2228,-11.9030,-11.1561,0.957444,52
3352,-10.2100,-7.1899,-6.4545,-6.5310,-6.8666,0.894380,30
3444,-10.7300,-10.2637,-6.9815,-7.4816,-6.9629,0.945482,32
4004,-8.1300,-12.0364,-8.2426,-8.8543,-8.2110,0.955453,38
4109,-11.1000,-6.2805,-4.3382,-4.6494,-4.3266,0.954265,20
4169,-8.2600,-12.8148,-8.8755,-9.5192,-8.8603,0.957943,41
4211,-4.8900,-8.0844,-6.0555,-6.3684,-6.0088,0.947532,28
4420,-7.7600,-6.4814,-4.4007,-4.6892,-4.5414,0.930435,20
4618,-12.8500,-8.7251,-6.0660,-6.4957,-6.0878,0.955861,28
4690,-6.8700,-7.9789,-4.8508,-5.3269,-4.8866,0.945250,22
4767,-6.7500,-14.9793,-11.1809,-11.8202,-11.1638,0.963572,52
4928,-9.4100,-11.4315,-7.6610,-8.2239,-7.6866,0.942037,35
4929,-8.6200,-11.1030,-7.6372,-8.1586,-7.6580,0.943336,35
4931,-7.3300,-8.6665,-6.0582,-6.4840,-6.0478,0.957749,28
4937,-9.1900,-9.6559,-6.7546,-7.1908,-6.8031,0.943221,31
4944,-9.8500,-8.9836,-6.4798,-6.8872,-6.4404,0.957139,30
5125,-6.7300,-11.6097,-9.4586,-9.7902,-9.4195,0.947436,44
5383,-10.9400,-10.4561,-6.8639,-7.3498,-6.8332,0.926734,31
5543,-4.5600,-10.2903,-6.9749,-7.4869,-6.9762,0.947760,32
5853,-13.1500,-6.1935,-4.4094,-4.6321,-4.3788,0.915682,20
5954,-4.5200,-8.7122,-6.4587,-6.8333,-6.4256,0.961193,30
6336,-9.2300,-11.8521,-8.0413,-8.6476,-7.9999,0.953023,37
6562,-2.8400,-2.8295,-2.3544,-2.4331,-2.3525,0.960379,11
6569,-3.7150,-3.1405,-2.7767,-2.8350,-2.7715,0.954482,13
6570,-3.8500,-2.6039,-2.3465,-2.3883,-2.3385,0.956449,11
6654,1.0100,-7.9425,-5.6954,-6.0000,-5.7148,0.927096,26
