id,smiles,exp,pubchem_cid
guthrie_727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-5.4633,727
guthrie_768,N#C,-3.22,768
guthrie_962,O,-6.33,962
guthrie_992,Clc1c(c(c(c(c1Cl)Cl)Cl)Cl)O,-4.445,992
guthrie_1480,Clc1cc(Cl)c(Cl)cc1OCC(O)=O,-7.68,1480
guthrie_1486,Clc1cc(Cl)ccc1OCC(O)=O,-4.98,1486
guthrie_1639,[nH]1nc(nc1)N,-15.37,1639
guthrie_1982,S(P(OC)(=O)NC(=O)C)C,-14.6,1982
guthrie_2086,S(C(C=NOC(=O)NC)(C)C)C,-9.96,2086
guthrie_2256,Clc1nc(nc(n1)NCC)NC(C)C,-9.55,2256
guthrie_2314,O1c2c(OC1(C)C)cccc2OC(=O)NC,-6.8,2314
guthrie_2450,BrC([N+](=O)[O-])(CO)CO,-12.65,2450
guthrie_2728,Clc1cc(NC(OC(C)C)=O)ccc1,-8.17,2728
guthrie_2871,ClC=1C(Oc2c(ccc(OP(=S)(OCC)OCC)c2)C=1C)=O,-8.05,2871
guthrie_2912,ClC(Cl)=CC1C(C)(C)C1C(OC(C#N)c1cc(Oc2ccccc2)ccc1)=O,-6.96,2912
guthrie_2943,Clc1c(C(OC)=O)c(Cl)c(Cl)c(C(OC)=O)c1Cl,-5.53,2943
guthrie_3035,Clc1ccc(cc1)C(c2ccc(cc2)Cl)=C(Cl)Cl,-3.67,3035
guthrie_3036,Clc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(Cl)cc1,-4.385,3036
guthrie_3037,Clc1cc(Cc2cc(Cl)ccc2O)c(O)cc1,-14.11,3037
guthrie_3039,ClC(Cl)=COP(OC)(OC)=O,-5.61,3039
guthrie_3082,S(P(=S)(OC)OC)CC(=O)NC,-11.07,3082
guthrie_3118,S(CCSP(=S)(OCC)OCC)CC,-5.53,3118
guthrie_3120,Clc1cc(NC(=O)N(C)C)ccc1Cl,-10.5,3120
guthrie_3289,S(P(SCCC)(OCC)=O)CCC,-7.08,3289
guthrie_3346,S(C)c1ccc(OP(=S)(OC)OC)cc1C,-6.83,3346
guthrie_3347,Clc1ccc(cc1)C(C(C)C)C(OC(C#N)c1cc(Oc2ccccc2)ccc1)=O,-5.34,3347
guthrie_3352,Clc1cc(cc(Cl)c1-n1nc(C#N)c(S(=O)C(F)(F)F)c1N)C(F)(F)F,-10.21,3352
guthrie_3444,BrC1CC(OC1)(Cn1ncnc1)c1ccc(Cl)cc1Cl,-10.73,3444
guthrie_4004,S(P(=S)(OC)OC)C(CC(OCC)=O)C(OCC)=O,-8.13,4004
guthrie_4109,S(C(=NOC(=O)NC)C)C,-11.1,4109
guthrie_4169,ClCC(=O)N(C(COC)C)c1c(cccc1C)CC,-8.26,4169
guthrie_4211,Clc1ccccc1C(C(Cl)Cl)c1ccc(Cl)cc1,-4.89,4211
guthrie_4420,BrC(OP(OC)(OC)=O)C(Br)(Cl)Cl,-7.76,4420
guthrie_4618,S(=O)(CCSP(OC)(OC)=O)CC,-12.85,4618
guthrie_4690,Clc1cc(N2OC(=O)N(C)C2=O)ccc1Cl,-6.87,4690
guthrie_4767,O(c1cc(ccc1)COC(=O)C1C(C)(C)C1C=C(C)C)c1ccccc1,-6.75,4767
guthrie_4928,O(C)c1nc(nc(n1)NC(C)C)NC(C)C,-9.41,4928
guthrie_4929,S(C)c1nc(nc(n1)NC(C)C)NC(C)C,-8.62,4929
guthrie_4931,ClCC(=O)N(C(C)C)c1ccccc1,-7.33,4931
guthrie_4937,Clc1nc(nc(n1)NC(C)C)NC(C)C,-9.19,4937
guthrie_4944,O(C(C)C)c1ccccc1OC(=O)NC,-9.85,4944
guthrie_5125,CCCCSP(=O)(SCCCC)SCCCC ,-6.73,5125
guthrie_5383,s1c(nnc1N(C(=O)NC)C)C(C)(C)C,-10.94,5383
guthrie_5543,ClC(CSC(=O)N(C(C)C)C(C)C)=C(Cl)Cl,-4.56,5543
guthrie_5853,ClC(Cl)(Cl)C(P(OC)(OC)=O)O,-13.15,5853
guthrie_5954,c1cccc2c1ccc3c2cc4c(c3)cccc4,-4.52,5954
guthrie_6336,Clc1ccc(cc1)C(CCCC)(C#N)Cn1ncnc1,-9.23,6336
guthrie_6562,O=CC(C)=C,-2.84,6562
guthrie_6569,O=C(CC)C,-3.715,6569
guthrie_6570,O=C(C=C)C,-3.85,6570
guthrie_6654,C12CC(CC=C1C)C2(C)C,1.01,6654
guthrie_6854,[nH]1c2c(c3c1cccc3)cccc2,-3.91,6854
guthrie_6884,Clc1cc(Cl)cc(Cl)c1OC,-1.43,6884
guthrie_6950,Oc1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C(CC)C,-6.42,6950
guthrie_7017,Oc1ccccc1-c1ccccc1,-1.61,7017
guthrie_7055,c1c2c(ccc1C)cccc2,-2.3,7055
guthrie_7153,Clc1cc(c(cc1)OC(C(=O)O)C)C,-10.05,7153
guthrie_7204,Clc1cc(C)c(OCC(O)=O)cc1,-10.52,7204
guthrie_7280,BrC(CCl)CBr,-2.64,7280
guthrie_7328,Clc1cc(Cl)ccc1OP(=S)(OCC)OCC,1.52,7328
guthrie_7430,Clc1c(c(cc(c1)N(=O)=O)Cl)N,-7.75,7430
guthrie_7460,C1C=C(C=CC1C(C)C)C,0.48,7460
guthrie_7461,C1C=C(CC=C1C(C)C)C,0.03,7461
guthrie_7462,C1CC(=CC=C1C(C)C)C,0.2,7462
