stage,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,p_improves,p_left_better
test,gims,Q_std,33,-2.1212121183966312e-07,1.7915269090909087,1.7915266969696968,-7.777777773121217e-07,3.23232323436636e-07,0.7683,
test,gims,Q_nll,33,1.3131313144755477e-07,1.7626513636363634,1.762651494949495,-5.959595957661413e-07,1.1313131314091503e-06,0.4299,
test,gims,UNION,50,1.266666668153782e-07,1.8483009799999999,1.8483011066666666,-4.266666663035323e-07,8.333333334245019e-07,0.3704,
test,gims,all129,129,1.2919896680070543e-08,1.6626462713178292,1.6626462842377259,-2.3255813941924215e-07,3.100775193764328e-07,0.4881,
test,gims,gradient12,12,1.9444444443461606e-07,1.7795259166666666,1.7795261111111111,-3.333333332504e-07,8.055555555386285e-07,0.2685,
test,vw,Q_std,33,-2.1212121183966312e-07,1.7915269090909087,1.7915266969696968,-7.777777775114993e-07,3.2323232345278466e-07,0.7713,
test,vw,Q_nll,33,1.3131313144755477e-07,1.7626513636363634,1.762651494949495,-6.06060605898085e-07,1.1212121211358213e-06,0.4317,
test,vw,UNION,50,1.266666668153782e-07,1.8483009799999999,1.8483011066666666,-4.199999998378279e-07,8.400000000975405e-07,0.3788,
test,vw,all129,129,1.2919896680070543e-08,1.6626462713178292,1.6626462842377259,-2.2739018074349168e-07,3.0490956080272173e-07,0.4928,
test,vw,gradient12,12,1.9444444443461606e-07,1.7795259166666666,1.7795261111111111,-3.333333334909483e-07,8.055555554280687e-07,0.2631,
test,gims_total,Q_std,33,-2.1212121183966312e-07,1.7915269090909087,1.7915266969696968,-7.676767674661444e-07,3.232323234322623e-07,0.7743,
test,gims_total,Q_nll,33,1.3131313144755477e-07,1.7626513636363634,1.762651494949495,-6.063131313043524e-07,1.1313131312987167e-06,0.4289,
test,gims_total,UNION,50,1.266666668153782e-07,1.8483009799999999,1.8483011066666666,-4.266666665155294e-07,8.133333334949256e-07,0.3627,
test,gims_total,all129,129,1.2919896680070543e-08,1.6626462713178292,1.6626462842377259,-2.2997416016575248e-07,3.0749354002308756e-07,0.4882,
test,gims_total,gradient12,12,1.9444444443461606e-07,1.7795259166666666,1.7795261111111111,-3.3333333315880656e-07,7.777777778134043e-07,0.2671,
test,uniform,Q_std,33,-2.1212121183966312e-07,1.7915269090909087,1.7915266969696968,-7.777777774227655e-07,3.2323232344614017e-07,0.7747,
test,uniform,Q_nll,33,1.3131313144755477e-07,1.7626513636363634,1.762651494949495,-6.060606059451434e-07,1.1414141414463467e-06,0.4264,
test,uniform,UNION,50,1.266666668153782e-07,1.8483009799999999,1.8483011066666666,-4.133333331468869e-07,8.533333333444471e-07,0.3571,
test,uniform,all129,129,1.2919896680070543e-08,1.6626462713178292,1.6626462842377259,-2.2739018087244753e-07,2.998062016392085e-07,0.4847,
test,uniform,gradient12,12,1.9444444443461606e-07,1.7795259166666666,1.7795261111111111,-3.062500002310817e-07,8.055555554646136e-07,0.2593,
test,gims_minus_vw,Q_std,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,UNION,50,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,all129,129,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,gradient12,12,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,Q_std,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,UNION,50,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,all129,129,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,gradient12,12,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,Q_std,33,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,UNION,50,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,all129,129,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,gradient12,12,0.0,,,0.0,0.0,,0.0
