mol_id,atom_idx,P_seed42,P_seed123,P_seed999
mobley_1017962,0,-0.843151,-0.840927,-0.841617
mobley_1017962,1,-0.397051,-0.396037,-0.397108
mobley_1017962,2,-0.526957,-0.525610,-0.526491
mobley_1017962,3,-0.423610,-0.422709,-0.423350
mobley_1017962,4,-0.470046,-0.468648,-0.470010
mobley_1017962,5,-0.277272,-0.277603,-0.276750
mobley_1017962,6,-2.069393,-2.069215,-2.069877
mobley_1017962,7,-0.929165,-0.929071,-0.928271
mobley_1017962,8,-0.968125,-0.966142,-0.965598
mobley_1017962,9,0.412463,0.411299,0.412141
mobley_1017962,10,0.412466,0.411301,0.412144
mobley_1017962,11,0.280201,0.279519,0.279974
mobley_1017962,12,0.287522,0.286782,0.287258
mobley_1017962,13,0.287522,0.286783,0.287258
mobley_1017962,14,0.339311,0.338387,0.339011
mobley_1017962,15,0.339312,0.338388,0.339012
mobley_1017962,16,0.280524,0.279938,0.280117
mobley_1017962,17,0.280523,0.279937,0.280116
mobley_1017962,18,0.218957,0.218695,0.218471
mobley_1017962,19,0.218958,0.218696,0.218472
mobley_1017962,20,0.258711,0.258131,0.258492
mobley_1017962,21,0.262754,0.262028,0.262649
mobley_1017962,22,0.258709,0.258130,0.258491
mobley_1019269,0,-0.846103,-0.843871,-0.844557
mobley_1019269,1,-0.412254,-0.411219,-0.412245
mobley_1019269,2,-0.437547,-0.436380,-0.437516
mobley_1019269,3,-0.657388,-0.656197,-0.655955
mobley_1019269,4,-3.010714,-3.010600,-3.012677
mobley_1019269,5,0.279792,0.279111,0.279567
mobley_1019269,6,0.413372,0.412205,0.413050
mobley_1019269,7,0.414124,0.412954,0.413802
mobley_1019269,8,0.292504,0.291740,0.292229
mobley_1019269,9,0.288440,0.287696,0.288170
mobley_1019269,10,0.301579,0.300865,0.301222
mobley_1019269,11,0.399573,0.398462,0.399185
mobley_1019269,12,0.273279,0.272520,0.273098
mobley_1019269,13,0.178256,0.177873,0.178120
mobley_1019269,14,0.173341,0.174547,0.171378
mobley_1034539,0,-0.371972,-0.371494,-0.371886
mobley_1034539,1,-0.313627,-0.313463,-0.313796
mobley_1034539,2,0.605341,0.602689,0.600264
mobley_1034539,3,0.622635,0.619975,0.617465
mobley_1034539,4,-0.349555,-0.349215,-0.349650
mobley_1034539,5,0.146761,0.145590,0.144625
mobley_1034539,6,-0.000266,-0.001058,-0.001589
mobley_1034539,7,-0.342135,-0.341840,-0.342259
mobley_1034539,8,0.620611,0.618005,0.615418
mobley_1034539,9,0.695723,0.692815,0.690007
mobley_1034539,10,0.705461,0.702576,0.699699
mobley_1034539,11,0.568288,0.565863,0.563315
mobley_1034539,12,-1.043681,-1.043314,-1.043127
mobley_1034539,13,-1.009540,-1.009148,-1.008894
mobley_1034539,14,-1.014644,-1.014255,-1.014018
mobley_1034539,15,-1.081697,-1.081412,-1.081325
mobley_1034539,16,-1.090250,-1.089971,-1.089911
mobley_1034539,17,-1.091301,-1.091024,-1.090969
mobley_1034539,18,-0.182676,-0.182034,-0.182356
mobley_1034539,19,-0.308718,-0.307324,-0.308124
mobley_1034539,20,-0.313499,-0.312198,-0.312818
