id,exp,E_42,E_123,E_999,N
3-1ftoh,-2.5800,-2.7345,-2.7329,-2.7541,15
3-3ftoh,-2.9600,-4.2921,-4.2912,-4.3051,21
4-2fti,2.1800,-1.3128,-1.3147,-1.3265,20
4-2ftma,0.8500,-4.2556,-4.2555,-4.2667,33
4-2ftoh,-2.1400,-3.4651,-3.4658,-3.4869,21
4-4ftoh,-2.6900,-3.9923,-3.9938,-4.0113,27
5-2sftoh,-0.2100,-2.5431,-2.5450,-2.5764,24
6-1fti,3.1100,-1.1061,-1.1110,-1.1304,23
6-1fti-7h,0.9600,-1.5570,-1.5594,-1.5783,23
6-2fta,1.7300,-4.2011,-4.2045,-4.2230,36
6-2ftoh,-0.8700,-3.8431,-3.8473,-3.8731,27
7-1ftoh,-0.3600,-3.2571,-3.2616,-3.2946,27
8-2ftoh,0.1500,-3.6703,-3.6770,-3.7117,33
etfhxsa,-2.1600,-4.9928,-4.9891,-5.0340,31
etfhxse,-4.1200,-4.5788,-4.5719,-4.6234,38
mefbsa,-3.8900,-4.9795,-4.9731,-5.0087,22
mefbse,-5.9400,-4.9422,-4.9341,-4.9720,29
mefhxsa,-2.7400,-4.8026,-4.7989,-4.8433,28
pfbsa,-6.6700,-7.5205,-7.5112,-7.5516,19
pfhxsa,-5.3800,-7.3440,-7.3373,-7.3865,25
pfosa,-4.1500,-7.2001,-7.1959,-7.2536,31
"1,1-dimethyl-3,3,4,4,5,5-hexabromo-2,2-bipyrrole",-8.3100,-3.7089,-3.7143,-3.7025,24
"2,3,7,8-tetrabromodibenzo-p-dioxin",-5.2800,-6.3349,-6.3372,-6.3289,22
abate,-7.4500,-16.1375,-16.0600,-16.1586,47
acticin,-7.4400,-10.9858,-10.9758,-10.9863,46
benzoximate,-7.7200,-9.0213,-9.0148,-9.0069,43
bitertanol,-14.2900,-13.9038,-13.8867,-13.9012,48
bixafen,-10.1700,-13.2204,-13.2153,-13.2365,39
carfentrazone-ethyl,-9.4400,-12.3904,-12.3862,-12.4078,40
chlorophacinone,-13.4700,-13.8126,-13.7986,-13.8164,42
cyfluthrin,-7.4000,-11.8211,-11.8127,-11.8260,47
cyhalofop-butyl,-8.3000,-12.6166,-12.6107,-12.6136,46
cymperator,-7.0100,-12.3568,-12.3467,-12.3598,47
diclosulam,-18.8300,-13.5916,-13.5809,-13.6045,35
diphenyl-2-ethylhexyl-phosphate,-4.9000,-12.5188,-12.4713,-12.5289,52
fipronil,-10.2000,-10.4727,-10.4642,-10.4988,30
fluacrypyrim,-7.7800,-13.5241,-13.5217,-13.5176,51
fluazifop-butyl,-7.3000,-13.0163,-13.0114,-13.0152,47
flubenzimine,-5.0800,-10.9490,-10.9455,-10.9674,38
flusulfamide,-9.5500,-11.9237,-11.9168,-11.9333,32
flutianil,-7.1600,-10.5087,-10.5012,-10.5180,42
furconazole,-9.5000,-12.3596,-12.3468,-12.3716,39
isopropazol,-5.6200,-7.0144,-7.0168,-7.0238,37
kappa-bifenthrin,-5.9900,-9.3189,-9.3103,-9.3218,51
kappa-tefluthrin,-1.3600,-5.3539,-5.3546,-5.3646,41
kepone,-7.3700,3.9357,3.9006,3.8424,21
metofluthrin,-4.7200,-5.1189,-5.1141,-5.1194,45
milbemycin-a4,-16.4600,-15.5435,-15.5282,-15.5416,85
octabromodibenzo-p-dioxin,-6.9600,-5.6842,-5.6953,-5.6730,22
pefurazoate,-9.0700,-12.8267,-12.8185,-12.8199,48
pentabromoanisole,-4.6900,-2.8799,-2.8838,-2.8715,16
perchlordecone,-2.0200,3.8337,3.7937,3.7301,22
