id,exp,E_42,E_123,E_999,N
727,-5.4633,-6.0703,-6.0664,-6.0958,18
768,-3.2200,-1.3577,-1.3573,-1.3578,3
962,-6.3300,-4.2606,-4.2591,-4.2697,3
992,-4.4450,-3.4223,-3.4337,-3.4527,13
1480,-7.6800,-8.9398,-8.9418,-8.9554,19
1486,-4.9800,-9.2146,-9.2129,-9.2245,19
1639,-15.3700,-11.2096,-11.2024,-11.2119,10
1982,-14.6000,-14.3353,-14.3366,-14.3507,20
2086,-9.9600,-7.2162,-7.2169,-7.2127,26
2256,-9.5500,-8.8100,-8.8165,-8.8235,28
2314,-6.8000,-11.0029,-11.0029,-11.0013,29
2450,-12.6500,-7.0066,-7.0035,-7.0035,15
2728,-8.1700,-9.0284,-9.0248,-9.0317,26
2871,-8.0500,-9.3719,-9.3399,-9.3897,38
2912,-6.9600,-12.8846,-12.8739,-12.8888,47
2943,-5.5300,-4.4123,-4.4200,-4.4358,24
3035,-3.6700,-6.7986,-6.7990,-6.8157,26
3036,-4.3850,-8.2066,-8.2014,-8.2272,28
3037,-14.1100,-12.2290,-12.2192,-12.2442,27
3039,-5.6100,-7.6524,-7.6154,-7.6751,18
3082,-11.0700,-8.3214,-8.2945,-8.3264,24
3118,-5.5300,-4.8438,-4.8186,-4.8495,33
3120,-10.5000,-8.0685,-8.0699,-8.0777,24
3289,-7.0800,-3.5290,-3.5083,-3.5357,32
3346,-6.8300,-8.1849,-8.1475,-8.1920,31
3347,-5.3400,-13.4139,-13.3985,-13.4147,52
3352,-10.2100,-10.8485,-10.8413,-10.8781,30
3444,-10.7300,-8.5917,-8.5883,-8.6023,32
4004,-8.1300,-10.1978,-10.1741,-10.1983,38
4109,-11.1000,-8.1636,-8.1615,-8.1619,20
4169,-8.2600,-8.0764,-8.0737,-8.0740,41
4211,-4.8900,-8.1007,-8.0946,-8.1165,28
4420,-7.7600,-6.6508,-6.6121,-6.6711,20
4618,-12.8500,-7.0656,-7.0292,-7.0727,28
4690,-6.8700,-8.7785,-8.7823,-8.7831,22
4767,-6.7500,-11.6082,-11.5974,-11.5983,52
4928,-9.4100,-9.8761,-9.8839,-9.8841,35
4929,-8.6200,-9.3436,-9.3478,-9.3560,35
4931,-7.3300,-6.9512,-6.9487,-6.9535,28
4937,-9.1900,-8.2313,-8.2394,-8.2455,31
4944,-9.8500,-9.8809,-9.8788,-9.8772,30
5125,-6.7300,-2.9409,-2.9290,-2.9441,44
5383,-10.9400,-8.9763,-8.9788,-8.9815,31
5543,-4.5600,-5.6169,-5.6225,-5.6302,32
5853,-13.1500,-8.6906,-8.6693,-8.7105,20
5954,-4.5200,-7.4522,-7.4412,-7.4496,30
6336,-9.2300,-9.0177,-9.0143,-9.0260,37
6562,-2.8400,-3.1937,-3.1903,-3.1909,11
6569,-3.7150,-2.4927,-2.4932,-2.4935,13
6570,-3.8500,-2.9155,-2.9134,-2.9139,11
6654,1.0100,-0.4095,-0.4104,-0.4103,26
6854,-3.9100,-8.5485,-8.5387,-8.5456,22
6884,-1.4300,-3.4752,-3.4762,-3.4861,16
6950,-6.4200,-8.5146,-8.5115,-8.5035,29
7017,-1.6100,-8.4606,-8.4502,-8.4602,23
7055,-2.3000,-4.2996,-4.2935,-4.2956,21
7153,-10.0500,-9.8385,-9.8350,-9.8436,25
7204,-10.5200,-10.0267,-10.0228,-10.0301,22
7280,-2.6400,-1.2967,-1.2958,-1.3005,11
7328,1.5200,-7.4154,-7.3832,-7.4363,30
7430,-7.7500,-8.8258,-8.8225,-8.8295,16
7460,0.4800,-2.0209,-2.0178,-2.0176,26
7461,0.0300,-2.1839,-2.1806,-2.1804,26
7462,0.2000,-1.8618,-1.8598,-1.8582,26
7541,-10.8400,-9.2796,-9.2847,-9.2975,21
7847,-3.4100,-2.8205,-2.8173,-2.8181,8
7944,-1.8600,-2.2902,-2.2901,-2.2967,21
8268,-6.8300,-8.2008,-8.1974,-8.2286,29
8305,-7.8400,-7.8022,-7.7995,-7.8169,25
8330,-1.6800,-4.9032,-4.9107,-4.9148,14
8427,-10.9200,-9.1356,-9.1340,-9.1472,22
8630,-5.5400,-10.1933,-10.1871,-10.2106,17
8800,-8.0700,-8.3355,-8.3333,-8.3390,24
9154,-4.2400,-6.6538,-6.6454,-6.6500,26
9161,-3.1300,-5.1215,-5.1151,-5.1171,20
9171,-5.0100,-7.3808,-7.3695,-7.3789,30
9195,-4.0500,-7.4546,-7.4440,-7.4490,29
9272,-6.1000,-10.4006,-10.3705,-10.4109,28
9298,-3.9300,-6.8215,-6.7917,-6.8454,24
9502,-7.5400,-8.2286,-8.2285,-8.2310,25
9864,-11.9200,-5.3635,-5.3604,-5.3673,5
10522,-6.8700,-12.4074,-12.3995,-12.4170,35
10788,-11.0400,-2.0923,-2.0957,-2.1012,19
10800,-6.9200,-8.7662,-8.7632,-8.7564,20
11167,-2.7000,-1.5003,-1.5020,-1.5029,7
11463,0.0400,-1.7189,-1.7175,-1.7151,26
11724,-2.4600,-2.0748,-2.0725,-2.0613,8
11839,-2.4200,-3.2974,-3.2983,-3.2906,16
12259,-2.3500,-1.8762,-1.8741,-1.8642,11
12307,-2.1500,-1.5477,-1.5462,-1.5356,14
12541,-6.7400,-4.6431,-4.6171,-4.6468,27
12724,1.9100,-0.7725,-0.7713,-0.7698,18
12898,-12.8000,-10.6006,-10.5910,-10.6190,32
12901,-8.9400,-10.7882,-10.7603,-10.7918,31
12932,-7.5300,-14.0389,-14.0037,-14.0497,47
12968,-4.0900,-3.7024,-3.7034,-3.7037,31
13257,-3.6800,-6.0048,-5.9955,-6.0014,27
13290,-10.7600,-10.7542,-10.7576,-10.7620,39
13526,-8.1200,-5.7249,-5.6912,-5.7325,27
13676,-4.8800,-6.5701,-6.5555,-6.5691,29
13709,-9.0200,-10.1817,-10.1553,-10.1830,27
13728,-12.0600,-7.9833,-7.9738,-7.9787,35
13904,-10.5100,-9.4380,-9.4418,-9.4485,29
14145,-7.8900,-10.9796,-10.9685,-10.9985,29
14322,-7.4100,-8.2095,-8.2058,-8.2072,23
14337,-5.0700,-4.4542,-4.4519,-4.4559,35
14896,0.6100,-1.3184,-1.3162,-1.3186,26
14994,-4.5900,-7.6994,-7.6993,-7.6886,29
15331,-10.7000,-10.5234,-10.5182,-10.5282,23
15438,-9.5200,-10.1962,-10.1919,-10.1914,28
15533,-3.9300,-5.0794,-5.0837,-5.0799,37
15575,-1.9300,-1.8278,-1.8268,-1.8169,14
15629,-7.6800,-8.4930,-8.4891,-8.4897,25
15788,-3.7900,-7.8790,-7.8795,-7.8871,25
15910,-0.8900,-2.5975,-2.6126,-2.6282,14
15965,-10.5800,-8.6708,-8.6680,-8.6927,16
16004,-4.1800,-5.4117,-5.4135,-5.4236,14
16007,-7.0100,-10.4913,-10.4848,-10.4976,23
