stage,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,p_improves,p_left_better
test,gims,Q_std,33,-1.2121212067731679e-08,1.9985634969696968,1.9985634848484848,-4.727272727746776e-07,4.4242424250172763e-07,0.5273,
test,gims,Q_nll,33,9.090909113038535e-08,1.7873769575757574,1.7873770484848486,-3.3348484866357874e-07,5.272727275679684e-07,0.3436,
test,gims,UNION,50,-1.5999999933846708e-08,1.7502878480000001,1.7502878320000002,-3.8799999997374265e-07,3.6800000004172385e-07,0.5274,
test,gims,all129,129,1.550387607443591e-08,1.3658639891472866,1.3658640046511628,-2.046511626926175e-07,2.387596899347038e-07,0.4414,
test,gims,gradient12,12,1.5000000003206893e-07,1.40896605,1.4089662,-2.0000000002425486e-07,4.833333334494649e-07,0.1873,
test,vw,Q_std,33,-1.2121212067731679e-08,1.9985634969696968,1.9985634848484848,-4.606060603213958e-07,4.3636363658493986e-07,0.5161,
test,vw,Q_nll,33,9.090909113038535e-08,1.7873769575757574,1.7873770484848486,-3.3333333319278613e-07,5.393939396382232e-07,0.3332,
test,vw,UNION,50,-1.5999999933846708e-08,1.7502878480000001,1.7502878320000002,-3.8799999998950784e-07,3.560000003012265e-07,0.5359,
test,vw,all129,129,1.550387607443591e-08,1.3658639891472866,1.3658640046511628,-2.0468992245627618e-07,2.434108527568194e-07,0.4456,
test,vw,gradient12,12,1.5000000003206893e-07,1.40896605,1.4089662,-2.1666666662663778e-07,4.833333333194764e-07,0.1922,
test,gims_total,Q_std,33,-1.2121212067731679e-08,1.9985634969696968,1.9985634848484848,-4.606060603770752e-07,4.4848484849101633e-07,0.5192,
test,gims_total,Q_nll,33,9.090909113038535e-08,1.7873769575757574,1.7873770484848486,-3.393939392007467e-07,5.393939395944872e-07,0.335,
test,gims_total,UNION,50,-1.5999999933846708e-08,1.7502878480000001,1.7502878320000002,-3.9600000011136286e-07,3.600000000793524e-07,0.5211,
test,gims_total,all129,129,1.550387607443591e-08,1.3658639891472866,1.3658640046511628,-2.0775193791290517e-07,2.3879844985000644e-07,0.4341,
test,gims_total,gradient12,12,1.5000000003206893e-07,1.40896605,1.4089662,-2.000000000987323e-07,4.833333333939537e-07,0.1906,
test,uniform,Q_std,33,-1.2121212067731679e-08,1.9985634969696968,1.9985634848484848,-4.6075757597276784e-07,4.3636363654473634e-07,0.5219,
test,uniform,Q_nll,33,9.090909113038535e-08,1.7873769575757574,1.7873770484848486,-3.3939393926584623e-07,5.454545458100259e-07,0.3441,
test,uniform,UNION,50,-1.5999999933846708e-08,1.7502878480000001,1.7502878320000002,-3.9610000021750293e-07,3.640000001016719e-07,0.5301,
test,uniform,all129,129,1.550387607443591e-08,1.3658639891472866,1.3658640046511628,-2.0779069766640836e-07,2.3255813962787155e-07,0.4458,
test,uniform,gradient12,12,1.5000000003206893e-07,1.40896605,1.4089662,-2.1666666664514148e-07,4.833333334490023e-07,0.2014,
test,gims_minus_vw,Q_std,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,UNION,50,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,all129,129,0.0,,,0.0,0.0,,0.0
test,gims_minus_vw,gradient12,12,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,Q_std,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,UNION,50,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,all129,129,0.0,,,0.0,0.0,,0.0
test,gims_minus_uniform,gradient12,12,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,Q_std,33,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,Q_nll,33,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,UNION,50,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,all129,129,0.0,,,0.0,0.0,,0.0
test,vw_minus_uniform,gradient12,12,0.0,,,0.0,0.0,,0.0
