mol_id,atom_idx,P_seed42,P_seed123,P_seed7,P_seed2024,P_seed999
mobley_1017962,0,1.010063,1.022352,1.029505,1.015006,1.024595
mobley_1017962,1,0.817963,0.831605,0.834030,0.838558,0.841279
mobley_1017962,2,0.716291,0.726144,0.722765,0.725768,0.736166
mobley_1017962,3,0.852916,0.866657,0.874839,0.873187,0.884901
mobley_1017962,4,-0.011082,-0.009784,0.007905,-0.001268,0.005726
mobley_1017962,5,0.433255,0.433021,0.362186,0.406316,0.358905
mobley_1017962,6,-1.843945,-1.844356,-1.844608,-1.844579,-1.844500
mobley_1017962,7,-1.904671,-1.903188,-1.906744,-1.904014,-1.906190
mobley_1017962,8,0.717221,0.709307,0.715532,0.697054,0.703184
mobley_1017962,9,-0.148035,-0.147530,-0.149021,-0.147293,-0.147764
mobley_1017962,10,-0.148035,-0.147530,-0.149021,-0.147294,-0.147764
mobley_1017962,11,-0.154073,-0.153576,-0.155148,-0.153362,-0.153835
mobley_1017962,12,-0.383559,-0.381319,-0.393684,-0.386701,-0.390291
mobley_1017962,13,-0.383558,-0.381319,-0.393684,-0.386700,-0.390291
mobley_1017962,14,-0.461736,-0.459272,-0.472776,-0.465195,-0.468643
mobley_1017962,15,-0.461736,-0.459272,-0.472776,-0.465195,-0.468643
mobley_1017962,16,-0.439957,-0.437063,-0.451003,-0.442849,-0.447013
mobley_1017962,17,-0.439957,-0.437063,-0.451003,-0.442849,-0.447013
mobley_1017962,18,-0.319423,-0.317478,-0.327185,-0.321165,-0.323961
mobley_1017962,19,-0.319423,-0.317479,-0.327186,-0.321165,-0.323961
mobley_1017962,20,-0.117031,-0.116871,-0.116747,-0.116380,-0.116410
mobley_1017962,21,-0.118465,-0.118381,-0.118413,-0.117984,-0.118046
mobley_1017962,22,-0.117031,-0.116871,-0.116747,-0.116380,-0.116410
mobley_1019269,0,0.858166,0.869933,0.873028,0.859322,0.868856
mobley_1019269,1,0.561682,0.573549,0.565412,0.570985,0.568461
mobley_1019269,2,0.518846,0.522743,0.530426,0.527581,0.533169
mobley_1019269,3,0.001823,0.003302,0.000606,-0.000807,-0.002095
mobley_1019269,4,-1.800647,-1.800181,-1.799998,-1.799711,-1.800503
mobley_1019269,5,-0.152427,-0.151936,-0.153468,-0.151716,-0.152186
mobley_1019269,6,-0.146736,-0.146241,-0.147716,-0.146010,-0.146485
mobley_1019269,7,-0.146917,-0.146424,-0.147902,-0.146194,-0.146669
mobley_1019269,8,-0.365780,-0.363586,-0.375307,-0.368735,-0.372042
mobley_1019269,9,-0.367427,-0.365239,-0.376986,-0.370396,-0.373698
mobley_1019269,10,-0.460744,-0.457313,-0.474582,-0.466547,-0.470858
mobley_1019269,11,-0.474909,-0.471579,-0.489353,-0.481186,-0.485487
mobley_1019269,12,-0.222780,-0.221362,-0.226828,-0.224116,-0.225140
mobley_1019269,13,-0.216364,-0.214970,-0.220076,-0.217550,-0.218479
mobley_1019269,14,-0.115436,-0.115565,-0.114853,-0.114582,-0.115033
mobley_1034539,0,-0.033205,-0.025003,-0.039783,-0.037267,-0.040779
mobley_1034539,1,-0.030390,-0.027742,-0.027172,-0.031230,-0.028217
mobley_1034539,2,-0.399920,-0.402221,-0.399984,-0.401286,-0.399158
mobley_1034539,3,-0.380099,-0.382817,-0.380886,-0.381779,-0.380663
mobley_1034539,4,-0.044468,-0.039202,-0.058797,-0.055475,-0.060771
mobley_1034539,5,-0.379140,-0.384735,-0.370802,-0.377945,-0.369559
mobley_1034539,6,-0.311182,-0.318827,-0.300819,-0.309889,-0.299330
mobley_1034539,7,0.155983,0.166890,0.149788,0.149811,0.145201
mobley_1034539,8,-0.305854,-0.307344,-0.304129,-0.305833,-0.304804
mobley_1034539,9,-0.388329,-0.390859,-0.387735,-0.391051,-0.388348
mobley_1034539,10,-0.376290,-0.379220,-0.375025,-0.378552,-0.376145
mobley_1034539,11,-0.391925,-0.391467,-0.401744,-0.398302,-0.402262
mobley_1034539,12,-0.073999,-0.073508,-0.073844,-0.073715,-0.074301
mobley_1034539,13,-0.071827,-0.071565,-0.071433,-0.071559,-0.071721
mobley_1034539,14,-0.071840,-0.071540,-0.071430,-0.071540,-0.071720
mobley_1034539,15,-0.059629,-0.059181,-0.058775,-0.059039,-0.059131
mobley_1034539,16,-0.062257,-0.061857,-0.061504,-0.061741,-0.061865
mobley_1034539,17,-0.063565,-0.063148,-0.062796,-0.063006,-0.063139
mobley_1034539,18,-0.116552,-0.116974,-0.116561,-0.116218,-0.116387
mobley_1034539,19,-0.113383,-0.113761,-0.113243,-0.113119,-0.113212
mobley_1034539,20,-0.117261,-0.117593,-0.117167,-0.116916,-0.117068
mobley_1034539,21,-0.116981,-0.117311,-0.116873,-0.116637,-0.116786
mobley_1036761,0,0.959465,0.973411,0.995620,0.981056,0.993394
mobley_1036761,1,1.053116,1.064606,1.085323,1.072752,1.079603
mobley_1036761,2,0.640482,0.650411,0.665428,0.650448,0.670639
mobley_1036761,3,0.142497,0.137358,0.145208,0.140185,0.143012
mobley_1036761,4,0.709646,0.718497,0.737685,0.721337,0.736927
mobley_1036761,5,1.130473,1.140633,1.159381,1.148110,1.147851
mobley_1036761,6,-2.277800,-2.299773,-2.327585,-2.316303,-2.320328
mobley_1036761,7,-0.460238,-0.457270,-0.466934,-0.461027,-0.462347
mobley_1036761,8,-0.433141,-0.431657,-0.440940,-0.435442,-0.436676
mobley_1036761,9,-0.461304,-0.459438,-0.469881,-0.463653,-0.465208
