id,exp,E_42,E_123,E_7,E_2024,E_999,N
3-1ftoh,-2.5800,0.3804,0.3643,0.3842,0.3664,0.3817,15
3-3ftoh,-2.9600,-0.5648,-0.5478,-0.5603,-0.5595,-0.5393,21
4-2fti,2.1800,1.8895,1.8780,1.9133,1.8713,1.8986,20
4-2ftma,0.8500,-0.3208,-0.3075,-0.3573,-0.3707,-0.3767,33
4-2ftoh,-2.1400,0.5066,0.4881,0.5148,0.4942,0.5226,21
4-4ftoh,-2.6900,0.2317,0.2691,0.2186,0.2450,0.2746,27
5-2sftoh,-0.2100,1.6279,1.6156,1.6468,1.6131,1.6419,24
6-1fti,3.1100,3.1686,3.1457,3.1901,3.1490,3.1872,23
6-1fti-7h,0.9600,2.5513,2.5290,2.5732,2.5301,2.5683,23
6-2fta,1.7300,1.2252,1.2363,1.3125,1.2269,1.3070,36
6-2ftoh,-0.8700,2.0269,1.9967,2.0445,2.0101,2.0474,27
7-1ftoh,-0.3600,3.3839,3.3423,3.4136,3.3649,3.4037,27
8-2ftoh,0.1500,3.4706,3.4286,3.4973,3.4499,3.4993,33
etfhxsa,-2.1600,-1.2418,-1.2742,-1.2188,-1.2658,-1.2222,31
etfhxse,-4.1200,-4.0612,-4.0895,-4.0068,-4.0612,-4.0123,38
mefbsa,-3.8900,-3.0290,-3.0525,-3.0416,-3.0629,-3.0490,22
mefbse,-5.9400,-5.8245,-5.8535,-5.8358,-5.8597,-5.8417,29
mefhxsa,-2.7400,-1.5928,-1.6308,-1.5958,-1.6331,-1.6049,28
pfbsa,-6.6700,-3.2151,-3.2257,-3.2209,-3.2276,-3.2155,19
pfhxsa,-5.3800,-1.7823,-1.8071,-1.7790,-1.8012,-1.7749,25
pfosa,-4.1500,-0.3330,-0.3707,-0.3189,-0.3556,-0.3172,31
"1,1-dimethyl-3,3,4,4,5,5-hexabromo-2,2-bipyrrole",-8.3100,-15.4024,-15.4061,-15.4708,-15.4994,-15.5009,24
"2,3,7,8-tetrabromodibenzo-p-dioxin",-5.2800,-6.9702,-6.9446,-6.8498,-7.0019,-6.9507,22
abate,-7.4500,-16.7576,-16.8194,-16.7283,-16.8161,-16.7602,47
acticin,-7.4400,-12.4928,-12.4795,-12.6365,-12.6326,-12.6315,46
benzoximate,-7.7200,-2.8893,-2.9070,-2.6983,-2.9720,-2.8996,43
bitertanol,-14.2900,3.7716,3.7571,3.5419,3.3939,3.4442,48
bixafen,-10.1700,-11.2750,-11.2576,-11.2296,-11.3308,-11.2552,39
carfentrazone-ethyl,-9.4400,-10.8286,-10.8395,-10.8354,-10.9144,-10.8519,40
chlorophacinone,-13.4700,-10.0699,-10.0111,-10.1380,-10.1238,-10.0877,42
cyfluthrin,-7.4000,-13.9104,-13.9092,-14.0537,-14.0761,-14.0454,47
cyhalofop-butyl,-8.3000,-14.0111,-14.0477,-14.1255,-14.1836,-14.1371,46
cymperator,-7.0100,-14.2333,-14.2169,-14.3556,-14.3828,-14.3523,47
diclosulam,-18.8300,-9.6955,-9.6848,-9.5619,-9.8434,-9.6610,35
diphenyl-2-ethylhexyl-phosphate,-4.9000,-12.4223,-12.2790,-12.3428,-12.3351,-12.2041,52
fipronil,-10.2000,-10.7140,-10.7207,-10.8059,-10.8546,-10.8482,30
fluacrypyrim,-7.7800,3.7759,3.7806,4.0176,3.7228,3.8267,51
fluazifop-butyl,-7.3000,-12.1697,-12.2099,-12.2809,-12.3421,-12.2821,47
flubenzimine,-5.0800,-11.2127,-11.1922,-11.1825,-11.2578,-11.2074,38
flusulfamide,-9.5500,-12.4949,-12.4990,-12.4814,-12.5446,-12.4897,32
flutianil,-7.1600,-9.6887,-9.6660,-9.6686,-9.7987,-9.7191,42
furconazole,-9.5000,-6.3524,-6.4844,-6.5763,-6.6857,-6.5883,39
isopropazol,-5.6200,-10.7669,-10.7736,-10.8577,-10.8679,-10.8731,37
kappa-bifenthrin,-5.9900,-5.0152,-4.8991,-5.1740,-5.1515,-5.1982,51
kappa-tefluthrin,-1.3600,-4.0836,-4.0429,-4.1782,-4.1700,-4.1674,41
kepone,-7.3700,2.2242,2.3104,2.0334,1.9882,1.9666,21
metofluthrin,-4.7200,-7.1739,-7.1060,-7.3057,-7.2679,-7.3393,45
milbemycin-a4,-16.4600,-12.4041,-12.5534,-12.2574,-12.9906,-12.0943,85
octabromodibenzo-p-dioxin,-6.9600,-14.3806,-14.3335,-14.3623,-14.4226,-14.4298,22
pefurazoate,-9.0700,-7.4547,-7.3772,-7.2668,-7.5076,-7.4609,48
pentabromoanisole,-4.6900,-10.0544,-10.0586,-10.0793,-10.0825,-10.0933,16
perchlordecone,-2.0200,5.4145,5.5134,5.0814,5.0450,5.0109,22
perchlorobiphenyl,-4.2700,-4.1040,-4.1263,-4.0971,-4.1308,-4.1056,22
picoxystrobin,-8.9100,-9.7472,-9.7449,-9.7468,-9.7809,-9.7776,42
pydiflumetofen,-9.8500,-11.2543,-11.2182,-11.0862,-11.2606,-11.1567,42
pyraclostrobine,-10.9600,-6.9546,-6.9045,-6.6570,-6.8928,-6.7022,45
pyrametostrobin,-10.5500,21.6631,21.6558,22.0150,21.4379,21.5715,51
pyrazoxyfen,-7.0100,-12.0454,-12.0524,-12.1305,-12.1840,-12.1397,43
pyriminobac-methyl,-8.5400,1.1291,1.0618,1.4596,0.9417,1.1707,45
pyriminostrobin,-9.9800,2.9973,2.9510,3.2802,2.8454,3.0183,53
quizalofop-ethyl,-8.3500,-14.8026,-14.8818,-14.8767,-15.0116,-14.9273,43
resmethrin,-2.8200,-9.7124,-9.5782,-9.6999,-9.7491,-9.7301,51
solatenol,-12.6600,-10.3112,-10.2736,-10.2321,-10.4264,-10.2685,41
spiromesifen,-2.2500,-13.2041,-13.1892,-13.4471,-13.4815,-13.3646,57
sulfometuron-methyl,-20.1500,-16.8380,-16.8979,-16.7967,-16.9979,-16.9132,41
thiencarbazone-methyl,-14.0000,-16.7560,-16.8046,-16.7390,-16.9454,-16.8790,39
1-adamantanol,-5.6900,14.6435,14.5033,14.8600,14.4839,14.8783,27
1-hydroxyanthraquinone,-8.9200,-8.5586,-8.4962,-8.4713,-8.5269,-8.4880,25
1-methyl-1phenylethylhydroperoxide,-7.8000,-6.6552,-6.5985,-6.7272,-6.6875,-6.7051,23
"1,2,3-trimethylbenzene",-1.0600,-1.5136,-1.4975,-1.5682,-1.5700,-1.5787,21
"1,2,3,4,6,7,8-heptachlorodibenzofuran",-4.4200,-3.9322,-3.8956,-4.0185,-4.0007,-4.0781,21
"1,4-cineole",-2.7100,-6.7112,-6.5883,-6.8262,-6.8522,-6.6835,29
"1,4-dihydroxy-9,10-anthraquinone",-7.4700,-9.7725,-9.6625,-9.5884,-9.6804,-9.6290,26
"1,6-heptadiyne",-1.4400,-2.1036,-2.0844,-2.0821,-2.1137,-2.0947,15
1s-endo---borneol,-4.1600,4.1290,4.2231,3.9423,3.6694,3.9780,29
2-adamantanone,-4.8300,16.2443,16.2125,16.5234,16.2417,16.4074,25
2-methylisoborneol,-3.2000,11.9691,12.0116,11.9633,11.5761,11.9988,32
"2,2-dimethyl-3-hexyne",0.6300,-0.8854,-0.8304,-0.8404,-0.8982,-0.8227,22
"2,3-benzfluoranthene",-6.2300,-3.5893,-3.4335,-3.3309,-3.4847,-3.3447,32
"2,4-dinitro-n-phenyl-benzenamine",-10.2000,-9.6600,-9.6782,-9.5214,-9.6892,-9.5854,28
"2,6-dimethylnitrosomorpholine",-6.7400,-0.8783,-0.8015,-0.8714,-0.9194,-0.9167,22
3-carene,1.0100,0.0725,0.2467,0.1035,0.0159,0.0482,26
3-methoxyphenylmethylketone,-6.3700,-5.6250,-5.6224,-5.6280,-5.6508,-5.6408,21
"3,4,5,6-dibenzocarbazole",-9.1600,-7.7040,-7.6016,-7.5007,-7.6099,-7.4940,34
4-ethenylcyclohexene,0.3600,-2.1451,-2.0711,-2.1331,-2.1368,-2.0806,20
4-hydroxy-4-nitroazobenzene,-12.3000,-14.2401,-14.2604,-14.2016,-14.2596,-14.2134,27
4-tert-butylphenyldiphenylphosphate,-6.8900,-13.5702,-13.4686,-13.5972,-13.6242,-13.5415,50
6-2-ftoh,0.1200,1.8949,1.8684,1.9165,1.8818,1.9166,27
6-phenylundecane,1.0900,0.2860,0.4992,0.2704,0.4193,0.4972,45
acenaphthene,-2.9000,-4.3653,-4.3268,-4.2965,-4.3484,-4.2709,22
adamantane,-0.4100,24.2265,24.1538,24.6459,24.2988,24.5191,26
adonitol,-20.5000,-14.9418,-14.8997,-15.0556,-15.0402,-15.0568,22
aldrin,-3.0300,1.7938,1.7934,1.7220,1.5388,1.7171,26
alpha-cedrene,0.2200,16.2908,16.1107,16.1929,15.6011,16.2901,39
alpha-humulene,0.2000,-1.9506,-1.8087,-1.9318,-1.9445,-1.8219,39
alpha-longipinene,0.1000,7.2641,7.1229,6.9338,6.5819,7.1151,39
alpha-neoclovene,0.2000,22.1860,22.0523,21.7226,21.2132,21.7052,39
alpha-pinene,1.0400,1.2176,1.2780,1.0631,0.9165,1.0946,26
androstenone,-2.6300,7.6727,7.2950,7.1477,6.7146,7.4525,48
arbanol,-4.6300,1.1493,0.9638,0.9094,0.4706,0.9478,36
azoxystrobin,-15.7000,-12.3960,-12.4360,-12.4451,-12.6307,-12.5995,47
benalaxyl,-7.2600,-9.6637,-9.5323,-9.5980,-9.6631,-9.6258,47
benazolin-ethyl,-8.2800,-10.0702,-10.0369,-10.0838,-10.0963,-10.1084,27
bendiocarb,-7.9000,-11.5630,-11.5453,-11.2668,-11.5138,-11.3758,29
benomyl,-12.4000,-4.0517,-3.9447,-3.6942,-4.0560,-3.8519,39
benzyladenine,-15.6000,-16.8045,-16.8413,-16.8243,-16.8658,-16.7929,28
beta-caryophyllene,0.0500,5.0487,5.1400,5.2026,5.0389,5.2693,39
beta-ionone,-4.7400,-0.5024,-0.3606,-0.5354,-0.5590,-0.4684,34
beta-pinene,0.3900,3.1813,3.3649,2.9835,2.9624,3.0111,26
bifenthrin,-5.9900,-6.6728,-6.5701,-6.8408,-6.7914,-6.8384,51
biphenyl,-2.6600,-2.0097,-1.9644,-2.0336,-2.0263,-2.0300,22
bisphenol-a,-12.0000,-7.3530,-7.2937,-7.4925,-7.4598,-7.4275,33
bitertanol-b,-13.1000,3.8858,3.8722,3.6597,3.5100,3.5608,48
bornyl-acetate,0.0400,4.6566,4.5613,4.4287,3.9984,4.4737,34
bromadiolone,-12.9000,-12.8826,-12.7858,-13.1170,-13.0403,-13.1119,58
bromopropylate,-6.4300,-10.3220,-10.2732,-10.4326,-10.4195,-10.4470,38
bromuconazole,-10.8000,-7.8556,-7.8774,-8.0587,-8.0634,-8.0561,32
camphene,0.3300,3.8682,4.1477,3.4477,3.5875,3.4106,26
camphor,-3.3700,3.5108,3.6198,3.1756,3.0299,3.1697,27
carbazole,-7.3200,-6.6934,-6.6237,-6.5686,-6.6193,-6.5708,22
carbofuran,-6.5100,-8.0934,-8.0443,-7.8459,-8.0590,-7.9162,31
chlorbromuron,-9.1900,-5.6317,-5.5842,-5.4761,-5.6081,-5.5716,25
cis-beta-ocimene,0.0100,-1.2258,-1.1897,-1.2512,-1.2510,-1.2549,26
cocaine,-11.9000,-6.5286,-6.5164,-6.7922,-6.8115,-6.7853,43
coumarin,-7.3500,-5.5656,-5.5798,-5.6109,-5.6439,-5.6303,17
cyazofamid,-6.5400,-16.6717,-16.6855,-16.6942,-16.7689,-16.7696,34
cyproconazole,-10.3000,-1.6563,-1.6351,-1.8713,-1.9386,-1.9266,38
dbp-br5cl,-7.6000,-14.3916,-14.3990,-14.4765,-14.5025,-14.5060,24
decafluorobiphenyl,-1.6600,-0.4064,-0.4478,-0.4366,-0.4514,-0.4123,22
delta-cypermethrin,-6.8300,-14.2218,-14.2069,-14.3467,-14.3732,-14.3429,47
deltamethrin,-5.0400,-15.7716,-15.7653,-15.8998,-15.9257,-15.9005,47
diacetylmorphine,-14.5000,-4.0571,-4.1171,-3.9768,-4.5462,-3.9454,50
dialifor,-7.0000,-11.8328,-11.8193,-11.8238,-11.8989,-11.8446,40
diazinon,-6.9000,-11.3976,-11.4077,-11.3366,-11.4136,-11.3582,40
dibenzylether,-4.8700,-6.2809,-6.2254,-6.3269,-6.2938,-6.3162,29
dicapthon,-7.3600,-11.8240,-11.8553,-11.8038,-11.8716,-11.8358,26
dienochlor,-3.6100,-3.5208,-3.5448,-3.4921,-3.5377,-3.5131,20
diethofencarb,-6.1000,-6.3759,-6.3656,-6.0855,-6.3928,-6.2263,40
difenoconazole,-12.9000,-3.7227,-3.6623,-3.8296,-3.8664,-3.9258,44
difethialone,-5.9900,-11.4626,-11.3658,-11.7053,-11.5858,-11.5867,58
diisobutylphtalate,-5.3700,-8.4617,-8.4220,-8.4297,-8.5053,-8.4152,42
dimethylhexahydroterephtalate,-7.3600,-7.4692,-7.4488,-7.6416,-7.6064,-7.5640,30
diofenolan,-7.6000,-16.8753,-16.8313,-16.9578,-16.9388,-16.9780,42
dioxacarb,-12.6000,-12.0957,-12.0606,-12.1484,-12.1527,-12.2174,29
dioxydimethanol,-9.6000,-8.4362,-8.4562,-8.4330,-8.4402,-8.4406,12
diphenadione,-11.2000,-9.8670,-9.8026,-9.9167,-9.9100,-9.8638,42
diphenylmethane,-3.1100,-3.7075,-3.6735,-3.7285,-3.7215,-3.7022,25
disperseblue1,-6.9100,-12.2449,-12.0541,-11.6923,-12.0372,-11.8084,32
dispersered1,-15.7000,-16.5404,-16.4967,-16.4840,-16.5394,-16.5060,41
dmba,-5.2000,-2.3104,-2.2534,-2.2417,-2.3308,-2.2461,36
dyprodinil,-7.4700,-6.0244,-6.0569,-5.8709,-6.0384,-5.9218,32
endrin,-4.8700,2.0157,2.0171,1.4928,1.3204,1.4400,27
ethofumesate,-7.9500,-10.7014,-10.6909,-10.6229,-10.7942,-10.6200,37
etoxazole,-7.3300,-7.3845,-7.2587,-7.5753,-7.5336,-7.4990,49
eugenol,-5.9500,-6.3609,-6.3717,-6.3838,-6.4111,-6.3979,24
famoxadone,-7.8000,-11.0326,-10.9753,-11.1679,-11.1422,-11.2184,46
fenoxyprop-p-ethyl,-8.4400,-12.8003,-12.8143,-12.5671,-12.8552,-12.6447,41
fenpiclonil,-9.0700,-9.4813,-9.4856,-9.4561,-9.4843,-9.4622,21
fenpropathrin,-2.9100,-15.3672,-15.2664,-15.6456,-15.5772,-15.6412,49
fenpyroximate,-5.5300,-16.8881,-16.9142,-16.9967,-17.0624,-16.9864,58
ferimzone,-11.7000,-8.3643,-8.3497,-8.3605,-8.4915,-8.4508,37
flamprop-m-isopropyl,-8.1700,-7.8447,-7.7655,-7.7746,-7.8631,-7.8245,44
flonicamid,-14.7000,-11.5640,-11.5827,-11.5784,-11.6029,-11.5840,22
florasulam,-13.1000,-11.3825,-11.4216,-11.2976,-11.5549,-11.3661,32
fluazinam,-2.7100,-6.9562,-6.9521,-6.7276,-7.0145,-6.8316,33
flucythrinate,-7.4200,-15.1559,-15.0491,-15.3747,-15.3220,-15.3258,56
fludioxonil,-10.5000,-11.2986,-11.2733,-11.1000,-11.2346,-11.1472,24
flufenacet,-9.0400,-13.2861,-13.2155,-13.2305,-13.2608,-13.2350,37
flumioxazin,-6.2700,-15.9605,-15.8646,-15.9017,-15.9725,-15.8295,41
fluoranthene,-4.3100,-3.8030,-3.6771,-3.5738,-3.7032,-3.5799,26
fluorene,-3.4200,-3.2419,-3.1588,-3.0988,-3.1684,-3.0909,23
fluoxastrobin,-14.1000,-7.4257,-7.4768,-7.2555,-7.5649,-7.3416,48
flurazole,-6.8200,-9.0739,-9.0685,-9.0867,-9.1149,-9.0882,27
fluridone,-8.8300,-6.6746,-6.6454,-6.7329,-6.7288,-6.7312,38
flurprimidol,-9.9200,-9.4250,-9.2957,-9.3728,-9.3978,-9.4059,37
fluthiacet-methyl,-9.6500,-16.5985,-16.5848,-16.7832,-16.7402,-16.7408,40
flutriafol,-15.3000,-8.5696,-8.5682,-8.7256,-8.7319,-8.7086,35
fluxofenim,-5.2000,-7.3969,-7.4220,-7.5144,-7.4595,-7.4976,31
fructose,-17.0000,-16.4233,-16.3882,-16.5029,-16.4947,-16.4947,24
galaxolide,-3.1000,5.8697,6.1183,6.0348,5.8489,6.1372,45
gamma-gurjunene,0.1200,-2.1641,-2.0688,-2.3544,-2.3100,-2.2542,39
gamma-neoclovene,0.2000,28.0245,27.8827,27.7633,27.0967,27.8230,39
glucose,-16.8000,-17.4606,-17.3960,-17.5986,-17.5812,-17.6058,24
glyphosate,-13.2000,-12.8393,-12.8662,-12.8400,-12.8505,-12.8532,18
guaiacylacetone,-10.2000,-8.2419,-8.2801,-8.2794,-8.3150,-8.2888,25
heptachlor,-2.6100,-1.0162,-0.9951,-0.9871,-1.0934,-0.9857,22
heptachlorepoxide,-4.2000,-2.0652,-2.0304,-2.0829,-2.1733,-2.1112,23
hexazinone,-13.7000,-2.8475,-2.7849,-2.4878,-2.8998,-2.5674,38
hexythiazox,-8.2100,-6.3859,-6.3483,-6.3752,-6.4677,-6.3315,44
hydramethylnon,-5.5200,-6.3594,-6.3066,-6.3347,-6.4241,-6.3089,59
hydroxyethylmethacrylate,-6.9000,-7.0347,-7.0517,-7.0721,-7.0841,-7.0880,19
