id,exp,E_42,E_123,E_7,E_2024,E_999,N
727,-5.4633,0.3318,0.3371,0.3520,0.3349,0.3649,18
768,-3.2200,-3.4933,-3.4918,-3.4905,-3.4917,-3.4912,3
962,-6.3300,-2.1587,-2.1594,-2.1574,-2.1579,-2.1580,3
992,-4.4450,-4.3612,-4.3731,-4.3531,-4.3625,-4.3544,13
1480,-7.6800,-8.7354,-8.7431,-8.7594,-8.7656,-8.7794,19
1486,-4.9800,-8.6626,-8.6693,-8.6820,-8.6914,-8.7009,19
1639,-15.3700,-10.0417,-10.0455,-10.0334,-10.0803,-10.0632,10
1982,-14.6000,-8.8042,-8.8303,-8.8057,-8.8353,-8.8315,20
2086,-9.9600,-7.8103,-7.8425,-7.8065,-7.8724,-7.8409,26
2256,-9.5500,-8.7745,-8.7596,-8.5693,-8.7516,-8.6383,28
2314,-6.8000,-11.1807,-11.1642,-10.8241,-11.0988,-10.9339,29
2450,-12.6500,-10.9541,-10.9917,-10.9800,-10.9979,-10.9691,15
2728,-8.1700,-6.0361,-5.9543,-5.8982,-5.9867,-5.9473,26
2871,-8.0500,-9.8461,-9.8653,-9.7835,-9.9064,-9.8272,38
2912,-6.9600,-14.6017,-14.5881,-14.8190,-14.8056,-14.8438,47
2943,-5.5300,-9.4790,-9.5086,-9.5400,-9.5527,-9.5704,24
3035,-3.6700,-4.6237,-4.6099,-4.6534,-4.6564,-4.6469,26
3036,-4.3850,-4.2629,-4.2455,-4.3367,-4.3089,-4.3157,28
3037,-14.1100,-8.8916,-8.8827,-8.9436,-8.9341,-8.9303,27
3039,-5.6100,-7.7977,-7.8186,-7.8147,-7.8459,-7.8664,18
3082,-11.0700,-9.4946,-9.5416,-9.5125,-9.5491,-9.5429,24
3118,-5.5300,-4.2536,-4.2940,-4.2108,-4.2829,-4.2386,33
3120,-10.5000,-6.5072,-6.4991,-6.4117,-6.5117,-6.4756,24
3289,-7.0800,-2.4163,-2.4174,-2.3384,-2.4101,-2.3407,32
3346,-6.8300,-9.0369,-9.0567,-9.0121,-9.0758,-9.0482,31
3347,-5.3400,-11.3460,-11.3302,-11.4999,-11.4790,-11.4815,52
3352,-10.2100,-9.5516,-9.5623,-9.6590,-9.7182,-9.7097,30
3444,-10.7300,-9.7774,-9.8141,-10.0272,-10.0425,-10.0289,32
4004,-8.1300,-9.3116,-9.3184,-9.3360,-9.4184,-9.3980,38
4109,-11.1000,-7.0204,-7.0308,-7.0596,-7.1123,-7.1132,20
4169,-8.2600,-7.8645,-7.7740,-7.8484,-7.9095,-7.8748,41
4211,-4.8900,-3.5454,-3.5250,-3.6127,-3.5894,-3.5930,28
4420,-7.7600,-10.0809,-10.1079,-10.0911,-10.1149,-10.1265,20
4618,-12.8500,-7.5385,-7.5965,-7.5380,-7.5970,-7.5857,28
4690,-6.8700,-8.8554,-8.7828,-8.6705,-8.7669,-8.7475,22
4767,-6.7500,-12.4750,-12.4236,-12.7251,-12.7280,-12.7578,52
4928,-9.4100,-2.3882,-2.3542,-2.0075,-2.3638,-2.1515,35
4929,-8.6200,-7.2225,-7.1569,-6.9355,-7.1811,-7.0507,35
4931,-7.3300,-6.0081,-5.9286,-6.0060,-6.0079,-6.0154,28
4937,-9.1900,-7.0975,-7.0220,-6.8075,-7.0253,-6.8991,31
4944,-9.8500,-8.9351,-8.9418,-8.8808,-9.0606,-8.9769,30
5125,-6.7300,-0.6017,-0.5176,-0.5682,-0.5853,-0.5352,44
5383,-10.9400,-11.6717,-11.6175,-11.5277,-11.6551,-11.5540,31
5543,-4.5600,-3.0709,-2.9527,-2.8888,-2.9911,-2.9410,32
5853,-13.1500,-7.5558,-7.5926,-7.5656,-7.5929,-7.6105,20
5954,-4.5200,-3.3291,-3.2486,-3.2562,-3.3082,-3.2468,30
6336,-9.2300,-10.2812,-10.2702,-10.4074,-10.3850,-10.3429,37
6562,-2.8400,-2.7276,-2.7167,-2.7042,-2.7199,-2.7165,11
