mol_id,smiles,expt,fold0_split
mobley_1075836,CCC(=O)OC,-2.93,test
mobley_1261349,CC(C)(C)C,2.51,test
mobley_1873346,Cc1ccccc1,-0.9,test
mobley_1967551,CC=O,-3.5,test
mobley_2068538,CCC,2.0,test
mobley_2245668,CC(C)CO,-4.5,test
mobley_2310185,CCO,-5.0,test
mobley_2837389,c1cc[nH]c1,-4.78,test
mobley_296847,c1ccncc1,-4.69,test
mobley_3040612,CCc1ccccc1C,-0.85,test
mobley_3060426,CC(C)CCC(C)(C)C,2.93,test
mobley_3370989,CC(F)F,-0.11,test
mobley_4252724,CC(C)Cc1ccccc1,0.16,test
mobley_4884177,CCc1cccnc1,-4.59,test
mobley_5052949,CCCSCCC,-1.28,test
mobley_5157661,CC(C)C,2.3,test
mobley_5220185,CCc1cnccn1,-5.45,test
mobley_5346580,CC(=O)C(C)(C)C,-3.11,test
mobley_5973402,CC(C)CCO,-4.42,test
mobley_6115639,COP(=O)(OC)OC,-8.7,test
mobley_627267,CC(C)CBr,-0.03,test
mobley_6353617,CC(=O)c1cccnc1,-8.26,test
mobley_6911232,CCOC,-2.1,test
mobley_7690440,CSSC,-1.83,test
mobley_7708038,CCCBr,-0.56,test
mobley_8789864,COC(CC#N)(OC)OC,-6.4,test
mobley_9114381,COC(=O)CC#N,-6.72,test
mobley_951560,C1CNCCN1,-7.4,test
mobley_1019269,CCCCO,-4.72,train
mobley_1139153,CC(C)CC(C)(C)C,2.89,train
mobley_1199854,CCCI,-0.53,train
mobley_1231151,CC(C)Cl,-0.25,train
mobley_1323538,CCOP(=O)(OCC)OCC,-7.5,train
mobley_1615431,CC(C)OC(C)C,-0.53,train
mobley_1650157,CC(C)(C)O,-4.47,train
mobley_1659169,C1COCCN1,-7.17,train
mobley_1717215,COC=O,-2.78,train
mobley_1722522,CCCC(=O)OCC,-2.49,train
mobley_1743409,CCOC(=O)CCC(=O)OCC,-5.71,train
mobley_1760914,Cc1ccccc1Cl,-1.14,train
mobley_1800170,CCS,-1.14,train
mobley_186894,CCCS,-1.1,train
mobley_1893937,CCCCCCCl,0.0,train
mobley_1903702,CC[C@H](C)O,-4.62,train
mobley_1923244,CCCC,2.1,train
mobley_1952272,C[N+](=O)[O-],-4.02,train
mobley_197466,CC(=O)C1CC1,-4.61,train
mobley_1977493,CCCCl,-0.33,train
mobley_2049967,CCSC,-1.5,train
mobley_210639,CC(C)I,-0.46,train
mobley_2126135,CCc1ccccc1O,-5.66,train
mobley_2198613,CCCl,-0.63,train
mobley_2279874,COC(OC)OC,-4.42,train
mobley_2371092,Cc1ccncc1C,-5.22,train
mobley_2402487,CCOC(=O)CC(=O)OCC,-6.0,train
mobley_2410897,CCN,-4.5,train
mobley_2422586,CCCOC,-1.66,train
mobley_2493732,C=C(Cl)Cl,0.25,train
mobley_252413,CCCC(C)(C)C,2.88,train
mobley_2693089,CC(C)Cc1cnccn1,-5.04,train
mobley_2763835,CCOc1ccccc1,-2.22,train
mobley_2771569,CN1CCNCC1,-7.77,train
mobley_2792521,CCC/C=C/C=O,-3.68,train
mobley_2802855,CCCCBr,-0.4,train
mobley_282648,c1ccc2ccccc2c1,-2.4,train
mobley_2881590,CC(C)CO[N+](=O)[O-],-1.88,train
mobley_2929847,CC(C)CC(=O)O,-6.09,train
mobley_2958326,CCCNCCC,-3.65,train
mobley_3034976,CC(=O)O,-6.69,train
mobley_3053621,c1ccccc1,-0.9,train
mobley_313406,CCCO,-4.85,train
mobley_3187514,Cc1ccccc1N,-5.53,train
mobley_3318135,CCCCC(=O)CCCC,-2.64,train
mobley_3589456,COC(CCl)(OC)OC,-4.59,train
mobley_3686115,CCOC(C)OCC,-3.28,train
mobley_3761215,CC(Cl)(Cl)Cl,-0.19,train
mobley_3775790,Cn1cccc1,-2.89,train
mobley_4177472,CC(C)C(C)C(C)C,2.56,train
mobley_4287564,Cc1ccccn1,-4.63,train
mobley_4305650,CCC#N,-3.84,train
mobley_4561957,CC(C)C(C)C,2.34,train
mobley_4630641,COCCOC,-4.84,train
mobley_4850657,CS(=O)(=O)Cl,-4.87,train
mobley_4924862,CC(C)CCOC=O,-2.13,train
mobley_4934872,CCOC(OCC)Oc1ccccc1,-5.23,train
mobley_4964807,CC(=O)CO[N+](=O)[O-],-5.99,train
mobley_4983965,CCSCC,-1.46,train
mobley_5056289,C[C@H]1CCCO1,-3.3,train
mobley_5072416,COc1ccccc1N,-6.12,train
mobley_5094777,c1ccc2c(c1)CCC2,-1.46,train
mobley_511661,C=CC=C,0.56,train
mobley_5627459,CC(C)C=O,-2.86,train
mobley_5690766,C=CCCC=C,1.01,train
mobley_5692472,CNC,-4.29,train
mobley_5732611,Cc1c[nH]cn1,-10.27,train
mobley_5747188,Cc1ccccc1[N+](=O)[O-],-3.58,train
mobley_5747981,COCC(OC)(OC)OC,-5.73,train
mobley_5760563,COS(=O)(=O)OC,-5.1,train
mobley_5890803,CCCOC(=O)CC,-2.44,train
mobley_5935995,CCC(C)(C)C,2.51,train
mobley_5977084,Cc1cccnc1,-4.77,train
mobley_6006813,CCCC[N+](=O)[O-],-3.09,train
mobley_6235784,CC[C@H](C)Cl,0.0,train
mobley_6303022,CCc1ccncc1,-4.73,train
mobley_637522,c1ccc2cc3ccccc3cc2c1,-3.95,train
mobley_6456034,CC(C)COC(=O)C(C)C,-1.69,train
mobley_6497672,C/C=C/C=O,-4.22,train
mobley_6794076,CC(=O)c1ccncc1,-7.62,train
mobley_6812653,CCCCCC,2.48,train
mobley_6854178,CC(C)OC=O,-2.02,train
mobley_6917738,COCCN,-6.55,train
mobley_6929123,COC(=O)CCl,-4.0,train
mobley_6988468,CCc1ccccn1,-4.33,train
mobley_7015518,COC,-1.91,train
mobley_7047032,CC(C)(C)Cl,1.09,train
mobley_7099614,C=CCCl,-0.57,train
mobley_7295828,COc1ccccc1,-2.45,train
mobley_7326982,CC(C)O,-4.74,train
mobley_7455579,CC(C)COC=O,-2.22,train
mobley_7532833,CC#N,-3.88,train
mobley_7754849,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,train
mobley_7769613,CC(C)(C)Br,0.84,train
mobley_7774695,CNc1ccccc1,-4.69,train
mobley_778352,CC=C(C)C,1.31,train
mobley_7983227,CC[C@@H](C)CO,-4.42,train
mobley_8011706,CN(C)C=O,-7.81,train
mobley_820789,CCCC(=O)O,-6.35,train
mobley_8221999,CCCC#N,-3.64,train
mobley_8573194,CCCC=O,-3.18,train
mobley_8746821,Cc1cccnc1C,-4.82,train
mobley_8754702,CCCOC=O,-2.48,train
mobley_8772587,CCCCI,-0.25,train
mobley_8883511,Cc1ccccc1C=O,-3.93,train
mobley_8966374,Cc1cnccn1,-5.51,train
mobley_902954,CCCCO[N+](=O)[O-],-2.09,train
mobley_9073553,CSC,-1.61,train
mobley_9185328,CCCN,-4.39,train
mobley_9209581,CN(C)C,-3.2,train
mobley_9246215,C=CCC=C,0.93,train
mobley_9434451,CC(C)Br,-0.48,train
mobley_9460824,CCOP(=S)(OCC)SCSCC,-4.37,train
mobley_967099,CC(C)[N+](=O)[O-],-3.13,train
mobley_9671033,CCC[N+](=O)[O-],-3.34,train
mobley_9705941,Cc1cccs1,-1.38,train
mobley_9838013,CCC(C)(C)O,-4.43,train
mobley_9883303,CCC[C@H](C)CC,2.71,train
mobley_994483,CCBr,-0.74,train
mobley_1107178,CCI,-0.74,val
mobley_1352110,CCCCN(CC)C(=O)SCCC,-3.64,val
mobley_1520842,Cc1ccncc1,-4.93,val
mobley_1803862,CCC(C)C,2.38,val
mobley_1875719,CCC(=O)CC,-3.41,val
mobley_2213823,CCC(C)CC,2.51,val
mobley_2294995,CCOC=O,-2.56,val
mobley_2390199,CCCC(=O)CCC,-2.92,val
mobley_2972906,c1ccsc1,-1.4,val
mobley_3999471,CC(Cl)Cl,-0.84,val
mobley_4013838,CC(C)C(=O)C(C)C,-2.74,val
mobley_4035953,Cc1ccccc1O,-5.9,val
mobley_4188615,CN(C)C(=O)c1ccccc1,-9.29,val
mobley_5390332,CCCC(=O)OC,-2.83,val
mobley_5499659,Cn1ccnc1,-8.41,val
mobley_590519,CCSSCC,-1.64,val
mobley_6474572,C=CCl,-0.59,val
mobley_6632459,CCC=O,-3.43,val
mobley_7106722,CCCC(C)C,2.51,val
