smiles,value_kcal,cid
Cl\C=C\Cl,-0.81,638186
Cl\C=C/Cl,-0.77,ERR:HTTPError
C\C=C/CC,1.32,ERR:HTTPError
C=CC=C,1.26,7845
C=CCCC=C,1.0,11598
C=CCC,2.02,7844
C#CCC,-0.16,7846
C=CCCCC,1.68,11597
C=CCCC,1.66,8004
C#CCCC,0.0,12309
CC(C)(C)C,2.97,10041
CC(C)C,2.3,6360
c1ccccc1,-0.875,241
Sc1ccccc1,-2.55,7969
CCCC,2.17,7843
ClCCl,-1.37,6344
CSC,-1.55,1068
CNC,-4.29,674
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-3.46,8370
CCCCCC,2.55,8058
COC,-1.89,8254
Oc1ccccc1,-5.57,996
CCC,2.0,6334
C=CC,2.71,8252
C#CC,-0.55,6335
ClC(Cl)=C(Cl)Cl,-0.16,31373
ClC(Cl)(Cl)Cl,0.03,5943
ClC(Cl)Cl,-1.13,6212
